"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","New Brunswick"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1998"
"Units","Value in  canadian dollars"

"","","1998"
"United States","Total Exports","4507386677"
"","Total Imports","1875432484"
"","Trade Balance","2631954193"
"Brazil","Total Exports","172281384"
"","Total Imports","16986518"
"","Trade Balance","155294866"
"Japan","Total Exports","199484467"
"","Total Imports","50147421"
"","Trade Balance","149337046"
"Spain","Total Exports","52526409"
"","Total Imports","1280385"
"","Trade Balance","51246024"
"Belgium","Total Exports","54505602"
"","Total Imports","6105104"
"","Trade Balance","48400498"
"Italy (incl. Vatican City State)","Total Exports","52333094"
"","Total Imports","5551304"
"","Trade Balance","46781790"
"Germany","Total Exports","75564985"
"","Total Imports","28870076"
"","Trade Balance","46694909"
"France (incl. Monaco, French Antilles)","Total Exports","63859053"
"","Total Imports","29738096"
"","Trade Balance","34120957"
"Dominican Republic","Total Exports","25987721"
"","Total Imports","46746"
"","Trade Balance","25940975"
"United Kingdom","Total Exports","59654409"
"","Total Imports","38698117"
"","Trade Balance","20956292"
"Jamaica","Total Exports","15943738"
"","Total Imports","1764837"
"","Trade Balance","14178901"
"Chile","Total Exports","15553612"
"","Total Imports","5277470"
"","Trade Balance","10276142"
"Trinidad and Tobago","Total Exports","7728680"
"","Total Imports","127320"
"","Trade Balance","7601360"
"Ghana","Total Exports","5950672"
"","Total Imports",""
"","Trade Balance","5950672"
"Algeria","Total Exports","5910635"
"","Total Imports",""
"","Trade Balance","5910635"
"India","Total Exports","6105243"
"","Total Imports","1217099"
"","Trade Balance","4888144"
"Israel","Total Exports","4656275"
"","Total Imports","221623"
"","Trade Balance","4434652"
"Denmark","Total Exports","4863124"
"","Total Imports","627750"
"","Trade Balance","4235374"
"Saint Pierre-Miquelon","Total Exports","4222240"
"","Total Imports","6522"
"","Trade Balance","4215718"
"El Salvador","Total Exports","4094646"
"","Total Imports","4092"
"","Trade Balance","4090554"
"Hong Kong","Total Exports","4691747"
"","Total Imports","846080"
"","Trade Balance","3845667"
"Cuba","Total Exports","15022079"
"","Total Imports","11909067"
"","Trade Balance","3113012"
"Czech Republic","Total Exports","2995671"
"","Total Imports","26681"
"","Trade Balance","2968990"
"Barbados","Total Exports","2471000"
"","Total Imports","4262"
"","Trade Balance","2466738"
"Haiti","Total Exports","2146710"
"","Total Imports","28845"
"","Trade Balance","2117865"
"Malaysia","Total Exports","3156035"
"","Total Imports","1301732"
"","Trade Balance","1854303"
"Thailand","Total Exports","2799310"
"","Total Imports","980157"
"","Trade Balance","1819153"
"Kuwait","Total Exports","1757837"
"","Total Imports","100"
"","Trade Balance","1757737"
"Bermuda","Total Exports","1657337"
"","Total Imports",""
"","Trade Balance","1657337"
"Türkiye","Total Exports","1867646"
"","Total Imports","223346"
"","Trade Balance","1644300"
"Bahamas","Total Exports","1485996"
"","Total Imports","4936"
"","Trade Balance","1481060"
"Ecuador","Total Exports","4044698"
"","Total Imports","2571837"
"","Trade Balance","1472861"
"Uruguay","Total Exports","1515235"
"","Total Imports","54278"
"","Trade Balance","1460957"
"Philippines","Total Exports","1727639"
"","Total Imports","295941"
"","Trade Balance","1431698"
"Ireland","Total Exports","1874893"
"","Total Imports","474692"
"","Trade Balance","1400201"
"United Arab Emirates","Total Exports","1300758"
"","Total Imports",""
"","Trade Balance","1300758"
