"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","New Brunswick"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2002"
"Units","Value in  canadian dollars"

"","","2002"
"United States","Total Exports","7376965594"
"","Total Imports","2268440972"
"","Trade Balance","5108524622"
"Japan","Total Exports","197034528"
"","Total Imports","27793316"
"","Trade Balance","169241212"
"Belgium","Total Exports","58721355"
"","Total Imports","2368324"
"","Trade Balance","56353031"
"Germany","Total Exports","54150764"
"","Total Imports","17685546"
"","Trade Balance","36465218"
"Brazil","Total Exports","55450418"
"","Total Imports","20902449"
"","Trade Balance","34547969"
"Spain","Total Exports","31801962"
"","Total Imports","1645658"
"","Trade Balance","30156304"
"Dominican Republic","Total Exports","28376665"
"","Total Imports","108304"
"","Trade Balance","28268361"
"India","Total Exports","28460788"
"","Total Imports","656043"
"","Trade Balance","27804745"
"Korea, South","Total Exports","31285597"
"","Total Imports","4822118"
"","Trade Balance","26463479"
"Indonesia","Total Exports","26243860"
"","Total Imports","1537089"
"","Trade Balance","24706771"
"Switzerland","Total Exports","16325175"
"","Total Imports","1711194"
"","Trade Balance","14613981"
"Jamaica","Total Exports","13433974"
"","Total Imports","21991"
"","Trade Balance","13411983"
"China","Total Exports","26003300"
"","Total Imports","16781579"
"","Trade Balance","9221721"
"Cuba","Total Exports","8902695"
"","Total Imports","54042"
"","Trade Balance","8848653"
"Finland","Total Exports","11330276"
"","Total Imports","3951100"
"","Trade Balance","7379176"
"Thailand","Total Exports","7050208"
"","Total Imports","1018806"
"","Trade Balance","6031402"
"Poland","Total Exports","5450364"
"","Total Imports","117662"
"","Trade Balance","5332702"
"Italy (incl. Vatican City State)","Total Exports","11863391"
"","Total Imports","6962782"
"","Trade Balance","4900609"
"Denmark","Total Exports","5575699"
"","Total Imports","1130445"
"","Trade Balance","4445254"
"Trinidad and Tobago","Total Exports","4029988"
"","Total Imports","194629"
"","Trade Balance","3835359"
"Türkiye","Total Exports","3926021"
"","Total Imports","189423"
"","Trade Balance","3736598"
"Guatemala","Total Exports","4511166"
"","Total Imports","1466139"
"","Trade Balance","3045027"
"Bahamas","Total Exports","2933252"
"","Total Imports","14621"
"","Trade Balance","2918631"
"Sweden","Total Exports","9211416"
"","Total Imports","6387624"
"","Trade Balance","2823792"
"Haiti","Total Exports","2528592"
"","Total Imports","5862"
"","Trade Balance","2522730"
"Ecuador","Total Exports","4731382"
"","Total Imports","2417645"
"","Trade Balance","2313737"
"Barbados","Total Exports","2279260"
"","Total Imports","15547"
"","Trade Balance","2263713"
"Bermuda","Total Exports","2125850"
"","Total Imports","500"
"","Trade Balance","2125350"
