"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","New Brunswick"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2003"
"Units","Value in  canadian dollars"

"","","2003"
"United States","Total Exports","7622251696"
"","Total Imports","2249498103"
"","Trade Balance","5372753593"
"Japan","Total Exports","147380537"
"","Total Imports","31345769"
"","Trade Balance","116034768"
"India","Total Exports","55925706"
"","Total Imports","989014"
"","Trade Balance","54936692"
"Germany","Total Exports","66751991"
"","Total Imports","17110985"
"","Trade Balance","49641006"
"Spain","Total Exports","42353654"
"","Total Imports","1576464"
"","Trade Balance","40777190"
"Korea, South","Total Exports","39206750"
"","Total Imports","6275570"
"","Trade Balance","32931180"
"Belgium","Total Exports","38452716"
"","Total Imports","8098428"
"","Trade Balance","30354288"
"Indonesia","Total Exports","30076606"
"","Total Imports","1203142"
"","Trade Balance","28873464"
"China","Total Exports","42834158"
"","Total Imports","22939240"
"","Trade Balance","19894918"
"Brazil","Total Exports","47421143"
"","Total Imports","28010892"
"","Trade Balance","19410251"
"Dominican Republic","Total Exports","18250545"
"","Total Imports","346762"
"","Trade Balance","17903783"
"Thailand","Total Exports","18562203"
"","Total Imports","1361993"
"","Trade Balance","17200210"
"Philippines","Total Exports","14176494"
"","Total Imports","323977"
"","Trade Balance","13852517"
"Romania","Total Exports","13937734"
"","Total Imports","101675"
"","Trade Balance","13836059"
"Finland","Total Exports","15988121"
"","Total Imports","3672061"
"","Trade Balance","12316060"
"Jamaica","Total Exports","11631635"
"","Total Imports","1359"
"","Trade Balance","11630276"
"Cuba","Total Exports","9065339"
"","Total Imports","20191"
"","Trade Balance","9045148"
"Poland","Total Exports","8570825"
"","Total Imports","513302"
"","Trade Balance","8057523"
"Trinidad and Tobago","Total Exports","7961131"
"","Total Imports","149239"
"","Trade Balance","7811892"
"Guatemala","Total Exports","8486671"
"","Total Imports","2515805"
"","Trade Balance","5970866"
"Denmark","Total Exports","6856564"
"","Total Imports","1027675"
"","Trade Balance","5828889"
"Honduras","Total Exports","6730434"
"","Total Imports","1111813"
"","Trade Balance","5618621"
"Australia","Total Exports","9687173"
"","Total Imports","4259046"
"","Trade Balance","5428127"
"Switzerland","Total Exports","7071473"
"","Total Imports","2205513"
"","Trade Balance","4865960"
"New Zealand","Total Exports","4233305"
"","Total Imports","902551"
"","Trade Balance","3330754"
"Bermuda","Total Exports","3142784"
"","Total Imports",""
"","Trade Balance","3142784"
"Haiti","Total Exports","2998834"
"","Total Imports","1444"
"","Trade Balance","2997390"
"Hong Kong","Total Exports","3116351"
"","Total Imports","271175"
"","Trade Balance","2845176"
"Barbados","Total Exports","2585524"
"","Total Imports","7500"
"","Trade Balance","2578024"
"Taiwan","Total Exports","7421425"
"","Total Imports","4984247"
"","Trade Balance","2437178"
"Ecuador","Total Exports","5240801"
"","Total Imports","2873524"
"","Trade Balance","2367277"
"United Arab Emirates","Total Exports","2273281"
"","Total Imports","1124"
"","Trade Balance","2272157"
"Kuwait","Total Exports","2096408"
"","Total Imports",""
"","Trade Balance","2096408"
"Saint Pierre-Miquelon","Total Exports","1869132"
"","Total Imports","2561"
"","Trade Balance","1866571"
"Iceland","Total Exports","3439793"
"","Total Imports","2168071"
"","Trade Balance","1271722"
"Singapore","Total Exports","1524539"
"","Total Imports","296343"
"","Trade Balance","1228196"
"El Salvador","Total Exports","1237111"
"","Total Imports","14670"
"","Trade Balance","1222441"
"Panama","Total Exports","1171048"
"","Total Imports","1423"
"","Trade Balance","1169625"
"Congo (formerly Zaire)","Total Exports","1105856"
"","Total Imports",""
"","Trade Balance","1105856"
"Guyana","Total Exports","910914"
"","Total Imports","3747"
"","Trade Balance","907167"
"Grenada","Total Exports","863297"
"","Total Imports",""
"","Trade Balance","863297"
"Antigua and Barbuda","Total Exports","793510"
"","Total Imports","1888"
"","Trade Balance","791622"
"Ireland","Total Exports","1967989"
"","Total Imports","1186456"
"","Trade Balance","781533"
"Lithuania","Total Exports","682254"
"","Total Imports",""
"","Trade Balance","682254"
"Cyprus","Total Exports","617843"
"","Total Imports",""
"","Trade Balance","617843"
"Saint Lucia","Total Exports","625625"
"","Total Imports","14232"
"","Trade Balance","611393"
"Netherlands Antilles","Total Exports","608440"
