"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","New Brunswick"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2006"
"Units","Value in  canadian dollars"

"","","2006"
"United States","Total Exports","9383703209"
"","Total Imports","2060004472"
"","Trade Balance","7323698737"
"Poland","Total Exports","55741325"
"","Total Imports","640266"
"","Trade Balance","55101059"
"India","Total Exports","57652578"
"","Total Imports","5097815"
"","Trade Balance","52554763"
"Brazil","Total Exports","67054367"
"","Total Imports","17941588"
"","Trade Balance","49112779"
"Indonesia","Total Exports","52130188"
"","Total Imports","3328254"
"","Trade Balance","48801934"
"Romania","Total Exports","45502124"
"","Total Imports","171861"
"","Trade Balance","45330263"
"Dominican Republic","Total Exports","24388327"
"","Total Imports","193196"
"","Trade Balance","24195131"
"Greece","Total Exports","23165793"
"","Total Imports","744536"
"","Trade Balance","22421257"
"Türkiye","Total Exports","22457077"
"","Total Imports","406014"
"","Trade Balance","22051063"
"Spain","Total Exports","23284701"
"","Total Imports","2889919"
"","Trade Balance","20394782"
"Lebanon","Total Exports","18897582"
"","Total Imports","1386"
"","Trade Balance","18896196"
"Cayman Islands","Total Exports","18464091"
"","Total Imports",""
"","Trade Balance","18464091"
"Korea, South","Total Exports","29501587"
"","Total Imports","13482024"
"","Trade Balance","16019563"
"Jamaica","Total Exports","13654151"
"","Total Imports","53511"
"","Trade Balance","13600640"
"Guatemala","Total Exports","16816297"
"","Total Imports","4121683"
"","Trade Balance","12694614"
"Cuba","Total Exports","11144952"
"","Total Imports","6932"
"","Trade Balance","11138020"
"Honduras","Total Exports","9628863"
"","Total Imports","1119686"
"","Trade Balance","8509177"
"Trinidad and Tobago","Total Exports","8382431"
"","Total Imports","8692"
"","Trade Balance","8373739"
"Venezuela","Total Exports","48538298"
"","Total Imports","41428169"
"","Trade Balance","7110129"
"Haiti","Total Exports","7094575"
"","Total Imports","180598"
"","Trade Balance","6913977"
"Thailand","Total Exports","15410445"
"","Total Imports","8735775"
"","Trade Balance","6674670"
"Belgium","Total Exports","54243512"
"","Total Imports","48211969"
"","Trade Balance","6031543"
"Israel","Total Exports","5117406"
"","Total Imports","721797"
"","Trade Balance","4395609"
"Egypt","Total Exports","5296911"
"","Total Imports","1047780"
"","Trade Balance","4249131"
"Bermuda","Total Exports","4004387"
"","Total Imports","17074"
"","Trade Balance","3987313"
"Hong Kong","Total Exports","4056672"
"","Total Imports","207065"
"","Trade Balance","3849607"
"Ecuador","Total Exports","4452371"
"","Total Imports","866856"
"","Trade Balance","3585515"
"Iceland","Total Exports","3522426"
"","Total Imports","158436"
"","Trade Balance","3363990"
"South Africa","Total Exports","6340677"
"","Total Imports","3138425"
"","Trade Balance","3202252"
"Vietnam","Total Exports","3493543"
"","Total Imports","683077"
"","Trade Balance","2810466"
"Panama","Total Exports","3416868"
"","Total Imports","670350"
"","Trade Balance","2746518"
"Barbados","Total Exports","2633812"
"","Total Imports",""
"","Trade Balance","2633812"
"Uruguay","Total Exports","2613299"
"","Total Imports","75"
"","Trade Balance","2613224"
"Kuwait","Total Exports","2530945"
"","Total Imports",""
"","Trade Balance","2530945"
"New Zealand","Total Exports","3091201"
"","Total Imports","578121"
"","Trade Balance","2513080"
"Philippines","Total Exports","2664852"
