"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","New Brunswick"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2011"
"Units","Value in  canadian dollars"

"","","2011"
"United States","Total Exports","12484773095"
"","Total Imports","2818456692"
"","Trade Balance","9666316403"
"Netherlands","Total Exports","553077727"
"","Total Imports","3180601"
"","Trade Balance","549897126"
"Türkiye","Total Exports","144393846"
"","Total Imports","703436"
"","Trade Balance","143690410"
"France (incl. Monaco, French Antilles)","Total Exports","122081591"
"","Total Imports","11861416"
"","Trade Balance","110220175"
"Indonesia","Total Exports","107956530"
"","Total Imports","4691123"
"","Trade Balance","103265407"
"Thailand","Total Exports","62039831"
"","Total Imports","5173628"
"","Trade Balance","56866203"
"Bahamas","Total Exports","47324971"
"","Total Imports","307043"
"","Trade Balance","47017928"
"Dominican Republic","Total Exports","44679666"
"","Total Imports","81767"
"","Trade Balance","44597899"
"India","Total Exports","45606634"
"","Total Imports","4033942"
"","Trade Balance","41572692"
"Belgium","Total Exports","66383127"
"","Total Imports","26913646"
"","Trade Balance","39469481"
"Finland","Total Exports","39362810"
"","Total Imports","3503575"
"","Trade Balance","35859235"
"China","Total Exports","137337805"
"","Total Imports","104774835"
"","Trade Balance","32562970"
"Gibraltar","Total Exports","31856054"
"","Total Imports","29"
"","Trade Balance","31856025"
"Spain","Total Exports","73337945"
"","Total Imports","41503435"
"","Trade Balance","31834510"
"Morocco","Total Exports","32888950"
"","Total Imports","4931724"
"","Trade Balance","27957226"
"Japan","Total Exports","63755208"
"","Total Imports","38146382"
"","Trade Balance","25608826"
"Egypt","Total Exports","25645978"
"","Total Imports","416785"
"","Trade Balance","25229193"
"Jamaica","Total Exports","23634998"
"","Total Imports","90186"
"","Trade Balance","23544812"
"Chile","Total Exports","26367758"
"","Total Imports","8140876"
"","Trade Balance","18226882"
"Hong Kong","Total Exports","15584196"
"","Total Imports","210376"
"","Trade Balance","15373820"
"Cuba","Total Exports","15282513"
"","Total Imports","2303"
"","Trade Balance","15280210"
"Australia","Total Exports","18446383"
"","Total Imports","3204440"
"","Trade Balance","15241943"
"Honduras","Total Exports","19084824"
"","Total Imports","5176257"
"","Trade Balance","13908567"
"Panama","Total Exports","13519207"
"","Total Imports","19086"
"","Trade Balance","13500121"
"Poland","Total Exports","11346274"
"","Total Imports","1061133"
"","Trade Balance","10285141"
"Germany","Total Exports","49731820"
"","Total Imports","40128545"
"","Trade Balance","9603275"
"South Africa","Total Exports","8958709"
"","Total Imports","1095574"
"","Trade Balance","7863135"
"Costa Rica","Total Exports","15857813"
"","Total Imports","8712745"
"","Trade Balance","7145068"
"Haiti","Total Exports","6344870"
"","Total Imports","149703"
"","Trade Balance","6195167"
"U.S. Minor Outlying Islands","Total Exports","5702227"
"","Total Imports","18723"
"","Trade Balance","5683504"
"Colombia","Total Exports","65677890"
"","Total Imports","60328676"
"","Trade Balance","5349214"
"United Arab Emirates","Total Exports","5362779"
"","Total Imports","283146"
"","Trade Balance","5079633"
"Mauritania","Total Exports","4058874"
"","Total Imports",""
"","Trade Balance","4058874"
"Kuwait","Total Exports","3578519"
"","Total Imports","400"
"","Trade Balance","3578119"
"Philippines","Total Exports","4683453"
"","Total Imports","1191720"
"","Trade Balance","3491733"
"Barbados","Total Exports","2869133"
"","Total Imports","9535"
"","Trade Balance","2859598"
"Ecuador","Total Exports","3641048"
"","Total Imports","1622851"
"","Trade Balance","2018197"
"Iceland","Total Exports","1732198"
"","Total Imports","176399"
"","Trade Balance","1555799"
"Netherlands Antilles","Total Exports","1450888"
"","Total Imports","5678"
"","Trade Balance","1445210"
"Uruguay","Total Exports","1262568"
"","Total Imports","3108"
"","Trade Balance","1259460"
"Bermuda","Total Exports","1262208"
"","Total Imports","20410"
"","Trade Balance","1241798"
"Saint Pierre-Miquelon","Total Exports","1211373"
"","Total Imports",""
"","Trade Balance","1211373"
"Ireland","Total Exports","3645124"
"","Total Imports","2555520"
"","Trade Balance","1089604"
"Pakistan","Total Exports","1241929"
"","Total Imports","364634"
"","Trade Balance","877295"
"Liberia","Total Exports","870744"
"","Total Imports",""
"","Trade Balance","870744"
"Saint Lucia","Total Exports","781304"
"","Total Imports","13"
"","Trade Balance","781291"
"Suriname","Total Exports","788374"
"","Total Imports","7556"
"","Trade Balance","780818"
"Lebanon","Total Exports","779556"
"","Total Imports",""
"","Trade Balance","779556"
"Paraguay","Total Exports","749660"
"","Total Imports",""
"","Trade Balance","749660"
"New Zealand","Total Exports","2596837"
"","Total Imports","1850227"
"","Trade Balance","746610"
"Bangladesh","Total Exports","817091"
"","Total Imports","141525"
"","Trade Balance","675566"
"Aruba","Total Exports","658708"
"","Total Imports",""
"","Trade Balance","658708"
"Czech Republic","Total Exports","1439717"
"","Total Imports","795206"
"","Trade Balance","644511"
"Saint Vincent and the Grenadines","Total Exports","614493"
"","Total Imports",""
"","Trade Balance","614493"
"Bahrain","Total Exports","592846"
"","Total Imports","5383"
"","Trade Balance","587463"
"El Salvador","Total Exports","649737"
"","Total Imports","83382"
"","Trade Balance","566355"
"Mongolia","Total Exports","564355"
"","Total Imports","425"
"","Trade Balance","563930"
"Jordan","Total Exports","568476"
"","Total Imports","23442"
"","Trade Balance","545034"
"Grenada","Total Exports","541186"
"","Total Imports",""
"","Trade Balance","541186"
"Lithuania","Total Exports","537339"
"","Total Imports","5614"
"","Trade Balance","531725"
"Guyana","Total Exports","559199"
"","Total Imports","53915"
"","Trade Balance","505284"
"Fiji","Total Exports","446038"
"","Total Imports",""
"","Trade Balance","446038"
"Antigua and Barbuda","Total Exports","436903"
"","Total Imports",""
"","Trade Balance","436903"
"Saint Kitts and Nevis","Total Exports","404639"
"","Total Imports","24760"
"","Trade Balance","379879"
"Dominica","Total Exports","344505"
"","Total Imports","612"
"","Trade Balance","343893"
"Estonia","Total Exports","321657"
"","Total Imports","13158"
"","Trade Balance","308499"
"Turks and Caicos Islands","Total Exports","302338"
"","Total Imports",""
"","Trade Balance","302338"
"Cyprus","Total Exports","276052"
"","Total Imports","54"
"","Trade Balance","275998"
"Argentina","Total Exports","2237688"
"","Total Imports","2000923"
"","Trade Balance","236765"
"Oman (formerly Muscat and Oman)","Total Exports","210377"
"","Total Imports",""
"","Trade Balance","210377"
"New Caledonia","Total Exports","167178"
"","Total Imports","885"
"","Trade Balance","166293"
"Benin","Total Exports","160468"
"","Total Imports",""
"","Trade Balance","160468"
"Guam","Total Exports","159474"
"","Total Imports","11010"
"","Trade Balance","148464"
"Cayman Islands","Total Exports","146560"
"","Total Imports",""
"","Trade Balance","146560"
"Ghana","Total Exports","188474"
"","Total Imports","74743"
"","Trade Balance","113731"
"North Macedonia","Total Exports","106489"
"","Total Imports",""
"","Trade Balance","106489"
"British Virgin Islands","Total Exports","101454"
"","Total Imports",""
"","Trade Balance","101454"
"Bulgaria","Total Exports","148571"
"","Total Imports","54311"
"","Trade Balance","94260"
"Libya","Total Exports","85467"
"","Total Imports",""
"","Trade Balance","85467"
"Mauritius","Total Exports","120754"
"","Total Imports","35324"
