"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","New Brunswick"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2013"
"Units","Value in  canadian dollars"

"","","2013"
"United States","Total Exports","13031710433"
"","Total Imports","5856954373"
"","Trade Balance","7174756060"
"Türkiye","Total Exports","110879023"
"","Total Imports","1437246"
"","Trade Balance","109441777"
"India","Total Exports","67763022"
"","Total Imports","6460835"
"","Trade Balance","61302187"
"Japan","Total Exports","109345273"
"","Total Imports","49043620"
"","Trade Balance","60301653"
"Egypt","Total Exports","59274412"
"","Total Imports","55043"
"","Trade Balance","59219369"
"Indonesia","Total Exports","57827911"
"","Total Imports","1835386"
"","Trade Balance","55992525"
"Spain","Total Exports","76072500"
"","Total Imports","24209759"
"","Trade Balance","51862741"
"Thailand","Total Exports","54844894"
"","Total Imports","5102935"
"","Trade Balance","49741959"
"Bahamas","Total Exports","49141739"
"","Total Imports","664842"
"","Trade Balance","48476897"
"Dominican Republic","Total Exports","34627889"
"","Total Imports","184583"
"","Trade Balance","34443306"
"Ecuador","Total Exports","33577342"
"","Total Imports","2078748"
"","Trade Balance","31498594"
"France (incl. Monaco, French Antilles)","Total Exports","37646750"
"","Total Imports","10068744"
"","Trade Balance","27578006"
"Italy (incl. Vatican City State)","Total Exports","38303279"
"","Total Imports","11896519"
"","Trade Balance","26406760"
"Hong Kong","Total Exports","17432194"
"","Total Imports","226133"
"","Trade Balance","17206061"
"Cuba","Total Exports","15406361"
"","Total Imports","1397"
"","Trade Balance","15404964"
"Jamaica","Total Exports","14288838"
"","Total Imports","68173"
"","Trade Balance","14220665"
"Haiti","Total Exports","12230326"
"","Total Imports","263132"
"","Trade Balance","11967194"
"Honduras","Total Exports","13923741"
"","Total Imports","2562059"
"","Trade Balance","11361682"
"Australia","Total Exports","14246772"
"","Total Imports","3586139"
"","Trade Balance","10660633"
"Denmark","Total Exports","12637577"
"","Total Imports","2788294"
"","Trade Balance","9849283"
"Aruba","Total Exports","8828222"
"","Total Imports","267"
"","Trade Balance","8827955"
"Austria","Total Exports","7983658"
"","Total Imports","1120175"
"","Trade Balance","6863483"
"Saint Pierre-Miquelon","Total Exports","5587783"
"","Total Imports",""
"","Trade Balance","5587783"
"Sweden","Total Exports","9244013"
"","Total Imports","4007533"
"","Trade Balance","5236480"
"Bahrain","Total Exports","4463494"
"","Total Imports","9107"
"","Trade Balance","4454387"
"Kuwait","Total Exports","3955857"
"","Total Imports","8"
"","Trade Balance","3955849"
"Poland","Total Exports","6429005"
"","Total Imports","2623719"
"","Trade Balance","3805286"
"Panama","Total Exports","3485242"
"","Total Imports","2209"
"","Trade Balance","3483033"
"U.S. Minor Outlying Islands","Total Exports","3226840"
"","Total Imports","384"
"","Trade Balance","3226456"
"United Arab Emirates","Total Exports","3042724"
"","Total Imports","55442"
"","Trade Balance","2987282"
