"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","New Brunswick"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2014"
"Units","Value in  canadian dollars"

"","","2014"
"United States","Total Exports","11977047587"
"","Total Imports","7317164505"
"","Trade Balance","4659883082"
"India","Total Exports","96610656"
"","Total Imports","4733639"
"","Trade Balance","91877017"
"Türkiye","Total Exports","82096457"
"","Total Imports","2291527"
"","Trade Balance","79804930"
"Indonesia","Total Exports","63509099"
"","Total Imports","2681046"
"","Trade Balance","60828053"
"Thailand","Total Exports","48437112"
"","Total Imports","4819222"
"","Trade Balance","43617890"
"Egypt","Total Exports","40309197"
"","Total Imports","91702"
"","Trade Balance","40217495"
"Dominican Republic","Total Exports","35022111"
"","Total Imports","1356541"
"","Trade Balance","33665570"
"Cuba","Total Exports","29591868"
"","Total Imports","9539"
"","Trade Balance","29582329"
"France (incl. Monaco, French Antilles)","Total Exports","46629792"
"","Total Imports","18304885"
"","Trade Balance","28324907"
"Japan","Total Exports","75029736"
"","Total Imports","48818853"
"","Trade Balance","26210883"
"Jamaica","Total Exports","15713426"
"","Total Imports","75096"
"","Trade Balance","15638330"
"Haiti","Total Exports","14162386"
"","Total Imports","383851"
"","Trade Balance","13778535"
"Denmark","Total Exports","14433520"
"","Total Imports","2517330"
"","Trade Balance","11916190"
"Austria","Total Exports","13839445"
"","Total Imports","2658925"
"","Trade Balance","11180520"
"Australia","Total Exports","12873012"
"","Total Imports","3816690"
"","Trade Balance","9056322"
"Hong Kong","Total Exports","9225936"
"","Total Imports","192348"
"","Trade Balance","9033588"
"Honduras","Total Exports","13720675"
"","Total Imports","5096794"
"","Trade Balance","8623881"
"Sweden","Total Exports","15223602"
"","Total Imports","6905182"
"","Trade Balance","8318420"
"Costa Rica","Total Exports","17431920"
"","Total Imports","9794526"
"","Trade Balance","7637394"
"United Arab Emirates","Total Exports","6729139"
"","Total Imports","21717"
"","Trade Balance","6707422"
"U.S. Minor Outlying Islands","Total Exports","5148096"
"","Total Imports","114"
"","Trade Balance","5147982"
"Italy (incl. Vatican City State)","Total Exports","16519028"
"","Total Imports","13017755"
"","Trade Balance","3501273"
"Kuwait","Total Exports","3330286"
"","Total Imports",""
"","Trade Balance","3330286"
"Russia","Total Exports","5081862"
"","Total Imports","1829199"
"","Trade Balance","3252663"
"Ecuador","Total Exports","5518810"
"","Total Imports","2284428"
"","Trade Balance","3234382"
"Aruba","Total Exports","2950867"
"","Total Imports","1816"
"","Trade Balance","2949051"
"Panama","Total Exports","2852429"
"","Total Imports","32743"
"","Trade Balance","2819686"
"Barbados","Total Exports","2379740"
"","Total Imports","52830"
"","Trade Balance","2326910"
"Venezuela","Total Exports","2320262"
"","Total Imports","154"
"","Trade Balance","2320108"
"Bermuda","Total Exports","2310705"
"","Total Imports","33953"
"","Trade Balance","2276752"
"Bangladesh","Total Exports","2331196"
"","Total Imports","148746"
"","Trade Balance","2182450"
"Pakistan","Total Exports","2505725"
"","Total Imports","425680"
"","Trade Balance","2080045"
"Iraq","Total Exports","1809771"
"","Total Imports","288"
"","Trade Balance","1809483"
"Iceland","Total Exports","2507098"
"","Total Imports","799798"
"","Trade Balance","1707300"
"Guatemala","Total Exports","14583680"
"","Total Imports","13056452"
"","Trade Balance","1527228"
"Saint Pierre-Miquelon","Total Exports","1516019"
"","Total Imports",""
"","Trade Balance","1516019"
"Belize","Total Exports","1474410"
"","Total Imports","5802"
"","Trade Balance","1468608"
"New Zealand","Total Exports","2813831"
"","Total Imports","1409959"
"","Trade Balance","1403872"
"Bahrain","Total Exports","1427464"
"","Total Imports","29280"
"","Trade Balance","1398184"
"Madagascar","Total Exports","1353411"
"","Total Imports","25215"
"","Trade Balance","1328196"
"Suriname","Total Exports","1249283"
"","Total Imports","10009"
"","Trade Balance","1239274"
"El Salvador","Total Exports","1295314"
"","Total Imports","107768"
"","Trade Balance","1187546"
"South Africa","Total Exports","1856147"
"","Total Imports","753807"
"","Trade Balance","1102340"
"Uruguay","Total Exports","1100499"
"","Total Imports","1353"
"","Trade Balance","1099146"
"Czech Republic","Total Exports","2943751"
"","Total Imports","1937984"
"","Trade Balance","1005767"
"Qatar","Total Exports","995018"
"","Total Imports","14806"
"","Trade Balance","980212"
"Vietnam","Total Exports","7132415"
"","Total Imports","6249240"
"","Trade Balance","883175"
"Paraguay","Total Exports","843425"
"","Total Imports","26183"
"","Trade Balance","817242"
"Lebanon","Total Exports","762410"
"","Total Imports","1927"
"","Trade Balance","760483"
"Saint Lucia","Total Exports","744651"
"","Total Imports","39"
"","Trade Balance","744612"
"Curacao","Total Exports","692229"
"","Total Imports",""
"","Trade Balance","692229"
"Grenada","Total Exports","662641"
"","Total Imports","912"
"","Trade Balance","661729"
"Guyana","Total Exports","734135"
"","Total Imports","78046"
"","Trade Balance","656089"
"Antigua and Barbuda","Total Exports","623678"
"","Total Imports","116"
"","Trade Balance","623562"
"Fiji","Total Exports","539330"
"","Total Imports","62"
"","Trade Balance","539268"
"Nigeria","Total Exports","512519"
"","Total Imports","78"
"","Trade Balance","512441"
"Saint Vincent and the Grenadines","Total Exports","455185"
"","Total Imports",""
"","Trade Balance","455185"
"Jordan","Total Exports","443813"
"","Total Imports","103"
"","Trade Balance","443710"
"Oman (formerly Muscat and Oman)","Total Exports","352489"
"","Total Imports","374"
"","Trade Balance","352115"
"Portugal","Total Exports","614309"
"","Total Imports","285541"
"","Trade Balance","328768"
"Saint Kitts and Nevis","Total Exports","478389"
"","Total Imports","158599"
"","Trade Balance","319790"
"New Caledonia","Total Exports","312232"
"","Total Imports",""
"","Trade Balance","312232"
"Dominica","Total Exports","264604"
"","Total Imports","399"
"","Trade Balance","264205"
"Benin","Total Exports","263506"
"","Total Imports",""
"","Trade Balance","263506"
"Sint Maarten","Total Exports","236221"
"","Total Imports",""
"","Trade Balance","236221"
"Mauritius","Total Exports","236083"
"","Total Imports","1723"
"","Trade Balance","234360"
"Cayman Islands","Total Exports","220775"
"","Total Imports","7974"
"","Trade Balance","212801"
"Estonia","Total Exports","184453"
"","Total Imports","1986"
"","Trade Balance","182467"
"Congo (formerly Zaire)","Total Exports","140000"
"","Total Imports",""
"","Trade Balance","140000"
"Luxembourg","Total Exports","160000"
"","Total Imports","30576"
"","Trade Balance","129424"
"Yemen","Total Exports","136564"
"","Total Imports","13909"
"","Trade Balance","122655"
"Liberia","Total Exports","111424"
"","Total Imports",""
"","Trade Balance","111424"
"Serbia","Total Exports","111684"
"","Total Imports","725"
"","Trade Balance","110959"
