"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","New Brunswick"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2015"
"Units","Value in  canadian dollars"

"","","2015"
"United States","Total Exports","11052653911"
"","Total Imports","5311112838"
"","Trade Balance","5741541073"
"India","Total Exports","109270802"
"","Total Imports","7101710"
"","Trade Balance","102169092"
"Indonesia","Total Exports","72194454"
"","Total Imports","2652529"
"","Trade Balance","69541925"
"Thailand","Total Exports","66898120"
"","Total Imports","10017816"
"","Trade Balance","56880304"
"Türkiye","Total Exports","57577145"
"","Total Imports","2379223"
"","Trade Balance","55197922"
"Dominican Republic","Total Exports","43349350"
"","Total Imports","2372275"
"","Trade Balance","40977075"
"Egypt","Total Exports","24353340"
"","Total Imports","82756"
"","Trade Balance","24270584"
"Greece","Total Exports","23450857"
"","Total Imports","1424981"
"","Trade Balance","22025876"
"Hong Kong","Total Exports","22070160"
"","Total Imports","275620"
"","Trade Balance","21794540"
"Japan","Total Exports","71315028"
"","Total Imports","49835861"
"","Trade Balance","21479167"
"Cuba","Total Exports","19562437"
"","Total Imports","125591"
"","Trade Balance","19436846"
"Jamaica","Total Exports","17700934"
"","Total Imports","60481"
"","Trade Balance","17640453"
"Haiti","Total Exports","16826470"
"","Total Imports","151169"
"","Trade Balance","16675301"
"Austria","Total Exports","17747097"
"","Total Imports","1250743"
"","Trade Balance","16496354"
"Costa Rica","Total Exports","25752831"
"","Total Imports","11878687"
"","Trade Balance","13874144"
"United Arab Emirates","Total Exports","10177604"
"","Total Imports","610550"
"","Trade Balance","9567054"
"Australia","Total Exports","11300384"
"","Total Imports","4019105"
"","Trade Balance","7281279"
"Czech Republic","Total Exports","7609151"
"","Total Imports","1101991"
"","Trade Balance","6507160"
"Bangladesh","Total Exports","6009332"
"","Total Imports","115496"
"","Trade Balance","5893836"
"U.S. Minor Outlying Islands","Total Exports","5502638"
"","Total Imports","6242"
"","Trade Balance","5496396"
"Honduras","Total Exports","9911329"
"","Total Imports","4465699"
"","Trade Balance","5445630"
"Iceland","Total Exports","5754197"
"","Total Imports","328848"
"","Trade Balance","5425349"
"Malaysia","Total Exports","8712177"
"","Total Imports","3994428"
"","Trade Balance","4717749"
"Panama","Total Exports","4678622"
"","Total Imports","22307"
"","Trade Balance","4656315"
"Kuwait","Total Exports","4064460"
"","Total Imports","43652"
"","Trade Balance","4020808"
"Bermuda","Total Exports","3949281"
"","Total Imports","40717"
"","Trade Balance","3908564"
"Denmark","Total Exports","7359717"
"","Total Imports","3498296"
"","Trade Balance","3861421"
"Ecuador","Total Exports","6009660"
"","Total Imports","2536938"
"","Trade Balance","3472722"
"Bahamas","Total Exports","4451551"
"","Total Imports","1295000"
"","Trade Balance","3156551"
"Sweden","Total Exports","10692105"
"","Total Imports","7665546"
"","Trade Balance","3026559"
"Guatemala","Total Exports","17714203"
"","Total Imports","14719534"
"","Trade Balance","2994669"
"Barbados","Total Exports","3033382"
"","Total Imports","79320"
"","Trade Balance","2954062"
"Singapore","Total Exports","2732764"
"","Total Imports","343151"
"","Trade Balance","2389613"
"South Africa","Total Exports","3133847"
"","Total Imports","998588"
"","Trade Balance","2135259"
"France (incl. Monaco, French Antilles)","Total Exports","12213759"
"","Total Imports","10289241"
"","Trade Balance","1924518"
"Saint Pierre-Miquelon","Total Exports","1359413"
"","Total Imports",""
"","Trade Balance","1359413"
"New Zealand","Total Exports","3272682"
"","Total Imports","1959154"
"","Trade Balance","1313528"
"Iraq","Total Exports","1261253"
"","Total Imports",""
"","Trade Balance","1261253"
"Aruba","Total Exports","1263801"
"","Total Imports","6283"
"","Trade Balance","1257518"
"Suriname","Total Exports","1197102"
"","Total Imports","252"
"","Trade Balance","1196850"
"Qatar","Total Exports","1336922"
"","Total Imports","194040"
"","Trade Balance","1142882"
"Saint Lucia","Total Exports","1117532"
"","Total Imports","95"
"","Trade Balance","1117437"
"Bahrain","Total Exports","1054805"
"","Total Imports","30540"
"","Trade Balance","1024265"
"Guyana","Total Exports","961031"
"","Total Imports",""
"","Trade Balance","961031"
"Uruguay","Total Exports","930571"
"","Total Imports",""
"","Trade Balance","930571"
"Paraguay","Total Exports","918728"
"","Total Imports","6756"
"","Trade Balance","911972"
"Curacao","Total Exports","935632"
"","Total Imports","79803"
"","Trade Balance","855829"
"Uganda","Total Exports","832319"
"","Total Imports","1827"
"","Trade Balance","830492"
"Lebanon","Total Exports","817611"
"","Total Imports",""
"","Trade Balance","817611"
"Nicaragua","Total Exports","845688"
"","Total Imports","96545"
"","Trade Balance","749143"
"Saint Kitts and Nevis","Total Exports","742428"
"","Total Imports","90"
"","Trade Balance","742338"
"Antigua and Barbuda","Total Exports","687239"
"","Total Imports","261"
"","Trade Balance","686978"
"Fiji","Total Exports","637236"
"","Total Imports","1130"
"","Trade Balance","636106"
"Grenada","Total Exports","553413"
"","Total Imports",""
