"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","New Brunswick"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2016"
"Units","Value in  canadian dollars"

"","","2016"
"United States","Total Exports","9750469792"
"","Total Imports","4112872620"
"","Trade Balance","5637597172"
"India","Total Exports","123295680"
"","Total Imports","6248596"
"","Trade Balance","117047084"
"Indonesia","Total Exports","79610984"
"","Total Imports","2527509"
"","Trade Balance","77083475"
"Thailand","Total Exports","71421068"
"","Total Imports","7153021"
"","Trade Balance","64268047"
"Türkiye","Total Exports","52185501"
"","Total Imports","2052226"
"","Trade Balance","50133275"
"Japan","Total Exports","83094598"
"","Total Imports","47656796"
"","Trade Balance","35437802"
"Dominican Republic","Total Exports","29987896"
"","Total Imports","4543060"
"","Trade Balance","25444836"
"United Kingdom","Total Exports","40247696"
"","Total Imports","20937201"
"","Trade Balance","19310495"
"Hong Kong","Total Exports","17926989"
"","Total Imports","222243"
"","Trade Balance","17704746"
"Haiti","Total Exports","15047634"
"","Total Imports","98230"
"","Trade Balance","14949404"
"Australia","Total Exports","13647124"
"","Total Imports","3596542"
"","Trade Balance","10050582"
"Ecuador","Total Exports","10668952"
"","Total Imports","2137325"
"","Trade Balance","8531627"
"Jamaica","Total Exports","8303162"
"","Total Imports","49649"
"","Trade Balance","8253513"
"Cuba","Total Exports","7818940"
"","Total Imports","7"
"","Trade Balance","7818933"
"United Arab Emirates","Total Exports","6836821"
"","Total Imports","480422"
"","Trade Balance","6356399"
"Iceland","Total Exports","5419252"
"","Total Imports","309417"
"","Trade Balance","5109835"
"Singapore","Total Exports","3636659"
"","Total Imports","270822"
"","Trade Balance","3365837"
"U.S. Minor Outlying Islands","Total Exports","3326513"
"","Total Imports","13608"
"","Trade Balance","3312905"
"Bahamas","Total Exports","3163944"
"","Total Imports","387442"
"","Trade Balance","2776502"
"Kuwait","Total Exports","2682281"
"","Total Imports","25851"
"","Trade Balance","2656430"
"Bermuda","Total Exports","2521126"
"","Total Imports","35254"
"","Trade Balance","2485872"
"Barbados","Total Exports","2519234"
"","Total Imports","63840"
"","Trade Balance","2455394"
"Egypt","Total Exports","1848436"
"","Total Imports","94528"
"","Trade Balance","1753908"
"Saint Pierre-Miquelon","Total Exports","1420416"
"","Total Imports",""
"","Trade Balance","1420416"
"New Zealand","Total Exports","3386947"
"","Total Imports","2039799"
"","Trade Balance","1347148"
"Qatar","Total Exports","1246370"
"","Total Imports",""
"","Trade Balance","1246370"
"France (incl. Monaco, French Antilles)","Total Exports","11053455"
"","Total Imports","9984984"
"","Trade Balance","1068471"
"Suriname","Total Exports","1045221"
"","Total Imports",""
"","Trade Balance","1045221"
"Lebanon","Total Exports","938905"
"","Total Imports",""
"","Trade Balance","938905"
"Panama","Total Exports","893240"
"","Total Imports","6029"
"","Trade Balance","887211"
"Saint Lucia","Total Exports","886895"
"","Total Imports",""
"","Trade Balance","886895"
"Curacao","Total Exports","868259"
"","Total Imports",""
"","Trade Balance","868259"
"Saint Kitts and Nevis","Total Exports","869556"
"","Total Imports","6154"
"","Trade Balance","863402"
"Paraguay","Total Exports","817518"
"","Total Imports",""
"","Trade Balance","817518"
"Bahrain","Total Exports","817403"
"","Total Imports","15575"
"","Trade Balance","801828"
"Czech Republic","Total Exports","2229699"
"","Total Imports","1486022"
"","Trade Balance","743677"
"Aruba","Total Exports","731717"
"","Total Imports",""
"","Trade Balance","731717"
"Grenada","Total Exports","719062"
"","Total Imports",""
"","Trade Balance","719062"
"Ukraine","Total Exports","696446"
"","Total Imports","22052"
"","Trade Balance","674394"
"Saint Vincent and the Grenadines","Total Exports","638475"
"","Total Imports","898"
"","Trade Balance","637577"
"Uruguay","Total Exports","623787"
"","Total Imports","195"
"","Trade Balance","623592"
"Oman (formerly Muscat and Oman)","Total Exports","620738"
"","Total Imports","31588"
"","Trade Balance","589150"
"South Africa","Total Exports","1140274"
"","Total Imports","566810"
"","Trade Balance","573464"
"Fiji","Total Exports","541039"
"","Total Imports","479"
"","Trade Balance","540560"
"Antigua and Barbuda","Total Exports","531066"
"","Total Imports",""
"","Trade Balance","531066"
"Pakistan","Total Exports","1035914"
"","Total Imports","579357"
"","Trade Balance","456557"
"Cayman Islands","Total Exports","470792"
"","Total Imports","38881"
"","Trade Balance","431911"
"Nicaragua","Total Exports","501900"
"","Total Imports","151220"
"","Trade Balance","350680"
"Vietnam","Total Exports","6641830"
"","Total Imports","6298105"
"","Trade Balance","343725"
"Dominica","Total Exports","342821"
"","Total Imports","1971"
"","Trade Balance","340850"
"Venezuela","Total Exports","317994"
"","Total Imports","26"
"","Trade Balance","317968"
"Sint Maarten","Total Exports","316540"
"","Total Imports",""
"","Trade Balance","316540"
"Jordan","Total Exports","289723"
"","Total Imports","4332"
"","Trade Balance","285391"
"Iran","Total Exports","275718"
"","Total Imports",""
"","Trade Balance","275718"
"Greenland","Total Exports","227042"
"","Total Imports",""
"","Trade Balance","227042"
"El Salvador","Total Exports","449409"
"","Total Imports","255984"
