"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","New Brunswick"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2019"
"Units","Value in  canadian dollars"

"","","2019"
"United States","Total Exports","11550137722"
"","Total Imports","6164275471"
"","Trade Balance","5385862251"
"India","Total Exports","134413122"
"","Total Imports","9022831"
"","Trade Balance","125390291"
"Türkiye","Total Exports","105033857"
"","Total Imports","3310019"
"","Trade Balance","101723838"
"Belgium","Total Exports","99071808"
"","Total Imports","2458105"
"","Trade Balance","96613703"
"Netherlands","Total Exports","167528584"
"","Total Imports","100949758"
"","Trade Balance","66578826"
"Thailand","Total Exports","66614622"
"","Total Imports","5560549"
"","Trade Balance","61054073"
"Panama","Total Exports","60983260"
"","Total Imports","5983"
"","Trade Balance","60977277"
"Ireland","Total Exports","122117578"
"","Total Imports","64842695"
"","Trade Balance","57274883"
"Indonesia","Total Exports","52626057"
"","Total Imports","1915176"
"","Trade Balance","50710881"
"Japan","Total Exports","81979008"
"","Total Imports","38578935"
"","Trade Balance","43400073"
"Dominican Republic","Total Exports","38476897"
"","Total Imports","495199"
"","Trade Balance","37981698"
"Australia","Total Exports","31561300"
"","Total Imports","2640905"
"","Trade Balance","28920395"
"Bahamas","Total Exports","24399587"
"","Total Imports","1059839"
"","Trade Balance","23339748"
"Hong Kong","Total Exports","21953788"
"","Total Imports","73850"
"","Trade Balance","21879938"
"Jamaica","Total Exports","18288564"
"","Total Imports","35399"
"","Trade Balance","18253165"
"Haiti","Total Exports","12185557"
"","Total Imports","126376"
"","Trade Balance","12059181"
"Israel","Total Exports","9961194"
"","Total Imports","906301"
"","Trade Balance","9054893"
"United Arab Emirates","Total Exports","9397365"
"","Total Imports","594299"
"","Trade Balance","8803066"
"Taiwan","Total Exports","15829965"
"","Total Imports","8053977"
"","Trade Balance","7775988"
"Kuwait","Total Exports","4495968"
"","Total Imports",""
"","Trade Balance","4495968"
"Costa Rica","Total Exports","9974780"
"","Total Imports","5772211"
"","Trade Balance","4202569"
"Singapore","Total Exports","4313377"
"","Total Imports","929773"
"","Trade Balance","3383604"
"Bermuda","Total Exports","3095678"
"","Total Imports","95"
"","Trade Balance","3095583"
"Barbados","Total Exports","2934924"
"","Total Imports","202926"
"","Trade Balance","2731998"
"Burkina Faso","Total Exports","2633854"
"","Total Imports",""
"","Trade Balance","2633854"
"Lebanon","Total Exports","2553149"
"","Total Imports",""
"","Trade Balance","2553149"
"Cayman Islands","Total Exports","2196634"
"","Total Imports","6919"
"","Trade Balance","2189715"
"Qatar","Total Exports","2085060"
"","Total Imports","2359"
"","Trade Balance","2082701"
"Korea, South","Total Exports","28058871"
"","Total Imports","26041198"
"","Trade Balance","2017673"
"Bahrain","Total Exports","1988850"
"","Total Imports","24568"
"","Trade Balance","1964282"
"Ghana","Total Exports","1890693"
"","Total Imports","226"
"","Trade Balance","1890467"
"Suriname","Total Exports","1882941"
"","Total Imports",""
"","Trade Balance","1882941"
"Austria","Total Exports","4344480"
"","Total Imports","2638030"
"","Trade Balance","1706450"
"Argentina","Total Exports","3168562"
"","Total Imports","1766063"
"","Trade Balance","1402499"
"Poland","Total Exports","3583631"
"","Total Imports","2262303"
"","Trade Balance","1321328"
"Saint Lucia","Total Exports","1354639"
"","Total Imports","63446"
"","Trade Balance","1291193"
"Ecuador","Total Exports","2481256"
"","Total Imports","1283758"
"","Trade Balance","1197498"
"Saint Pierre-Miquelon","Total Exports","1182382"
"","Total Imports",""
"","Trade Balance","1182382"
"Guyana","Total Exports","1049322"
"","Total Imports","74"
"","Trade Balance","1049248"
"Benin","Total Exports","1027872"
"","Total Imports",""
"","Trade Balance","1027872"
"Curacao","Total Exports","1014765"
"","Total Imports",""
"","Trade Balance","1014765"
"Vietnam","Total Exports","11398076"
"","Total Imports","10435456"
"","Trade Balance","962620"
"Congo (formerly Brazzaville)","Total Exports","847989"
"","Total Imports","469"
"","Trade Balance","847520"
"Oman (formerly Muscat and Oman)","Total Exports","871138"
"","Total Imports","50618"
"","Trade Balance","820520"
"Saint Kitts and Nevis","Total Exports","837628"
"","Total Imports","30993"
"","Trade Balance","806635"
"Aruba","Total Exports","739207"
"","Total Imports","1016"
"","Trade Balance","738191"
"Antigua and Barbuda","Total Exports","675204"
"","Total Imports",""
"","Trade Balance","675204"
"Grenada","Total Exports","651535"
"","Total Imports",""
"","Trade Balance","651535"
"Georgia","Total Exports","627247"
"","Total Imports","5322"
"","Trade Balance","621925"
"Pakistan","Total Exports","1416606"
"","Total Imports","800231"
"","Trade Balance","616375"
"Nicaragua","Total Exports","760306"
"","Total Imports","188736"
"","Trade Balance","571570"
"Syria","Total Exports","515990"
"","Total Imports",""
"","Trade Balance","515990"
"Fiji","Total Exports","513411"
"","Total Imports",""
"","Trade Balance","513411"
"Philippines","Total Exports","962798"
"","Total Imports","522570"
"","Trade Balance","440228"
"Libya","Total Exports","405869"
"","Total Imports",""
"","Trade Balance","405869"
"Egypt","Total Exports","506505"
"","Total Imports","128030"
"","Trade Balance","378475"
"Tanzania","Total Exports","368248"
"","Total Imports","3171"
"","Trade Balance","365077"
"Sint Maarten","Total Exports","341972"
"","Total Imports",""
"","Trade Balance","341972"
"Mali","Total Exports","321687"
"","Total Imports","158"
"","Trade Balance","321529"
"Dominica","Total Exports","321752"
"","Total Imports","977"
"","Trade Balance","320775"
"Estonia","Total Exports","332837"
"","Total Imports","49387"
"","Trade Balance","283450"
"Saint Vincent and the Grenadines","Total Exports","267497"
"","Total Imports",""
"","Trade Balance","267497"
"Russia","Total Exports","1166786"
"","Total Imports","905387"
"","Trade Balance","261399"
"Malaysia","Total Exports","2279726"
"","Total Imports","2021537"
"","Trade Balance","258189"
"Venezuela","Total Exports","281959"
"","Total Imports","24551"
"","Trade Balance","257408"
"French Polynesia","Total Exports","254986"
"","Total Imports",""
"","Trade Balance","254986"
"British Virgin Islands","Total Exports","235637"
"","Total Imports","2452"
"","Trade Balance","233185"
"Jordan","Total Exports","255580"
"","Total Imports","37502"
"","Trade Balance","218078"
"Guam","Total Exports","195655"
"","Total Imports",""
"","Trade Balance","195655"
"Senegal","Total Exports","188493"
"","Total Imports","6178"
"","Trade Balance","182315"
"Congo (formerly Zaire)","Total Exports","171059"
"","Total Imports","45"
"","Trade Balance","171014"
"Kenya","Total Exports","191285"
"","Total Imports","21761"
"","Trade Balance","169524"
"Nepal","Total Exports","151231"
"","Total Imports","8167"
"","Trade Balance","143064"
"Liberia","Total Exports","133214"
"","Total Imports",""
"","Trade Balance","133214"
"Brunei Darussalam","Total Exports","112174"
"","Total Imports",""
"","Trade Balance","112174"
"Latvia","Total Exports","181861"
"","Total Imports","84108"
"","Trade Balance","97753"
"Togo","Total Exports","96035"
"","Total Imports","20"
"","Trade Balance","96015"
"Anguilla","Total Exports","95703"
"","Total Imports","6"
"","Trade Balance","95697"
"Cuba","Total Exports","92109"
"","Total Imports","79"
"","Trade Balance","92030"
"Ukraine","Total Exports","113637"
"","Total Imports","24870"
