"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","New Brunswick"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2021"
"Units","Value in  canadian dollars"

"","","2021"
"United States","Total Exports","13684183858"
"","Total Imports","6367817359"
"","Trade Balance","7316366499"
"India","Total Exports","129925066"
"","Total Imports","10602796"
"","Trade Balance","119322270"
"Thailand","Total Exports","83107541"
"","Total Imports","11960820"
"","Trade Balance","71146721"
"Bahamas","Total Exports","68569435"
"","Total Imports","1242980"
"","Trade Balance","67326455"
"Bonaire, Sint Eustatius and Saba","Total Exports","67044066"
"","Total Imports",""
"","Trade Balance","67044066"
"Dominican Republic","Total Exports","35789969"
"","Total Imports","709307"
"","Trade Balance","35080662"
"Japan","Total Exports","66384903"
"","Total Imports","34471020"
"","Trade Balance","31913883"
"Indonesia","Total Exports","31108386"
"","Total Imports","1691654"
"","Trade Balance","29416732"
"Australia","Total Exports","30938540"
"","Total Imports","3160579"
"","Trade Balance","27777961"
"Hong Kong","Total Exports","20043430"
"","Total Imports","45911"
"","Trade Balance","19997519"
"Haiti","Total Exports","14028435"
"","Total Imports","28800"
"","Trade Balance","13999635"
"United Arab Emirates","Total Exports","12398039"
"","Total Imports","113099"
"","Trade Balance","12284940"
"Jamaica","Total Exports","11167463"
"","Total Imports","341985"
"","Trade Balance","10825478"
"Spain","Total Exports","14323648"
"","Total Imports","5556631"
"","Trade Balance","8767017"
"Kuwait","Total Exports","8168028"
"","Total Imports","379"
"","Trade Balance","8167649"
"Israel","Total Exports","8638228"
"","Total Imports","778590"
"","Trade Balance","7859638"
"Panama","Total Exports","7832159"
"","Total Imports","244801"
"","Trade Balance","7587358"
"Algeria","Total Exports","3459038"
"","Total Imports","2"
"","Trade Balance","3459036"
"Singapore","Total Exports","3574914"
"","Total Imports","155917"
"","Trade Balance","3418997"
"Taiwan","Total Exports","15633512"
"","Total Imports","12888187"
"","Trade Balance","2745325"
"Bermuda","Total Exports","2491002"
"","Total Imports","2610"
"","Trade Balance","2488392"
"Qatar","Total Exports","2320846"
"","Total Imports",""
"","Trade Balance","2320846"
"Greece","Total Exports","4515450"
"","Total Imports","2351617"
"","Trade Balance","2163833"
"Suriname","Total Exports","2038790"
"","Total Imports","12678"
"","Trade Balance","2026112"
"Saint Pierre-Miquelon","Total Exports","1660838"
"","Total Imports",""
"","Trade Balance","1660838"
"Barbados","Total Exports","2183090"
"","Total Imports","564018"
"","Trade Balance","1619072"
"Guyana","Total Exports","1592676"
"","Total Imports","602"
"","Trade Balance","1592074"
"Cayman Islands","Total Exports","1438615"
"","Total Imports","4405"
"","Trade Balance","1434210"
"Saint Lucia","Total Exports","1244231"
"","Total Imports","1931"
"","Trade Balance","1242300"
"Benin","Total Exports","1218351"
"","Total Imports","345"
"","Trade Balance","1218006"
"Honduras","Total Exports","3289078"
"","Total Imports","2107389"
"","Trade Balance","1181689"
"French Polynesia","Total Exports","1121112"
"","Total Imports",""
"","Trade Balance","1121112"
"Kazakhstan","Total Exports","1190347"
"","Total Imports","234421"
"","Trade Balance","955926"
"Antigua and Barbuda","Total Exports","887058"
"","Total Imports",""
"","Trade Balance","887058"
"Nicaragua","Total Exports","1369085"
"","Total Imports","493626"
"","Trade Balance","875459"
"Curacao","Total Exports","857770"
"","Total Imports","591"
"","Trade Balance","857179"
"Bahrain","Total Exports","863581"
"","Total Imports","18749"
"","Trade Balance","844832"
"Fiji","Total Exports","834021"
"","Total Imports","960"
"","Trade Balance","833061"
"Lebanon","Total Exports","786128"
"","Total Imports",""
"","Trade Balance","786128"
"Ghana","Total Exports","780219"
"","Total Imports","515"
"","Trade Balance","779704"
"Saint Kitts and Nevis","Total Exports","754089"
"","Total Imports",""
"","Trade Balance","754089"
"Oman (formerly Muscat and Oman)","Total Exports","718460"
"","Total Imports","30020"
"","Trade Balance","688440"
"Bulgaria","Total Exports","722425"
"","Total Imports","124361"
"","Trade Balance","598064"
"Grenada","Total Exports","586610"
"","Total Imports",""
"","Trade Balance","586610"
"Saint Vincent and the Grenadines","Total Exports","572347"
"","Total Imports",""
"","Trade Balance","572347"
"Switzerland","Total Exports","1869566"
"","Total Imports","1299688"
"","Trade Balance","569878"
"South Africa","Total Exports","1823090"
"","Total Imports","1307172"
"","Trade Balance","515918"
"Libya","Total Exports","507520"
"","Total Imports",""
"","Trade Balance","507520"
