"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","New Brunswick"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2022"
"Units","Value in  canadian dollars"

"","","2022"
"United States","Total Exports","17376578605"
"","Total Imports","10250676322"
"","Trade Balance","7125902283"
"India","Total Exports","154958618"
"","Total Imports","15667928"
"","Trade Balance","139290690"
"China","Total Exports","209953140"
"","Total Imports","119913000"
"","Trade Balance","90040140"
"Thailand","Total Exports","84533726"
"","Total Imports","16348399"
"","Trade Balance","68185327"
"Türkiye","Total Exports","77404968"
"","Total Imports","11322086"
"","Trade Balance","66082882"
"Dominican Republic","Total Exports","43197770"
"","Total Imports","701770"
"","Trade Balance","42496000"
"Indonesia","Total Exports","41384438"
"","Total Imports","3382892"
"","Trade Balance","38001546"
"Japan","Total Exports","80121055"
"","Total Imports","48163799"
"","Trade Balance","31957256"
"Spain","Total Exports","33266083"
"","Total Imports","4513329"
"","Trade Balance","28752754"
"Hong Kong","Total Exports","27417209"
"","Total Imports","295623"
"","Trade Balance","27121586"
"Australia","Total Exports","19705228"
"","Total Imports","739203"
"","Trade Balance","18966025"
"Belgium","Total Exports","52132469"
"","Total Imports","35350095"
"","Trade Balance","16782374"
"Bonaire, Sint Eustatius and Saba","Total Exports","16605045"
"","Total Imports",""
"","Trade Balance","16605045"
"Jamaica","Total Exports","15398741"
"","Total Imports","2602"
"","Trade Balance","15396139"
"Israel","Total Exports","13322108"
"","Total Imports","1060478"
"","Trade Balance","12261630"
"Taiwan","Total Exports","24772115"
"","Total Imports","12704657"
"","Trade Balance","12067458"
"Haiti","Total Exports","10911115"
"","Total Imports","18737"
"","Trade Balance","10892378"
"Panama","Total Exports","9671927"
"","Total Imports","260296"
"","Trade Balance","9411631"
"Kuwait","Total Exports","6364194"
"","Total Imports",""
"","Trade Balance","6364194"
"Iceland","Total Exports","6493311"
"","Total Imports","402716"
"","Trade Balance","6090595"
"Bahamas","Total Exports","4340534"
"","Total Imports","325339"
"","Trade Balance","4015195"
"Costa Rica","Total Exports","8266107"
"","Total Imports","4775829"
"","Trade Balance","3490278"
"Venezuela","Total Exports","3486815"
"","Total Imports","71746"
"","Trade Balance","3415069"
"Greece","Total Exports","5805313"
"","Total Imports","2524539"
"","Trade Balance","3280774"
"Singapore","Total Exports","4764496"
"","Total Imports","1624903"
"","Trade Balance","3139593"
"Algeria","Total Exports","2879326"
"","Total Imports","261"
"","Trade Balance","2879065"
"South Africa","Total Exports","3385482"
"","Total Imports","562746"
"","Trade Balance","2822736"
"Qatar","Total Exports","2822650"
"","Total Imports",""
"","Trade Balance","2822650"
"Guyana","Total Exports","2745244"
"","Total Imports",""
"","Trade Balance","2745244"
"Chile","Total Exports","11074686"
"","Total Imports","8519493"
"","Trade Balance","2555193"
"Barbados","Total Exports","2749224"
"","Total Imports","466985"
"","Trade Balance","2282239"
"Bahrain","Total Exports","2287215"
"","Total Imports","27936"
"","Trade Balance","2259279"
"Honduras","Total Exports","4504931"
"","Total Imports","2252841"
"","Trade Balance","2252090"
"Bermuda","Total Exports","2033798"
"","Total Imports",""
"","Trade Balance","2033798"
"Saint Pierre-Miquelon","Total Exports","1752148"
"","Total Imports",""
"","Trade Balance","1752148"
"Cayman Islands","Total Exports","1451278"
"","Total Imports","135"
"","Trade Balance","1451143"
"Nicaragua","Total Exports","1641941"
"","Total Imports","258915"
"","Trade Balance","1383026"
"Egypt","Total Exports","1739094"
"","Total Imports","428519"
"","Trade Balance","1310575"
"Lithuania","Total Exports","1805665"
"","Total Imports","550864"
"","Trade Balance","1254801"
"Suriname","Total Exports","1215251"
"","Total Imports","45749"
"","Trade Balance","1169502"
"Oman (formerly Muscat and Oman)","Total Exports","1148562"
"","Total Imports",""
"","Trade Balance","1148562"
"Saint Lucia","Total Exports","1129048"
"","Total Imports","3831"
"","Trade Balance","1125217"
"Benin","Total Exports","1082209"
"","Total Imports","160"
"","Trade Balance","1082049"
"Lebanon","Total Exports","1071846"
"","Total Imports","43"
"","Trade Balance","1071803"
"Fiji","Total Exports","932894"
"","Total Imports",""
"","Trade Balance","932894"
"Ghana","Total Exports","922854"
"","Total Imports","438"
"","Trade Balance","922416"
"Senegal","Total Exports","811296"
"","Total Imports",""
"","Trade Balance","811296"
"Grenada","Total Exports","760647"
"","Total Imports","903"
"","Trade Balance","759744"
"Curacao","Total Exports","741785"
"","Total Imports",""
"","Trade Balance","741785"
"Cuba","Total Exports","734442"
"","Total Imports","3485"
"","Trade Balance","730957"
"Maldives","Total Exports","722197"
"","Total Imports",""
"","Trade Balance","722197"
"Belize","Total Exports","669254"
"","Total Imports","27498"
"","Trade Balance","641756"
"Latvia","Total Exports","550088"
"","Total Imports","68179"
"","Trade Balance","481909"
"Saint Kitts and Nevis","Total Exports","424812"
"","Total Imports","2070"
"","Trade Balance","422742"
"Côte-d'Ivoire","Total Exports","470178"
"","Total Imports","47538"
"","Trade Balance","422640"
"Antigua and Barbuda","Total Exports","420907"
"","Total Imports",""
"","Trade Balance","420907"
"Saint Vincent and the Grenadines","Total Exports","359701"
"","Total Imports","190"
"","Trade Balance","359511"
"Aruba","Total Exports","351948"
"","Total Imports",""
"","Trade Balance","351948"
"Iraq","Total Exports","347806"
"","Total Imports",""
"","Trade Balance","347806"
"Libya","Total Exports","306676"
"","Total Imports",""
"","Trade Balance","306676"
"New Zealand","Total Exports","921080"
"","Total Imports","618329"
"","Trade Balance","302751"
"Sint Maarten","Total Exports","296305"
"","Total Imports",""
"","Trade Balance","296305"
"Jordan","Total Exports","291268"
"","Total Imports","35257"
"","Trade Balance","256011"
"Liberia","Total Exports","212155"
"","Total Imports",""
"","Trade Balance","212155"
"French Polynesia","Total Exports","200259"
"","Total Imports",""
"","Trade Balance","200259"
"Kazakhstan","Total Exports","191197"
"","Total Imports",""
"","Trade Balance","191197"
"Dominica","Total Exports","184216"
"","Total Imports","1098"
"","Trade Balance","183118"
"Congo (formerly Brazzaville)","Total Exports","182836"
"","Total Imports","498"
"","Trade Balance","182338"
"Malta","Total Exports","182352"
"","Total Imports","9405"
"","Trade Balance","172947"
