"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","New Brunswick"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2023"
"Units","Value in  canadian dollars"

"","","2023"
"United States","Total Exports","15565446243"
"","Total Imports","8806417820"
"","Trade Balance","6759028423"
"India","Total Exports","162680395"
"","Total Imports","19026520"
"","Trade Balance","143653875"
"Bonaire, Sint Eustatius and Saba","Total Exports","123164109"
"","Total Imports",""
"","Trade Balance","123164109"
"China","Total Exports","225796047"
"","Total Imports","123006660"
"","Trade Balance","102789387"
"Dominican Republic","Total Exports","36923361"
"","Total Imports","1253796"
"","Trade Balance","35669565"
"Thailand","Total Exports","69942216"
"","Total Imports","35609802"
"","Trade Balance","34332414"
"Indonesia","Total Exports","35660936"
"","Total Imports","5861609"
"","Trade Balance","29799327"
"Jamaica","Total Exports","23066408"
"","Total Imports","3390"
"","Trade Balance","23063018"
"Hong Kong","Total Exports","21250276"
"","Total Imports","66526"
"","Trade Balance","21183750"
"Bahamas","Total Exports","19632237"
"","Total Imports",""
"","Trade Balance","19632237"
"Australia","Total Exports","14079328"
"","Total Imports","1049808"
"","Trade Balance","13029520"
"Haiti","Total Exports","12643122"
"","Total Imports","183623"
"","Trade Balance","12459499"
"United Arab Emirates","Total Exports","11507140"
"","Total Imports","436955"
"","Trade Balance","11070185"
"Venezuela","Total Exports","10878093"
"","Total Imports","24158"
"","Trade Balance","10853935"
"Panama","Total Exports","11170303"
"","Total Imports","1512690"
"","Trade Balance","9657613"
"Israel","Total Exports","9209762"
"","Total Imports","848362"
"","Trade Balance","8361400"
"Tanzania","Total Exports","5985575"
"","Total Imports","21327"
"","Trade Balance","5964248"
"Kuwait","Total Exports","5687551"
"","Total Imports",""
"","Trade Balance","5687551"
"Costa Rica","Total Exports","10900310"
"","Total Imports","5367004"
"","Trade Balance","5533306"
"Algeria","Total Exports","4037228"
"","Total Imports",""
"","Trade Balance","4037228"
"Spain","Total Exports","14976916"
"","Total Imports","11179499"
"","Trade Balance","3797417"
"Iceland","Total Exports","4092157"
"","Total Imports","589566"
"","Trade Balance","3502591"
"Kenya","Total Exports","3156743"
"","Total Imports","102586"
"","Trade Balance","3054157"
"Qatar","Total Exports","2845440"
"","Total Imports",""
"","Trade Balance","2845440"
"Singapore","Total Exports","4120033"
"","Total Imports","1281294"
"","Trade Balance","2838739"
"South Africa","Total Exports","3153102"
"","Total Imports","376972"
"","Trade Balance","2776130"
"Honduras","Total Exports","5838783"
"","Total Imports","3260087"
"","Trade Balance","2578696"
"New Zealand","Total Exports","3016187"
"","Total Imports","487487"
"","Trade Balance","2528700"
