"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Newfoundland and Labrador"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1990"
"Units","Value in  canadian dollars"

"","","1990"
"United States","Total Exports","1321829773"
"","Total Imports","196007628"
"","Trade Balance","1125822145"
"Japan","Total Exports","72581975"
"","Total Imports","1202100"
"","Trade Balance","71379875"
"Netherlands","Total Exports","58863638"
"","Total Imports","5386941"
"","Trade Balance","53476697"
"Italy (incl. Vatican City State)","Total Exports","55835461"
"","Total Imports","3026263"
"","Trade Balance","52809198"
"Germany","Total Exports","40928554"
"","Total Imports","7848458"
"","Trade Balance","33080096"
"France (incl. Monaco, French Antilles)","Total Exports","23164143"
"","Total Imports","2187996"
"","Trade Balance","20976147"
"Colombia","Total Exports","14411612"
"","Total Imports","239170"
"","Trade Balance","14172442"
"Denmark","Total Exports","16743354"
"","Total Imports","2637605"
"","Trade Balance","14105749"
"India","Total Exports","13929226"
"","Total Imports","2747"
"","Trade Balance","13926479"
"Switzerland","Total Exports","11453895"
"","Total Imports","146122"
"","Trade Balance","11307773"
"Sweden","Total Exports","12680295"
"","Total Imports","1388648"
"","Trade Balance","11291647"
"Brazil","Total Exports","11051776"
"","Total Imports","10108"
"","Trade Balance","11041668"
"Belgium","Total Exports","10663094"
"","Total Imports","217477"
"","Trade Balance","10445617"
"Taiwan","Total Exports","8969336"
"","Total Imports","930219"
"","Trade Balance","8039117"
"Venezuela","Total Exports","29892772"
"","Total Imports","21988005"
"","Trade Balance","7904767"
"Spain","Total Exports","11351947"
"","Total Imports","4324417"
"","Trade Balance","7027530"
"Dominican Republic","Total Exports","7024693"
"","Total Imports","22455"
"","Trade Balance","7002238"
"Thailand","Total Exports","6078584"
"","Total Imports","2818"
"","Trade Balance","6075766"
"Finland","Total Exports","4477671"
"","Total Imports","25462"
"","Trade Balance","4452209"
"Algeria","Total Exports","4331580"
"","Total Imports",""
"","Trade Balance","4331580"
"China","Total Exports","4637948"
"","Total Imports","383853"
"","Trade Balance","4254095"
"Ecuador","Total Exports","4134458"
"","Total Imports","211259"
"","Trade Balance","3923199"
"Saint Pierre-Miquelon","Total Exports","3766269"
"","Total Imports","2875"
"","Trade Balance","3763394"
"Morocco","Total Exports","3703688"
"","Total Imports",""
"","Trade Balance","3703688"
"Costa Rica","Total Exports","3197296"
"","Total Imports","90372"
"","Trade Balance","3106924"
"Malaysia","Total Exports","3065868"
"","Total Imports",""
"","Trade Balance","3065868"
"Korea, South","Total Exports","6044563"
"","Total Imports","3671036"
"","Trade Balance","2373527"
"Guatemala","Total Exports","2339868"
"","Total Imports","11395"
"","Trade Balance","2328473"
"Barbados","Total Exports","2184593"
"","Total Imports","95222"
"","Trade Balance","2089371"
"Honduras","Total Exports","1996672"
"","Total Imports","47278"
"","Trade Balance","1949394"
"Egypt","Total Exports","1803781"
"","Total Imports",""
"","Trade Balance","1803781"
"Hong Kong","Total Exports","1549099"
"","Total Imports","61917"
"","Trade Balance","1487182"
"Yugoslavia  - Serbia and Montenegro","Total Exports","1417971"
"","Total Imports","2397"
"","Trade Balance","1415574"
"Indonesia","Total Exports","1265328"
"","Total Imports","72"
"","Trade Balance","1265256"
"Chile","Total Exports","1061479"
"","Total Imports","132000"
"","Trade Balance","929479"
"Netherlands Antilles","Total Exports","880825"
"","Total Imports",""
"","Trade Balance","880825"
"Trinidad and Tobago","Total Exports","904499"
"","Total Imports","61125"
"","Trade Balance","843374"
"Iran","Total Exports","652080"
"","Total Imports","1788"
"","Trade Balance","650292"
"Singapore","Total Exports","689449"
"","Total Imports","42957"
"","Trade Balance","646492"
"Bermuda","Total Exports","626849"
"","Total Imports","4"
"","Trade Balance","626845"
"Greece","Total Exports","565300"
"","Total Imports","2815"
"","Trade Balance","562485"
"Luxembourg","Total Exports","424052"
"","Total Imports",""
"","Trade Balance","424052"
"Türkiye","Total Exports","343912"
"","Total Imports",""
"","Trade Balance","343912"
"Nicaragua","Total Exports","316155"
"","Total Imports",""
"","Trade Balance","316155"
"Pakistan","Total Exports","301255"
"","Total Imports",""
"","Trade Balance","301255"
"Poland","Total Exports","228523"
"","Total Imports",""
"","Trade Balance","228523"
"Philippines","Total Exports","176827"
"","Total Imports","59437"
"","Trade Balance","117390"
"Grenada","Total Exports","104553"
"","Total Imports",""
"","Trade Balance","104553"
"Myanmar (Burma)","Total Exports","92480"
"","Total Imports",""
"","Trade Balance","92480"
"Cuba","Total Exports","59250"
"","Total Imports",""
"","Trade Balance","59250"
"Cayman Islands","Total Exports","50898"
"","Total Imports",""
"","Trade Balance","50898"
"Argentina","Total Exports","45771"
"","Total Imports",""
"","Trade Balance","45771"
"Martinique","Total Exports","28020"
"","Total Imports",""
"","Trade Balance","28020"
"Zambia (Zambi)","Total Exports","17285"
"","Total Imports",""
"","Trade Balance","17285"
"Congo (formerly Brazzaville)","Total Exports","11800"
"","Total Imports",""
"","Trade Balance","11800"
"Sri Lanka","Total Exports","11114"
"","Total Imports","619"
"","Trade Balance","10495"
"Malta","Total Exports",""
"","Total Imports","37"
"","Trade Balance","-37"
"Gibraltar","Total Exports",""
"","Total Imports","42"
"","Trade Balance","-42"
"Guam","Total Exports",""
"","Total Imports","61"
"","Trade Balance","-61"
"Haiti","Total Exports",""
"","Total Imports","463"
"","Trade Balance","-463"
"Mozambique","Total Exports",""
"","Total Imports","559"
"","Trade Balance","-559"
"Germany, East","Total Exports",""
"","Total Imports","1057"
"","Trade Balance","-1057"
"Czechoslovakia","Total Exports",""
"","Total Imports","1144"
"","Trade Balance","-1144"
"Fiji","Total Exports",""
"","Total Imports","1522"
"","Trade Balance","-1522"
"Peru","Total Exports",""
"","Total Imports","2601"
"","Trade Balance","-2601"
"Israel","Total Exports",""
"","Total Imports","3489"
"","Trade Balance","-3489"
"Bangladesh","Total Exports",""
"","Total Imports","4000"
"","Trade Balance","-4000"
"Panama","Total Exports",""
"","Total Imports","9644"
"","Trade Balance","-9644"
"Kenya","Total Exports",""
"","Total Imports","22817"
"","Trade Balance","-22817"
"Hungary","Total Exports",""
"","Total Imports","43581"
"","Trade Balance","-43581"
"Mexico","Total Exports","243000"
"","Total Imports","294273"
"","Trade Balance","-51273"
"New Zealand","Total Exports",""
"","Total Imports","90163"
"","Trade Balance","-90163"
"Jamaica","Total Exports","285387"
"","Total Imports","510077"
"","Trade Balance","-224690"
"Guyana","Total Exports",""
"","Total Imports","292726"
"","Trade Balance","-292726"
"Bahamas","Total Exports",""
"","Total Imports","298369"
"","Trade Balance","-298369"
"Iraq","Total Exports",""
"","Total Imports","446019"
"","Trade Balance","-446019"
"Austria","Total Exports",""
"","Total Imports","606615"
"","Trade Balance","-606615"
"Iceland","Total Exports","135606"
"","Total Imports","955079"
"","Trade Balance","-819473"
"Portugal","Total Exports","20968997"
"","Total Imports","26248202"
"","Trade Balance","-5279205"
"Senegal","Total Exports",""
"","Total Imports","5438297"
"","Trade Balance","-5438297"
"Ireland","Total Exports","23956"
"","Total Imports","5982173"
"","Trade Balance","-5958217"
"Re-Imports (Canada)","Total Exports",""
