"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Newfoundland and Labrador"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1992"
"Units","Value in  canadian dollars"

"","","1992"
"United States","Total Exports","631017466"
"","Total Imports","103850249"
"","Trade Balance","527167217"
"United Kingdom","Total Exports","118005850"
"","Total Imports","18140269"
"","Trade Balance","99865581"
"Netherlands","Total Exports","75187978"
"","Total Imports","279055"
"","Trade Balance","74908923"
"Italy (incl. Vatican City State)","Total Exports","63327434"
"","Total Imports","856696"
"","Trade Balance","62470738"
"Japan","Total Exports","48500105"
"","Total Imports","1559546"
"","Trade Balance","46940559"
"Venezuela","Total Exports","28361370"
"","Total Imports",""
"","Trade Balance","28361370"
"India","Total Exports","25840071"
"","Total Imports","1288"
"","Trade Balance","25838783"
"Mexico","Total Exports","17771489"
"","Total Imports","183614"
"","Trade Balance","17587875"
"Colombia","Total Exports","15920506"
"","Total Imports","16552"
"","Trade Balance","15903954"
"France (incl. Monaco, French Antilles)","Total Exports","18709755"
"","Total Imports","4391137"
"","Trade Balance","14318618"
"Germany","Total Exports","44423426"
"","Total Imports","30944322"
"","Trade Balance","13479104"
"Spain","Total Exports","16768005"
"","Total Imports","3344718"
"","Trade Balance","13423287"
"Belgium","Total Exports","12763142"
"","Total Imports","584579"
"","Trade Balance","12178563"
"Denmark","Total Exports","15365214"
"","Total Imports","3289269"
"","Trade Balance","12075945"
"Sweden","Total Exports","10500627"
"","Total Imports","547597"
"","Trade Balance","9953030"
"Netherlands Antilles","Total Exports","8119097"
"","Total Imports",""
"","Trade Balance","8119097"
"Taiwan","Total Exports","8770384"
"","Total Imports","1265580"
"","Trade Balance","7504804"
"Costa Rica","Total Exports","7713186"
"","Total Imports","306016"
"","Trade Balance","7407170"
"Malaysia","Total Exports","6995568"
"","Total Imports","18642"
"","Trade Balance","6976926"
"Dominican Republic","Total Exports","5234990"
"","Total Imports","10000"
"","Trade Balance","5224990"
"Ecuador","Total Exports","4279006"
"","Total Imports","54741"
"","Trade Balance","4224265"
"Morocco","Total Exports","3659114"
"","Total Imports",""
"","Trade Balance","3659114"
"Philippines","Total Exports","3384005"
"","Total Imports","45534"
"","Trade Balance","3338471"
"Brazil","Total Exports","3317739"
"","Total Imports","202776"
"","Trade Balance","3114963"
"Switzerland","Total Exports","3141809"
"","Total Imports","148988"
"","Trade Balance","2992821"
"Greece","Total Exports","2595903"
"","Total Imports","5738"
"","Trade Balance","2590165"
"Egypt","Total Exports","2432265"
"","Total Imports","200"
"","Trade Balance","2432065"
"Saint Pierre-Miquelon","Total Exports","2379899"
"","Total Imports","2161"
"","Trade Balance","2377738"
"Chile","Total Exports","2331671"
"","Total Imports","218995"
"","Trade Balance","2112676"
"Honduras","Total Exports","2199257"
"","Total Imports","138714"
"","Trade Balance","2060543"
"Korea, South","Total Exports","2951499"
"","Total Imports","1231386"
"","Trade Balance","1720113"
"Peru","Total Exports","1609500"
"","Total Imports","841"
"","Trade Balance","1608659"
"Guatemala","Total Exports","1541447"
"","Total Imports","7584"
"","Trade Balance","1533863"
"Barbados","Total Exports","1377926"
"","Total Imports","104447"
"","Trade Balance","1273479"
"Panama","Total Exports","1123159"
"","Total Imports","4457"
"","Trade Balance","1118702"
"Argentina","Total Exports","1085765"
"","Total Imports","362"
"","Trade Balance","1085403"
"Poland","Total Exports","932252"
"","Total Imports",""
"","Trade Balance","932252"
"Finland","Total Exports","641267"
"","Total Imports","36585"
"","Trade Balance","604682"
"Nicaragua","Total Exports","587703"
"","Total Imports",""
"","Trade Balance","587703"
"Indonesia","Total Exports","541387"
"","Total Imports","52"
"","Trade Balance","541335"
"Bermuda","Total Exports","489943"
"","Total Imports",""
"","Trade Balance","489943"
"Hong Kong","Total Exports","505530"
"","Total Imports","47532"
"","Trade Balance","457998"
"Zimbabwe","Total Exports","232160"
"","Total Imports",""
"","Trade Balance","232160"
"Thailand","Total Exports","229174"
"","Total Imports","23174"
"","Trade Balance","206000"
"Czechoslovakia","Total Exports","190080"
"","Total Imports","4361"
"","Trade Balance","185719"
"South Africa","Total Exports","150850"
"","Total Imports","454"
"","Trade Balance","150396"
"Australia","Total Exports","314511"
"","Total Imports","171437"
"","Trade Balance","143074"
"Singapore","Total Exports","128108"
"","Total Imports","17839"
"","Trade Balance","110269"
"Israel","Total Exports","96000"
"","Total Imports","1697"
"","Trade Balance","94303"
"Cayman Islands","Total Exports","81356"
"","Total Imports",""
"","Trade Balance","81356"
"Cuba","Total Exports","55039"
"","Total Imports","2291"
"","Trade Balance","52748"
"Botswana","Total Exports","29509"
"","Total Imports",""
"","Trade Balance","29509"
"Tanzania","Total Exports","21000"
"","Total Imports",""
"","Trade Balance","21000"
"United Arab Emirates","Total Exports","14149"
"","Total Imports",""
"","Trade Balance","14149"
"Saint Vincent and the Grenadines","Total Exports","10000"
"","Total Imports",""
"","Trade Balance","10000"
"Sri Lanka","Total Exports","16418"
"","Total Imports","11314"
"","Trade Balance","5104"
"Guinea","Total Exports","4274"
"","Total Imports",""
"","Trade Balance","4274"
"Angola","Total Exports","3976"
"","Total Imports",""
"","Trade Balance","3976"
"Bahrain","Total Exports","3520"
"","Total Imports",""
"","Trade Balance","3520"
"Seychelles","Total Exports","2726"
"","Total Imports","115"
"","Trade Balance","2611"
"Syria","Total Exports","69"
"","Total Imports",""
"","Trade Balance","69"
"Türkiye","Total Exports",""
"","Total Imports","1"
"","Trade Balance","-1"
"Gibraltar","Total Exports",""
"","Total Imports","33"
"","Trade Balance","-33"
"Guadeloupe","Total Exports",""
"","Total Imports","59"
"","Trade Balance","-59"
"U.S. Minor Outlying Islands","Total Exports",""
"","Total Imports","85"
"","Trade Balance","-85"
"Fiji","Total Exports",""
"","Total Imports","123"
"","Trade Balance","-123"
"Haiti","Total Exports",""
"","Total Imports","186"
"","Trade Balance","-186"
"Guam","Total Exports",""
"","Total Imports","333"
"","Trade Balance","-333"
"El Salvador","Total Exports",""
"","Total Imports","394"
"","Trade Balance","-394"
"Pakistan","Total Exports",""
"","Total Imports","900"
"","Trade Balance","-900"
"New Zealand","Total Exports",""
"","Total Imports","14981"
"","Trade Balance","-14981"
"Hungary","Total Exports",""
"","Total Imports","24360"
"","Trade Balance","-24360"
"Trinidad and Tobago","Total Exports",""
"","Total Imports","51256"
"","Trade Balance","-51256"
"Jamaica","Total Exports","140096"
"","Total Imports","380409"
"","Trade Balance","-240313"
"Guyana","Total Exports",""
"","Total Imports","296305"
"","Trade Balance","-296305"
"Greenland","Total Exports",""
"","Total Imports","400000"
"","Trade Balance","-400000"
"Austria","Total Exports",""
"","Total Imports","468750"
"","Trade Balance","-468750"
"China","Total Exports","227928"
"","Total Imports","697503"
"","Trade Balance","-469575"
"Ireland","Total Exports","178796"
"","Total Imports","659613"
"","Trade Balance","-480817"
"Iceland","Total Exports","276353"
"","Total Imports","1533238"
"","Trade Balance","-1256885"
"Luxembourg","Total Exports","340614"
"","Total Imports","1842955"
"","Trade Balance","-1502341"
"Senegal","Total Exports",""
"","Total Imports","3541932"
"","Trade Balance","-3541932"
"Bahamas","Total Exports",""
"","Total Imports","8271623"
"","Trade Balance","-8271623"
"Portugal","Total Exports","11936181"
"","Total Imports","21743310"
"","Trade Balance","-9807129"
"U.S.S.R.","Total Exports","843205"
"","Total Imports","15614924"
"","Trade Balance","-14771719"
"Saudi Arabia","Total Exports","1028499"
"","Total Imports","20297520"
"","Trade Balance","-19269021"
"Yemen","Total Exports",""
"","Total Imports","26970175"
"","Trade Balance","-26970175"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","32894820"
"","Trade Balance","-32894820"
"Iran","Total Exports",""
"","Total Imports","50297744"
"","Trade Balance","-50297744"
"Norway","Total Exports","1633294"
"","Total Imports","66023391"
"","Trade Balance","-64390097"
"Nigeria","Total Exports","3602383"
"","Total Imports","93899981"
"","Trade Balance","-90297598"
"Total All Countries","Total Exports","1244193977"
"","Total Imports","517999808"
"","Trade Balance","726194169"

"Source: Trade Data Online (accessed: April 21, 2025)"



