"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Newfoundland and Labrador"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1993"
"Units","Value in  canadian dollars"

"","","1993"
"United States","Total Exports","970994764"
"","Total Imports","126894637"
"","Trade Balance","844100127"
"Japan","Total Exports","153906813"
"","Total Imports","2052286"
"","Trade Balance","151854527"
"Netherlands","Total Exports","69148104"
"","Total Imports","1109888"
"","Trade Balance","68038216"
"Indonesia","Total Exports","38936059"
"","Total Imports",""
"","Trade Balance","38936059"
"Italy (incl. Vatican City State)","Total Exports","35646916"
"","Total Imports","4906604"
"","Trade Balance","30740312"
"India","Total Exports","30456046"
"","Total Imports","31434"
"","Trade Balance","30424612"
"Germany","Total Exports","37432816"
"","Total Imports","10641519"
"","Trade Balance","26791297"
"Belgium","Total Exports","28416755"
"","Total Imports","3805386"
"","Trade Balance","24611369"
"Venezuela","Total Exports","27815979"
"","Total Imports","5513898"
"","Trade Balance","22302081"
"Denmark","Total Exports","25551759"
"","Total Imports","3657623"
"","Trade Balance","21894136"
"Colombia","Total Exports","20396151"
"","Total Imports","21442"
"","Trade Balance","20374709"
"Taiwan","Total Exports","17172944"
"","Total Imports","1140777"
"","Trade Balance","16032167"
"Korea, South","Total Exports","17847590"
"","Total Imports","6243459"
"","Trade Balance","11604131"
"France (incl. Monaco, French Antilles)","Total Exports","17523143"
"","Total Imports","6057371"
"","Trade Balance","11465772"
"Brazil","Total Exports","10570331"
"","Total Imports","148549"
"","Trade Balance","10421782"
"Gibraltar","Total Exports","8475111"
"","Total Imports",""
"","Trade Balance","8475111"
"Philippines","Total Exports","8160507"
"","Total Imports","2804"
"","Trade Balance","8157703"
"Dominican Republic","Total Exports","7331955"
"","Total Imports","9748"
"","Trade Balance","7322207"
"Costa Rica","Total Exports","7571068"
"","Total Imports","387691"
"","Trade Balance","7183377"
"China","Total Exports","7467624"
"","Total Imports","397782"
"","Trade Balance","7069842"
"Greece","Total Exports","6167367"
"","Total Imports","8034"
"","Trade Balance","6159333"
"Mexico","Total Exports","6417178"
"","Total Imports","309685"
"","Trade Balance","6107493"
"Argentina","Total Exports","4552881"
"","Total Imports","5398"
"","Trade Balance","4547483"
"Sweden","Total Exports","4460672"
"","Total Imports","1596410"
"","Trade Balance","2864262"
"Thailand","Total Exports","2567290"
"","Total Imports","10130"
"","Trade Balance","2557160"
"Peru","Total Exports","2355276"
"","Total Imports","144"
"","Trade Balance","2355132"
"Honduras","Total Exports","2285937"
"","Total Imports","26297"
"","Trade Balance","2259640"
"Morocco","Total Exports","2198432"
"","Total Imports",""
"","Trade Balance","2198432"
"Uruguay","Total Exports","2185430"
"","Total Imports",""
"","Trade Balance","2185430"
"Saint Pierre-Miquelon","Total Exports","1945436"
"","Total Imports","2701"
"","Trade Balance","1942735"
"Türkiye","Total Exports","9677877"
"","Total Imports","8130853"
"","Trade Balance","1547024"
"Finland","Total Exports","1336436"
"","Total Imports","107769"
"","Trade Balance","1228667"
"Netherlands Antilles","Total Exports","1203313"
"","Total Imports",""
"","Trade Balance","1203313"
"Zimbabwe","Total Exports","1092884"
"","Total Imports",""
"","Trade Balance","1092884"
"Nicaragua","Total Exports","1072486"
"","Total Imports",""
"","Trade Balance","1072486"
"Hong Kong","Total Exports","985114"
"","Total Imports","376536"
"","Trade Balance","608578"
"Bermuda","Total Exports","414170"
"","Total Imports",""
"","Trade Balance","414170"
"Australia","Total Exports","426935"
"","Total Imports","123681"
"","Trade Balance","303254"
"Poland","Total Exports","296234"
"","Total Imports","48"
"","Trade Balance","296186"
"Czechoslovakia","Total Exports","150657"
"","Total Imports",""
"","Trade Balance","150657"
"South Africa","Total Exports","135275"
"","Total Imports",""
"","Trade Balance","135275"
"New Zealand","Total Exports","190500"
"","Total Imports","66446"
"","Trade Balance","124054"
"Israel","Total Exports","187799"
"","Total Imports","76574"
"","Trade Balance","111225"
"Cayman Islands","Total Exports","105826"
"","Total Imports",""
"","Trade Balance","105826"
"Singapore","Total Exports","45095"
"","Total Imports","4503"
"","Trade Balance","40592"
"Libya","Total Exports","30747"
"","Total Imports",""
"","Trade Balance","30747"
"Barbados","Total Exports","1324027"
"","Total Imports","1310001"
"","Trade Balance","14026"
"Pakistan","Total Exports","12560"
"","Total Imports","22"
"","Trade Balance","12538"
"Botswana","Total Exports","11265"
"","Total Imports",""
"","Trade Balance","11265"
"Sudan","Total Exports","10235"
"","Total Imports",""
"","Trade Balance","10235"
"Saudi Arabia","Total Exports","7524"
"","Total Imports",""
"","Trade Balance","7524"
"United Arab Emirates","Total Exports","7426"
"","Total Imports",""
"","Trade Balance","7426"
"Ecuador","Total Exports","24192"
"","Total Imports","23926"
"","Trade Balance","266"
"Belize","Total Exports",""
"","Total Imports","59"
"","Trade Balance","-59"
"Malta","Total Exports",""
"","Total Imports","65"
"","Trade Balance","-65"
"Tunisia","Total Exports",""
"","Total Imports","90"
"","Trade Balance","-90"
"Guadeloupe","Total Exports",""
"","Total Imports","94"
"","Trade Balance","-94"
"Guam","Total Exports",""
"","Total Imports","252"
"","Trade Balance","-252"
"Yugoslavia  - Serbia and Montenegro","Total Exports",""
"","Total Imports","804"
"","Trade Balance","-804"
"Cuba","Total Exports",""
"","Total Imports","1651"
"","Trade Balance","-1651"
"Bangladesh","Total Exports",""
"","Total Imports","4375"
"","Trade Balance","-4375"
"Uganda","Total Exports",""
"","Total Imports","5809"
"","Trade Balance","-5809"
"Kenya","Total Exports",""
"","Total Imports","7418"
"","Trade Balance","-7418"
"Sri Lanka","Total Exports",""
"","Total Imports","9427"
"","Trade Balance","-9427"
"Tanzania","Total Exports",""
"","Total Imports","11602"
"","Trade Balance","-11602"
"Panama","Total Exports",""
"","Total Imports","17572"
"","Trade Balance","-17572"
"Hungary","Total Exports",""
"","Total Imports","17934"
"","Trade Balance","-17934"
"Guatemala","Total Exports",""
"","Total Imports","19478"
"","Trade Balance","-19478"
"Austria","Total Exports",""
"","Total Imports","45749"
"","Trade Balance","-45749"
"Trinidad and Tobago","Total Exports",""
"","Total Imports","55086"
"","Trade Balance","-55086"
"Lithuania","Total Exports",""
"","Total Imports","86239"
"","Trade Balance","-86239"
"Bahamas","Total Exports",""
"","Total Imports","166750"
"","Trade Balance","-166750"
"Luxembourg","Total Exports","165993"
"","Total Imports","352045"
"","Trade Balance","-186052"
"Jamaica","Total Exports","271669"
"","Total Imports","478928"
"","Trade Balance","-207259"
"Guyana","Total Exports",""
"","Total Imports","246566"
"","Trade Balance","-246566"
"Chile","Total Exports",""
"","Total Imports","269491"
"","Trade Balance","-269491"
"Estonia","Total Exports",""
"","Total Imports","344057"
"","Trade Balance","-344057"
"Ireland","Total Exports","35000"
"","Total Imports","649673"
"","Trade Balance","-614673"
"Greenland","Total Exports",""
"","Total Imports","698737"
"","Trade Balance","-698737"
"Iceland","Total Exports","569054"
"","Total Imports","1491073"
"","Trade Balance","-922019"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","1651295"
"","Trade Balance","-1651295"
"Malaysia","Total Exports","647981"
"","Total Imports","3690457"
"","Trade Balance","-3042476"
"Egypt","Total Exports",""
"","Total Imports","3765945"
"","Trade Balance","-3765945"
"Spain","Total Exports","5433169"
"","Total Imports","9670138"
"","Trade Balance","-4236969"
"Ukraine","Total Exports",""
"","Total Imports","4828746"
"","Trade Balance","-4828746"
"U.S.S.R.","Total Exports","974574"
"","Total Imports","7076746"
"","Trade Balance","-6102172"
"Yemen","Total Exports",""
"","Total Imports","6367893"
"","Trade Balance","-6367893"
"Switzerland","Total Exports","3511778"
"","Total Imports","10436224"
"","Trade Balance","-6924446"
"Norway","Total Exports","1370198"
"","Total Imports","8625798"
"","Trade Balance","-7255600"
"Nigeria","Total Exports",""
"","Total Imports","8342138"
"","Trade Balance","-8342138"
"Brunei Darussalam","Total Exports",""
"","Total Imports","8482030"
"","Trade Balance","-8482030"
"Algeria","Total Exports",""
"","Total Imports","16232293"
"","Trade Balance","-16232293"
"Portugal","Total Exports","4379569"
"","Total Imports","22263607"
"","Trade Balance","-17884038"
"Syria","Total Exports",""
"","Total Imports","18818774"
"","Trade Balance","-18818774"
"United Kingdom","Total Exports","95290386"
"","Total Imports","139459470"
"","Trade Balance","-44169084"
"Iran","Total Exports","32780949"
"","Total Imports","101893830"
"","Trade Balance","-69112881"
"Russia","Total Exports","708256"
"","Total Imports","132013741"
"","Trade Balance","-131305485"
"Total All Countries","Total Exports","1740845487"
"","Total Imports","693802205"
"","Trade Balance","1047043282"

"Source: Trade Data Online (accessed: April 21, 2025)"



