"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Newfoundland and Labrador"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1995"
"Units","Value in  canadian dollars"

"","","1995"
"United States","Total Exports","978948823"
"","Total Imports","175674772"
"","Trade Balance","803274051"
"Japan","Total Exports","201381992"
"","Total Imports","1610173"
"","Trade Balance","199771819"
"Netherlands","Total Exports","117527334"
"","Total Imports","30872360"
"","Trade Balance","86654974"
"Belgium","Total Exports","47925437"
"","Total Imports","1080145"
"","Trade Balance","46845292"
"China","Total Exports","41791345"
"","Total Imports","801974"
"","Trade Balance","40989371"
"Germany","Total Exports","44139135"
"","Total Imports","4556408"
"","Trade Balance","39582727"
"India","Total Exports","35952744"
"","Total Imports","19345"
"","Trade Balance","35933399"
"Thailand","Total Exports","17268120"
"","Total Imports","84413"
"","Trade Balance","17183707"
"Argentina","Total Exports","15908020"
"","Total Imports","6542"
"","Trade Balance","15901478"
"Egypt","Total Exports","15555988"
"","Total Imports",""
"","Trade Balance","15555988"
"Türkiye","Total Exports","12323851"
"","Total Imports","3205"
"","Trade Balance","12320646"
"Taiwan","Total Exports","12726324"
"","Total Imports","773711"
"","Trade Balance","11952613"
"United Kingdom","Total Exports","117038677"
"","Total Imports","105263356"
"","Trade Balance","11775321"
"Switzerland","Total Exports","10453858"
"","Total Imports","92005"
"","Trade Balance","10361853"
"Brazil","Total Exports","9315637"
"","Total Imports","6610"
"","Trade Balance","9309027"
"Greece","Total Exports","9290004"
"","Total Imports","12487"
"","Trade Balance","9277517"
"Malaysia","Total Exports","7472843"
"","Total Imports","25097"
"","Trade Balance","7447746"
"Costa Rica","Total Exports","7251051"
"","Total Imports","253286"
"","Trade Balance","6997765"
"Portugal","Total Exports","5755669"
"","Total Imports","110190"
"","Trade Balance","5645479"
"Dominican Republic","Total Exports","4110604"
"","Total Imports","2180"
"","Trade Balance","4108424"
"Chile","Total Exports","3975365"
"","Total Imports","164733"
"","Trade Balance","3810632"
"Philippines","Total Exports","3824422"
"","Total Imports","16769"
"","Trade Balance","3807653"
"Morocco","Total Exports","3697337"
"","Total Imports",""
"","Trade Balance","3697337"
"Saint Pierre-Miquelon","Total Exports","3359453"
"","Total Imports","17129"
"","Trade Balance","3342324"
"Australia","Total Exports","3090916"
"","Total Imports","264882"
"","Trade Balance","2826034"
"Hong Kong","Total Exports","2560214"
"","Total Imports","35878"
"","Trade Balance","2524336"
"Panama","Total Exports","2528898"
"","Total Imports","58989"
"","Trade Balance","2469909"
"Uruguay","Total Exports","1973007"
"","Total Imports",""
"","Trade Balance","1973007"
"Namibia","Total Exports","1842786"
"","Total Imports",""
"","Trade Balance","1842786"
"Barbados","Total Exports","1791427"
"","Total Imports",""
"","Trade Balance","1791427"
"Honduras","Total Exports","1598475"
"","Total Imports","35825"
"","Trade Balance","1562650"
"Trinidad and Tobago","Total Exports","1600604"
"","Total Imports","55146"
"","Trade Balance","1545458"
"Peru","Total Exports","1476233"
"","Total Imports",""
"","Trade Balance","1476233"
"Austria","Total Exports","1458221"
"","Total Imports","37398"
"","Trade Balance","1420823"
"Netherlands Antilles","Total Exports","823687"
"","Total Imports",""
"","Trade Balance","823687"
"Nicaragua","Total Exports","822701"
"","Total Imports",""
"","Trade Balance","822701"
"Bermuda","Total Exports","699122"
"","Total Imports",""
"","Trade Balance","699122"
"South Africa","Total Exports","750000"
"","Total Imports","159890"
"","Trade Balance","590110"
"Indonesia","Total Exports","353967"
"","Total Imports","18"
"","Trade Balance","353949"
"Singapore","Total Exports","283350"
"","Total Imports","7294"
"","Trade Balance","276056"
"Grenada","Total Exports","252396"
"","Total Imports",""
"","Trade Balance","252396"
"Vietnam","Total Exports","250452"
"","Total Imports",""
"","Trade Balance","250452"
"Tanzania","Total Exports","188500"
"","Total Imports",""
"","Trade Balance","188500"
"Cayman Islands","Total Exports","188360"
"","Total Imports",""
"","Trade Balance","188360"
"Jamaica","Total Exports","262422"
"","Total Imports","90184"
"","Trade Balance","172238"
"Korea, North","Total Exports","168942"
"","Total Imports",""
"","Trade Balance","168942"
"Kenya","Total Exports","144000"
"","Total Imports","17204"
"","Trade Balance","126796"
"Norfolk Island","Total Exports","118930"
"","Total Imports",""
"","Trade Balance","118930"
"Czech Republic","Total Exports","91661"
"","Total Imports","5916"
"","Trade Balance","85745"
"Pakistan","Total Exports","76684"
"","Total Imports","20"
"","Trade Balance","76664"
"Algeria","Total Exports","75930"
"","Total Imports",""
"","Trade Balance","75930"
"Libya","Total Exports","60319"
"","Total Imports",""
"","Trade Balance","60319"
"Uganda","Total Exports","27580"
"","Total Imports",""
"","Trade Balance","27580"
"New Zealand","Total Exports","16250"
"","Total Imports","5124"
"","Trade Balance","11126"
"Ecuador","Total Exports","14630"
"","Total Imports","3826"
"","Trade Balance","10804"
"Croatia","Total Exports",""
"","Total Imports","13"
"","Trade Balance","-13"
"Cuba","Total Exports",""
"","Total Imports","300"
"","Trade Balance","-300"
"Mauritius","Total Exports",""
"","Total Imports","378"
"","Trade Balance","-378"
"Bangladesh","Total Exports",""
"","Total Imports","716"
"","Trade Balance","-716"
"Niger","Total Exports",""
"","Total Imports","839"
"","Trade Balance","-839"
"Bosnia and Herzegovina","Total Exports",""
"","Total Imports","1246"
"","Trade Balance","-1246"
"Saint Kitts and Nevis","Total Exports",""
"","Total Imports","1680"
"","Trade Balance","-1680"
"Sri Lanka","Total Exports",""
"","Total Imports","1995"
"","Trade Balance","-1995"
"Israel","Total Exports",""
"","Total Imports","6930"
"","Trade Balance","-6930"
"Pitcairn Island","Total Exports",""
"","Total Imports","8156"
"","Trade Balance","-8156"
"Guatemala","Total Exports",""
"","Total Imports","20580"
"","Trade Balance","-20580"
"Guadeloupe","Total Exports",""
"","Total Imports","28657"
"","Trade Balance","-28657"
"Luxembourg","Total Exports",""
"","Total Imports","34109"
"","Trade Balance","-34109"
"Bahamas","Total Exports",""
"","Total Imports","177269"
"","Trade Balance","-177269"
"Guyana","Total Exports",""
"","Total Imports","309255"
"","Trade Balance","-309255"
"Ireland","Total Exports","431661"
"","Total Imports","822477"
"","Trade Balance","-390816"
"Mexico","Total Exports","56624"
"","Total Imports","542663"
"","Trade Balance","-486039"
"Hungary","Total Exports",""
"","Total Imports","524168"
"","Trade Balance","-524168"
"Greenland","Total Exports","101492"
"","Total Imports","1130654"
"","Trade Balance","-1029162"
"Latvia","Total Exports",""
"","Total Imports","1129815"
"","Trade Balance","-1129815"
"Lithuania","Total Exports",""
"","Total Imports","1305979"
"","Trade Balance","-1305979"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","1790802"
"","Trade Balance","-1790802"
"Estonia","Total Exports",""
"","Total Imports","2055026"
"","Trade Balance","-2055026"
"Finland","Total Exports","34578"
"","Total Imports","2230747"
"","Trade Balance","-2196169"
"Spain","Total Exports","11298718"
"","Total Imports","14203304"
"","Trade Balance","-2904586"
"Denmark","Total Exports","18832011"
"","Total Imports","23300036"
"","Trade Balance","-4468025"
"France (incl. Monaco, French Antilles)","Total Exports","12054943"
"","Total Imports","18205845"
"","Trade Balance","-6150902"
"Bolivia","Total Exports",""
"","Total Imports","7139452"
"","Trade Balance","-7139452"
"Congo (formerly Zaire)","Total Exports",""
"","Total Imports","7455333"
"","Trade Balance","-7455333"
"Sweden","Total Exports","7259928"
"","Total Imports","15347278"
"","Trade Balance","-8087350"
"Malta","Total Exports",""
"","Total Imports","10457199"
"","Trade Balance","-10457199"
"Angola","Total Exports",""
"","Total Imports","12124529"
"","Trade Balance","-12124529"
"Iceland","Total Exports","4107173"
"","Total Imports","23235890"
"","Trade Balance","-19128717"
"Norway","Total Exports","14836822"
"","Total Imports","38016289"
"","Trade Balance","-23179467"
"Colombia","Total Exports","21050839"
"","Total Imports","91290896"
"","Trade Balance","-70240057"
"Iran","Total Exports",""
"","Total Imports","79877610"
"","Trade Balance","-79877610"
"Russia","Total Exports","147012"
"","Total Imports","101793301"
"","Trade Balance","-101646289"
"Venezuela","Total Exports","29402572"
"","Total Imports","152829832"
"","Trade Balance","-123427260"
"Italy (incl. Vatican City State)","Total Exports","67865464"
"","Total Imports","407922244"
"","Trade Balance","-340056780"
"Korea, South","Total Exports","20575448"
"","Total Imports","377096774"
"","Trade Balance","-356521326"
"Total All Countries","Total Exports","1960639982"
"","Total Imports","1714644750"
"","Trade Balance","245995232"

"Source: Trade Data Online (accessed: April 21, 2025)"



