"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Newfoundland and Labrador"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1996"
"Units","Value in  canadian dollars"

"","","1996"
"United States","Total Exports","1316869283"
"","Total Imports","127037906"
"","Trade Balance","1189831377"
"Japan","Total Exports","163148320"
"","Total Imports","3627267"
"","Trade Balance","159521053"
"United Kingdom","Total Exports","154762171"
"","Total Imports","21459690"
"","Trade Balance","133302481"
"Italy (incl. Vatican City State)","Total Exports","101370942"
"","Total Imports","1436837"
"","Trade Balance","99934105"
"Switzerland","Total Exports","70186233"
"","Total Imports","38584"
"","Trade Balance","70147649"
"Germany","Total Exports","58087870"
"","Total Imports","2115911"
"","Trade Balance","55971959"
"China","Total Exports","54382009"
"","Total Imports","846137"
"","Trade Balance","53535872"
"Netherlands","Total Exports","82700462"
"","Total Imports","36559842"
"","Trade Balance","46140620"
"India","Total Exports","36929634"
"","Total Imports","130486"
"","Trade Balance","36799148"
"Belgium","Total Exports","31771292"
"","Total Imports","90719"
"","Trade Balance","31680573"
"Korea, South","Total Exports","24803666"
"","Total Imports","813630"
"","Trade Balance","23990036"
"Colombia","Total Exports","23398926"
"","Total Imports","88596"
"","Trade Balance","23310330"
"Taiwan","Total Exports","15366870"
"","Total Imports","527398"
"","Trade Balance","14839472"
"Thailand","Total Exports","11862888"
"","Total Imports","73584"
"","Trade Balance","11789304"
"Malaysia","Total Exports","9585534"
"","Total Imports","61485"
"","Trade Balance","9524049"
"Spain","Total Exports","23235186"
"","Total Imports","14223050"
"","Trade Balance","9012136"
"Philippines","Total Exports","7754113"
"","Total Imports","103753"
"","Trade Balance","7650360"
"Argentina","Total Exports","8068542"
"","Total Imports","450183"
"","Trade Balance","7618359"
"Dominican Republic","Total Exports","6858548"
"","Total Imports","719"
"","Trade Balance","6857829"
"Brazil","Total Exports","6242327"
"","Total Imports","22341"
"","Trade Balance","6219986"
"Costa Rica","Total Exports","5513447"
"","Total Imports","241004"
"","Trade Balance","5272443"
"Uruguay","Total Exports","4910671"
"","Total Imports",""
"","Trade Balance","4910671"
"Greece","Total Exports","3263979"
"","Total Imports","5018"
"","Trade Balance","3258961"
"Saint Pierre-Miquelon","Total Exports","3195399"
"","Total Imports","19169"
"","Trade Balance","3176230"
"Egypt","Total Exports","3244044"
"","Total Imports","133616"
"","Trade Balance","3110428"
"Hong Kong","Total Exports","2768693"
"","Total Imports","558"
"","Trade Balance","2768135"
"Honduras","Total Exports","2457346"
"","Total Imports","41169"
"","Trade Balance","2416177"
"Indonesia","Total Exports","1967925"
"","Total Imports","49"
"","Trade Balance","1967876"
"Panama","Total Exports","1821977"
"","Total Imports",""
"","Trade Balance","1821977"
"Chile","Total Exports","1680678"
"","Total Imports","154028"
"","Trade Balance","1526650"
"Greenland","Total Exports","1448332"
"","Total Imports","994"
"","Trade Balance","1447338"
"Barbados","Total Exports","1401727"
"","Total Imports",""
"","Trade Balance","1401727"
"Nicaragua","Total Exports","1172711"
"","Total Imports",""
"","Trade Balance","1172711"
"Bermuda","Total Exports","453333"
"","Total Imports",""
"","Trade Balance","453333"
"Vietnam","Total Exports","339106"
"","Total Imports",""
"","Trade Balance","339106"
"Cayman Islands","Total Exports","236259"
"","Total Imports",""
"","Trade Balance","236259"
"Namibia","Total Exports","200000"
"","Total Imports",""
"","Trade Balance","200000"
"Poland","Total Exports","191953"
"","Total Imports",""
"","Trade Balance","191953"
"Singapore","Total Exports","175731"
"","Total Imports","933"
"","Trade Balance","174798"
"Austria","Total Exports","350464"
"","Total Imports","188635"
"","Trade Balance","161829"
"Tanzania","Total Exports","146572"
"","Total Imports",""
"","Trade Balance","146572"
"Bangladesh","Total Exports","142340"
"","Total Imports",""
"","Trade Balance","142340"
"Czech Republic","Total Exports","113401"
"","Total Imports","894"
"","Trade Balance","112507"
"Peru","Total Exports","95136"
"","Total Imports",""
"","Trade Balance","95136"
"Hungary","Total Exports","122071"
"","Total Imports","31333"
"","Trade Balance","90738"
"Jamaica","Total Exports","173980"
"","Total Imports","89421"
"","Trade Balance","84559"
"Israel","Total Exports","83501"
"","Total Imports","5655"
"","Trade Balance","77846"
"South Africa","Total Exports","228515"
"","Total Imports","187135"
"","Trade Balance","41380"
