"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Newfoundland and Labrador"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1997"
"Units","Value in  canadian dollars"

"","","1997"
"United States","Total Exports","1596217005"
"","Total Imports","141512550"
"","Trade Balance","1454704455"
"United Kingdom","Total Exports","153818635"
"","Total Imports","38230922"
"","Trade Balance","115587713"
"Japan","Total Exports","112795160"
"","Total Imports","7021400"
"","Trade Balance","105773760"
"Netherlands","Total Exports","158597002"
"","Total Imports","66609716"
"","Trade Balance","91987286"
"Italy (incl. Vatican City State)","Total Exports","90599172"
"","Total Imports","8644876"
"","Trade Balance","81954296"
"China","Total Exports","62263594"
"","Total Imports","438186"
"","Trade Balance","61825408"
"Korea, South","Total Exports","55052631"
"","Total Imports","241787"
"","Trade Balance","54810844"
"Australia","Total Exports","31799300"
"","Total Imports","268354"
"","Trade Balance","31530946"
"Switzerland","Total Exports","31532630"
"","Total Imports","3605635"
"","Trade Balance","27926995"
"Colombia","Total Exports","19224844"
"","Total Imports","136326"
"","Trade Balance","19088518"
"Germany","Total Exports","18659085"
"","Total Imports","5236196"
"","Trade Balance","13422889"
"Taiwan","Total Exports","12496257"
"","Total Imports","628009"
"","Trade Balance","11868248"
"Belgium","Total Exports","23744031"
"","Total Imports","13414384"
"","Trade Balance","10329647"
"Portugal","Total Exports","10156924"
"","Total Imports","125008"
"","Trade Balance","10031916"
"Philippines","Total Exports","8557249"
"","Total Imports","12857"
"","Trade Balance","8544392"
"Costa Rica","Total Exports","8626788"
"","Total Imports","741646"
"","Trade Balance","7885142"
"Brazil","Total Exports","6285623"
"","Total Imports","43310"
"","Trade Balance","6242313"
"Dominican Republic","Total Exports","5791723"
"","Total Imports","201"
"","Trade Balance","5791522"
"Egypt","Total Exports","5343877"
"","Total Imports",""
"","Trade Balance","5343877"
"India","Total Exports","4532267"
"","Total Imports","192609"
"","Trade Balance","4339658"
"Thailand","Total Exports","4338257"
"","Total Imports","29395"
"","Trade Balance","4308862"
"Ecuador","Total Exports","4025586"
"","Total Imports","25"
"","Trade Balance","4025561"
"Argentina","Total Exports","4003261"
"","Total Imports","13852"
