"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Newfoundland and Labrador"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1998"
"Units","Value in  canadian dollars"

"","","1998"
"United States","Total Exports","1751432366"
"","Total Imports","127660894"
"","Trade Balance","1623771472"
"Netherlands","Total Exports","166515288"
"","Total Imports","16299610"
"","Trade Balance","150215678"
"United Kingdom","Total Exports","150009619"
"","Total Imports","52963363"
"","Trade Balance","97046256"
"Japan","Total Exports","100731267"
"","Total Imports","4877756"
"","Trade Balance","95853511"
"Italy (incl. Vatican City State)","Total Exports","67514763"
"","Total Imports","2462389"
"","Trade Balance","65052374"
"Belgium","Total Exports","54545975"
"","Total Imports","192415"
"","Trade Balance","54353560"
"China","Total Exports","48418467"
"","Total Imports","363403"
"","Trade Balance","48055064"
"Australia","Total Exports","33294619"
"","Total Imports","569185"
"","Trade Balance","32725434"
"Taiwan","Total Exports","30598041"
"","Total Imports","290344"
"","Trade Balance","30307697"
"Germany","Total Exports","22394296"
"","Total Imports","4861224"
"","Trade Balance","17533072"
"Egypt","Total Exports","17105910"
"","Total Imports",""
"","Trade Balance","17105910"
"Switzerland","Total Exports","20331787"
"","Total Imports","4585341"
"","Trade Balance","15746446"
"Portugal","Total Exports","9781161"
"","Total Imports","368793"
"","Trade Balance","9412368"
"India","Total Exports","8896413"
"","Total Imports","270628"
"","Trade Balance","8625785"
"Philippines","Total Exports","8590276"
"","Total Imports","5017"
"","Trade Balance","8585259"
"Denmark","Total Exports","22669152"
"","Total Imports","14918557"
"","Trade Balance","7750595"
"Costa Rica","Total Exports","7395947"
"","Total Imports","107646"
"","Trade Balance","7288301"
"Thailand","Total Exports","7030243"
"","Total Imports","20523"
"","Trade Balance","7009720"
"Brazil","Total Exports","9507307"
"","Total Imports","4256813"
"","Trade Balance","5250494"
"Saint Pierre-Miquelon","Total Exports","4074145"
"","Total Imports","23273"
"","Trade Balance","4050872"
"Argentina","Total Exports","3532342"
"","Total Imports","320654"
"","Trade Balance","3211688"
"Honduras","Total Exports","2717818"
"","Total Imports","209091"
"","Trade Balance","2508727"
"Latvia","Total Exports","2466339"
"","Total Imports","510880"
"","Trade Balance","1955459"
"Malaysia","Total Exports","2021926"
"","Total Imports","75906"
"","Trade Balance","1946020"
"Barbados","Total Exports","1523165"
"","Total Imports",""
"","Trade Balance","1523165"
"Dominican Republic","Total Exports","1441303"
"","Total Imports",""
"","Trade Balance","1441303"
"Greece","Total Exports","1423098"
"","Total Imports","3175"
"","Trade Balance","1419923"
"Morocco","Total Exports","1408709"
"","Total Imports","53"
"","Trade Balance","1408656"
"Cayman Islands","Total Exports","1020543"
"","Total Imports",""
"","Trade Balance","1020543"
"Panama","Total Exports","956714"
"","Total Imports","23867"
"","Trade Balance","932847"
"Nicaragua","Total Exports","1358230"
"","Total Imports","622045"
"","Trade Balance","736185"
"Hong Kong","Total Exports","723981"
"","Total Imports","8099"
"","Trade Balance","715882"
"Austria","Total Exports","519360"
"","Total Imports","271763"
"","Trade Balance","247597"
"Andorra","Total Exports","224285"
"","Total Imports",""
"","Trade Balance","224285"
"Ukraine","Total Exports","259846"
"","Total Imports","71531"
"","Trade Balance","188315"
"Poland","Total Exports","151710"
"","Total Imports","911"
"","Trade Balance","150799"
"Cuba","Total Exports","136634"
"","Total Imports",""
"","Trade Balance","136634"
"Israel","Total Exports","105252"
"","Total Imports","21504"
"","Trade Balance","83748"
"Jamaica","Total Exports","176510"
"","Total Imports","108238"
"","Trade Balance","68272"
"United Arab Emirates","Total Exports","50470"
"","Total Imports",""
"","Trade Balance","50470"
"Czech Republic","Total Exports","55157"
"","Total Imports","9497"
"","Trade Balance","45660"
"South Africa","Total Exports","213819"
"","Total Imports","183968"
"","Trade Balance","29851"
"Croatia","Total Exports","23800"
"","Total Imports",""
"","Trade Balance","23800"
"Haiti","Total Exports","18750"
"","Total Imports","1704"
"","Trade Balance","17046"
"Bermuda","Total Exports","14782"
"","Total Imports",""
"","Trade Balance","14782"
"Romania","Total Exports","15131"
"","Total Imports","6938"
"","Trade Balance","8193"
"Kenya","Total Exports","21998"
"","Total Imports","14996"
"","Trade Balance","7002"
"Indonesia","Total Exports",""
"","Total Imports","26"
"","Trade Balance","-26"
"Malta","Total Exports",""
"","Total Imports","77"
"","Trade Balance","-77"
"Bangladesh","Total Exports",""
"","Total Imports","149"
"","Trade Balance","-149"
"Belize","Total Exports",""
"","Total Imports","191"
"","Trade Balance","-191"
"Slovenia","Total Exports",""
"","Total Imports","782"
"","Trade Balance","-782"
"American Samoa","Total Exports",""
"","Total Imports","1209"
"","Trade Balance","-1209"
"Luxembourg","Total Exports",""
"","Total Imports","1977"
"","Trade Balance","-1977"
"Yugoslavia  - Serbia and Montenegro","Total Exports",""
"","Total Imports","5000"
"","Trade Balance","-5000"
"Cameroon","Total Exports",""
"","Total Imports","14066"
"","Trade Balance","-14066"
"Tanzania","Total Exports",""
"","Total Imports","17655"
"","Trade Balance","-17655"
"Hungary","Total Exports",""
"","Total Imports","51678"
"","Trade Balance","-51678"
"New Zealand","Total Exports",""
"","Total Imports","250010"
"","Trade Balance","-250010"
"Guyana","Total Exports","11681"
"","Total Imports","264406"
"","Trade Balance","-252725"
"Guatemala","Total Exports",""
"","Total Imports","312798"
"","Trade Balance","-312798"
"Spain","Total Exports","460335"
"","Total Imports","903743"
"","Trade Balance","-443408"
"Bahamas","Total Exports",""
"","Total Imports","448277"
"","Trade Balance","-448277"
"Chile","Total Exports",""
"","Total Imports","682119"
"","Trade Balance","-682119"
"Ireland","Total Exports","32570"
"","Total Imports","792660"
"","Trade Balance","-760090"
"Singapore","Total Exports","114747"
"","Total Imports","1388690"
"","Trade Balance","-1273943"
"Greenland","Total Exports",""
"","Total Imports","1324400"
"","Trade Balance","-1324400"
"Türkiye","Total Exports","24130"
"","Total Imports","1926274"
"","Trade Balance","-1902144"
"Trinidad and Tobago","Total Exports","2273470"
"","Total Imports","5066285"
"","Trade Balance","-2792815"
"Netherlands Antilles","Total Exports",""
"","Total Imports","3173714"
"","Trade Balance","-3173714"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","3398282"
"","Trade Balance","-3398282"
"France (incl. Monaco, French Antilles)","Total Exports","18726852"
"","Total Imports","22407597"
"","Trade Balance","-3680745"
"Lithuania","Total Exports","1041023"
"","Total Imports","5208592"
"","Trade Balance","-4167569"
"Finland","Total Exports",""
"","Total Imports","5194292"
"","Trade Balance","-5194292"
"Venezuela","Total Exports","19555249"
"","Total Imports","24821570"
"","Trade Balance","-5266321"
"Côte-d'Ivoire","Total Exports",""
"","Total Imports","6693729"
"","Trade Balance","-6693729"
"Sweden","Total Exports","3644888"
"","Total Imports","14415228"
"","Trade Balance","-10770340"
"Estonia","Total Exports",""
"","Total Imports","16841832"
"","Trade Balance","-16841832"
"Norway","Total Exports","12306777"
"","Total Imports","33893088"
"","Trade Balance","-21586311"
"Saudi Arabia","Total Exports","15000"
"","Total Imports","22918238"
"","Trade Balance","-22903238"
"Colombia","Total Exports","13001955"
"","Total Imports","36483923"
"","Trade Balance","-23481968"
"Ecuador","Total Exports","2796845"
"","Total Imports","30149045"
"","Trade Balance","-27352200"
"Iceland","Total Exports","509269"
"","Total Imports","34422662"
"","Trade Balance","-33913393"
"Mexico","Total Exports","14602"
"","Total Imports","45322310"
"","Trade Balance","-45307708"
"Faeroe Islands","Total Exports","43233"
"","Total Imports","46800212"
"","Trade Balance","-46756979"
"Iraq","Total Exports",""
"","Total Imports","81910448"
"","Trade Balance","-81910448"
"Iran","Total Exports",""
"","Total Imports","96755137"
"","Trade Balance","-96755137"
"Russia","Total Exports","1131494"
"","Total Imports","158196761"
"","Trade Balance","-157065267"
"Korea, South","Total Exports","39120207"
"","Total Imports","218350219"
"","Trade Balance","-179230012"
"Total All Countries","Total Exports","2678243041"
"","Total Imports","1158371345"
"","Trade Balance","1519871696"

"Source: Trade Data Online (accessed: April 21, 2025)"



