"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Newfoundland and Labrador"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2000"
"Units","Value in  canadian dollars"

"","","2000"
"United States","Total Exports","2852311731"
"","Total Imports","291688033"
"","Trade Balance","2560623698"
"Germany","Total Exports","142358506"
"","Total Imports","10548264"
"","Trade Balance","131810242"
"Italy (incl. Vatican City State)","Total Exports","124178746"
"","Total Imports","2791120"
"","Trade Balance","121387626"
"China","Total Exports","92839158"
"","Total Imports","500247"
"","Trade Balance","92338911"
"Japan","Total Exports","66645947"
"","Total Imports","3912825"
"","Trade Balance","62733122"
"Netherlands","Total Exports","79083528"
"","Total Imports","25542299"
"","Trade Balance","53541229"
"Switzerland","Total Exports","53697889"
"","Total Imports","4530955"
"","Trade Balance","49166934"
"Australia","Total Exports","35589412"
"","Total Imports","1005830"
"","Trade Balance","34583582"
"Belgium","Total Exports","27030857"
"","Total Imports","3642366"
"","Trade Balance","23388491"
"Egypt","Total Exports","18191801"
"","Total Imports",""
"","Trade Balance","18191801"
"Colombia","Total Exports","22217570"
"","Total Imports","4218387"
"","Trade Balance","17999183"
"Thailand","Total Exports","17231495"
"","Total Imports","3979"
"","Trade Balance","17227516"
"Denmark","Total Exports","26632684"
"","Total Imports","10120883"
"","Trade Balance","16511801"
"Taiwan","Total Exports","18465936"
"","Total Imports","4350362"
"","Trade Balance","14115574"
"Portugal","Total Exports","14169901"
"","Total Imports","173803"
"","Trade Balance","13996098"
"Costa Rica","Total Exports","13097622"
"","Total Imports","206372"
"","Trade Balance","12891250"
"India","Total Exports","12594512"
"","Total Imports","124377"
"","Trade Balance","12470135"
"Trinidad and Tobago","Total Exports","10258537"
"","Total Imports","75160"
"","Trade Balance","10183377"
"Philippines","Total Exports","9009701"
"","Total Imports","2125"
"","Trade Balance","9007576"
"Brazil","Total Exports","8160683"
"","Total Imports","36149"
"","Trade Balance","8124534"
"Dominican Republic","Total Exports","7843985"
"","Total Imports","9775"
"","Trade Balance","7834210"
"Argentina","Total Exports","9856384"
"","Total Imports","4951967"
"","Trade Balance","4904417"
"Saint Pierre-Miquelon","Total Exports","3750716"
"","Total Imports","41326"
"","Trade Balance","3709390"
"Nicaragua","Total Exports","3705196"
"","Total Imports",""
"","Trade Balance","3705196"
"Türkiye","Total Exports","2407961"
"","Total Imports","18307"
"","Trade Balance","2389654"
"Barbados","Total Exports","1945360"
"","Total Imports",""
"","Trade Balance","1945360"
"Hong Kong","Total Exports","1572253"
"","Total Imports","10712"
"","Trade Balance","1561541"
"Kazakhstan","Total Exports","1494918"
"","Total Imports",""
"","Trade Balance","1494918"
"Sweden","Total Exports","3329874"
"","Total Imports","1877981"
"","Trade Balance","1451893"
"Morocco","Total Exports","1281358"
"","Total Imports","28235"
"","Trade Balance","1253123"
"Mexico","Total Exports","3064242"
"","Total Imports","1941300"
"","Trade Balance","1122942"
"Malaysia","Total Exports","921783"
"","Total Imports","78461"
"","Trade Balance","843322"
"Kuwait","Total Exports","831320"
"","Total Imports",""
"","Trade Balance","831320"
"Honduras","Total Exports","356610"
"","Total Imports","5059"
"","Trade Balance","351551"
"Cayman Islands","Total Exports","340735"
"","Total Imports",""
"","Trade Balance","340735"
"Vietnam","Total Exports","332239"
"","Total Imports","409"
"","Trade Balance","331830"
"Singapore","Total Exports","288849"
"","Total Imports","33849"
"","Trade Balance","255000"
"Bahrain","Total Exports","204196"
"","Total Imports",""
"","Trade Balance","204196"
"Czech Republic","Total Exports","192367"
"","Total Imports","18365"
"","Trade Balance","174002"
"Angola","Total Exports","129498"
"","Total Imports",""
"","Trade Balance","129498"
"Brunei Darussalam","Total Exports","58993"
"","Total Imports",""
"","Trade Balance","58993"
"New Zealand","Total Exports","60773"
"","Total Imports","16323"
"","Trade Balance","44450"
"Tunisia","Total Exports","36000"
"","Total Imports",""
"","Trade Balance","36000"
"Ethiopia","Total Exports","27300"
"","Total Imports",""
"","Trade Balance","27300"
"Bolivia","Total Exports","23323"
"","Total Imports",""
"","Trade Balance","23323"
"High Seas","Total Exports","22305"
"","Total Imports",""
"","Trade Balance","22305"
"Ghana","Total Exports","19981"
"","Total Imports",""
"","Trade Balance","19981"
"South Africa","Total Exports","148359"
"","Total Imports","136370"
"","Trade Balance","11989"
"Kenya","Total Exports","10391"
"","Total Imports",""
"","Trade Balance","10391"
"Luxembourg","Total Exports","9500"
"","Total Imports",""
"","Trade Balance","9500"
"Oman (formerly Muscat and Oman)","Total Exports","5475"
"","Total Imports",""
"","Trade Balance","5475"
"Belize","Total Exports","3417"
"","Total Imports",""
"","Trade Balance","3417"
"Netherlands Antilles","Total Exports","1870"
"","Total Imports",""
"","Trade Balance","1870"
"Romania","Total Exports",""
"","Total Imports","128"
"","Trade Balance","-128"
"Belarus (formerly Byelorussia)","Total Exports",""
