"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Newfoundland and Labrador"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2001"
"Units","Value in  canadian dollars"

"","","2001"
"United States","Total Exports","2263948289"
"","Total Imports","243970601"
"","Trade Balance","2019977688"
"France (incl. Monaco, French Antilles)","Total Exports","252924158"
"","Total Imports","29114470"
"","Trade Balance","223809688"
"Germany","Total Exports","192214485"
"","Total Imports","5284449"
"","Trade Balance","186930036"
"Italy (incl. Vatican City State)","Total Exports","106126708"
"","Total Imports","17966846"
"","Trade Balance","88159862"
"China","Total Exports","91772753"
"","Total Imports","13749495"
"","Trade Balance","78023258"
"United Kingdom","Total Exports","125322342"
"","Total Imports","65605291"
"","Trade Balance","59717051"
"Australia","Total Exports","45244843"
"","Total Imports","1861709"
"","Trade Balance","43383134"
"Japan","Total Exports","45655964"
"","Total Imports","3994034"
"","Trade Balance","41661930"
"Egypt","Total Exports","33319762"
"","Total Imports",""
"","Trade Balance","33319762"
"Taiwan","Total Exports","26921933"
"","Total Imports","243617"
"","Trade Balance","26678316"
"Spain","Total Exports","28100985"
"","Total Imports","1860626"
"","Trade Balance","26240359"
"Venezuela","Total Exports","36107281"
"","Total Imports","13664467"
"","Trade Balance","22442814"
"Denmark","Total Exports","34291154"
"","Total Imports","11852509"
"","Trade Balance","22438645"
"Dominican Republic","Total Exports","21724739"
"","Total Imports",""
"","Trade Balance","21724739"
"Thailand","Total Exports","17309250"
"","Total Imports","2713"
"","Trade Balance","17306537"
"Costa Rica","Total Exports","16134372"
"","Total Imports","96643"
"","Trade Balance","16037729"
"Belgium","Total Exports","15823780"
"","Total Imports","724210"
"","Trade Balance","15099570"
"Korea, South","Total Exports","15859744"
"","Total Imports","1264350"
"","Trade Balance","14595394"
"Switzerland","Total Exports","10675713"
"","Total Imports","169001"
"","Trade Balance","10506712"
"India","Total Exports","8365615"
"","Total Imports","153625"
"","Trade Balance","8211990"
"Barbados","Total Exports","6915784"
"","Total Imports",""
"","Trade Balance","6915784"
"Saint Pierre-Miquelon","Total Exports","6486145"
"","Total Imports","255640"
"","Trade Balance","6230505"
"Portugal","Total Exports","6167676"
"","Total Imports","358203"
"","Trade Balance","5809473"
"Trinidad and Tobago","Total Exports","14496124"
"","Total Imports","9905897"
"","Trade Balance","4590227"
"Brazil","Total Exports","5161893"
"","Total Imports","597759"
"","Trade Balance","4564134"
"Philippines","Total Exports","3710283"
"","Total Imports","4367"
"","Trade Balance","3705916"
"Hong Kong","Total Exports","2122142"
"","Total Imports","38354"
"","Trade Balance","2083788"
"Bahrain","Total Exports","1190672"
"","Total Imports",""
"","Trade Balance","1190672"
"Nigeria","Total Exports","1164194"
"","Total Imports",""
"","Trade Balance","1164194"
"Nicaragua","Total Exports","1116388"
"","Total Imports",""
"","Trade Balance","1116388"
"Malaysia","Total Exports","848683"
"","Total Imports","23688"
"","Trade Balance","824995"
"Vietnam","Total Exports","821435"
"","Total Imports","161"
"","Trade Balance","821274"
"Czech Republic","Total Exports","803687"
"","Total Imports","1547"
"","Trade Balance","802140"
"Argentina","Total Exports","4077372"
"","Total Imports","3559027"
"","Trade Balance","518345"
"Romania","Total Exports","256944"
"","Total Imports","94"
"","Trade Balance","256850"
"Cayman Islands","Total Exports","238349"
"","Total Imports",""
"","Trade Balance","238349"
"Ghana","Total Exports","226256"
"","Total Imports",""
"","Trade Balance","226256"
"High Seas","Total Exports","140517"
"","Total Imports",""
"","Trade Balance","140517"
"Panama","Total Exports","100688"
"","Total Imports",""
"","Trade Balance","100688"
"Greece","Total Exports","97654"
"","Total Imports","11023"
"","Trade Balance","86631"
"El Salvador","Total Exports","85262"
"","Total Imports","235"
"","Trade Balance","85027"
"Qatar","Total Exports","81702"
"","Total Imports",""
"","Trade Balance","81702"
"Korea, North","Total Exports","74278"
"","Total Imports",""
"","Trade Balance","74278"
"Poland","Total Exports","73644"
"","Total Imports",""
"","Trade Balance","73644"
"Bermuda","Total Exports","52182"
"","Total Imports",""
"","Trade Balance","52182"
"Bulgaria","Total Exports","50229"
"","Total Imports","1088"
"","Trade Balance","49141"
"United Arab Emirates","Total Exports","72622"
"","Total Imports","23813"
"","Trade Balance","48809"
"Brunei Darussalam","Total Exports","38045"
"","Total Imports","114"
"","Trade Balance","37931"
"Gibraltar","Total Exports","29491"
"","Total Imports",""
"","Trade Balance","29491"
"Cuba","Total Exports","28100"
"","Total Imports","3030"
"","Trade Balance","25070"
"Saint Vincent and the Grenadines","Total Exports","20600"
"","Total Imports",""
"","Trade Balance","20600"
"Jamaica","Total Exports","55160"
"","Total Imports","36061"
"","Trade Balance","19099"
"Lebanon","Total Exports","17576"
"","Total Imports",""
"","Trade Balance","17576"
"Namibia","Total Exports","14760"
"","Total Imports",""
"","Trade Balance","14760"
"Sri Lanka","Total Exports","15427"
"","Total Imports","1172"
"","Trade Balance","14255"
"Pakistan","Total Exports","10000"
"","Total Imports",""
"","Trade Balance","10000"
"Kazakhstan","Total Exports","8215"
"","Total Imports",""
"","Trade Balance","8215"
"Papua New Guinea","Total Exports","4740"
"","Total Imports",""
"","Trade Balance","4740"
"Antarctica","Total Exports","2"
"","Total Imports",""
"","Trade Balance","2"
"Saint Lucia","Total Exports",""
"","Total Imports","3"
"","Trade Balance","-3"
"Slovenia","Total Exports",""
"","Total Imports","24"
"","Trade Balance","-24"
"Macau (Macao)","Total Exports",""
"","Total Imports","122"
"","Trade Balance","-122"
"Belarus (formerly Byelorussia)","Total Exports",""
"","Total Imports","315"
"","Trade Balance","-315"
"Kenya","Total Exports",""
"","Total Imports","1368"
"","Trade Balance","-1368"
"Iran","Total Exports",""
"","Total Imports","2788"
"","Trade Balance","-2788"
"Honduras","Total Exports",""
"","Total Imports","3466"
"","Trade Balance","-3466"
"Guatemala","Total Exports",""
"","Total Imports","3816"
"","Trade Balance","-3816"
"Nepal","Total Exports",""
"","Total Imports","4943"
"","Trade Balance","-4943"
"Hungary","Total Exports",""
"","Total Imports","22586"
"","Trade Balance","-22586"
"Indonesia","Total Exports",""
"","Total Imports","51425"
"","Trade Balance","-51425"
"Singapore","Total Exports","9799"
"","Total Imports","61237"
"","Trade Balance","-51438"
"New Zealand","Total Exports",""
"","Total Imports","96649"
"","Trade Balance","-96649"
"Guyana","Total Exports",""
"","Total Imports","145564"
"","Trade Balance","-145564"
"Chile","Total Exports","84943"
"","Total Imports","331117"
"","Trade Balance","-246174"
"Colombia","Total Exports","21245148"
"","Total Imports","21564765"
"","Trade Balance","-319617"
"South Africa","Total Exports","10358"
"","Total Imports","404006"
"","Trade Balance","-393648"
"Austria","Total Exports","300"
"","Total Imports","616107"
"","Trade Balance","-615807"
"Bahamas","Total Exports",""
"","Total Imports","667166"
"","Trade Balance","-667166"
"Ireland","Total Exports","491533"
"","Total Imports","1384523"
"","Trade Balance","-892990"
"Türkiye","Total Exports","19866"
"","Total Imports","1434745"
"","Trade Balance","-1414879"
"Ukraine","Total Exports",""
"","Total Imports","1745614"
"","Trade Balance","-1745614"
"Peru","Total Exports","1819022"
"","Total Imports","4067397"
"","Trade Balance","-2248375"
"Ecuador","Total Exports","20000"
"","Total Imports","2859435"
"","Trade Balance","-2839435"
"Greenland","Total Exports","657601"
"","Total Imports","4849218"
"","Trade Balance","-4191617"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","5455006"
"","Trade Balance","-5455006"
"Equatorial Guinea","Total Exports",""
"","Total Imports","5524162"
"","Trade Balance","-5524162"
"Iceland","Total Exports","16288004"
"","Total Imports","22878220"
"","Trade Balance","-6590216"
"Mexico","Total Exports","1866451"
"","Total Imports","8735394"
"","Trade Balance","-6868943"
"Israel","Total Exports","197773"
"","Total Imports","8748751"
"","Trade Balance","-8550978"
"Latvia","Total Exports",""
"","Total Imports","8633197"
"","Trade Balance","-8633197"
"Finland","Total Exports","486432"
"","Total Imports","10425081"
"","Trade Balance","-9938649"
"Sweden","Total Exports","1810091"
"","Total Imports","13993753"
"","Trade Balance","-12183662"
"Lithuania","Total Exports","10108"
"","Total Imports","12356699"
"","Trade Balance","-12346591"
"Netherlands Antilles","Total Exports",""
"","Total Imports","14105357"
"","Trade Balance","-14105357"
"Netherlands","Total Exports","11747022"
"","Total Imports","28835259"
"","Trade Balance","-17088237"
"Syria","Total Exports",""
"","Total Imports","40149030"
"","Trade Balance","-40149030"
"Norway","Total Exports","20151292"
"","Total Imports","61889078"
"","Trade Balance","-41737786"
"Estonia","Total Exports","66950"
"","Total Imports","41961419"
"","Trade Balance","-41894469"
"Faeroe Islands","Total Exports","202610"
"","Total Imports","45592878"
"","Trade Balance","-45390268"
"Russia","Total Exports","7509237"
"","Total Imports","76504991"
"","Trade Balance","-68995754"
"Saudi Arabia","Total Exports","2529"
"","Total Imports","85918998"
"","Trade Balance","-85916469"
"Iraq","Total Exports",""
"","Total Imports","874058475"
"","Trade Balance","-874058475"
"Total All Countries","Total Exports","3529415860"
"","Total Imports","1832484076"
"","Trade Balance","1696931784"

"Source: Trade Data Online (accessed: April 21, 2025)"



