"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Newfoundland and Labrador"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2002"
"Units","Value in  canadian dollars"

"","","2002"
"United States","Total Exports","4153833083"
"","Total Imports","201722940"
"","Trade Balance","3952110143"
"Germany","Total Exports","215941816"
"","Total Imports","11220524"
"","Trade Balance","204721292"
"China","Total Exports","177657008"
"","Total Imports","852699"
"","Trade Balance","176804309"
"Japan","Total Exports","92519051"
"","Total Imports","4588579"
"","Trade Balance","87930472"
"Italy (incl. Vatican City State)","Total Exports","99839945"
"","Total Imports","23419472"
"","Trade Balance","76420473"
"Switzerland","Total Exports","55361941"
"","Total Imports","1109081"
"","Trade Balance","54252860"
"Denmark","Total Exports","75519307"
"","Total Imports","21743883"
"","Trade Balance","53775424"
"Netherlands","Total Exports","86992295"
"","Total Imports","38623954"
"","Trade Balance","48368341"
"United Kingdom","Total Exports","117080236"
"","Total Imports","78882296"
"","Trade Balance","38197940"
"Egypt","Total Exports","34467268"
"","Total Imports","11"
"","Trade Balance","34467257"
"Venezuela","Total Exports","32320800"
"","Total Imports","82530"
"","Trade Balance","32238270"
"Taiwan","Total Exports","28954608"
"","Total Imports","376787"
"","Trade Balance","28577821"
"Dominican Republic","Total Exports","27995219"
"","Total Imports","806"
"","Trade Balance","27994413"
"Thailand","Total Exports","25915907"
"","Total Imports","2854"
"","Trade Balance","25913053"
"Türkiye","Total Exports","34044780"
"","Total Imports","9589463"
"","Trade Balance","24455317"
"Australia","Total Exports","25379325"
"","Total Imports","2136472"
"","Trade Balance","23242853"
"Spain","Total Exports","30229242"
"","Total Imports","8871883"
"","Trade Balance","21357359"
"Trinidad and Tobago","Total Exports","20906489"
"","Total Imports","80356"
"","Trade Balance","20826133"
"Costa Rica","Total Exports","18984289"
"","Total Imports","39269"
"","Trade Balance","18945020"
"Iceland","Total Exports","38927131"
"","Total Imports","21917351"
"","Trade Balance","17009780"
"France (incl. Monaco, French Antilles)","Total Exports","46205270"
"","Total Imports","31154019"
"","Trade Balance","15051251"
"Colombia","Total Exports","17283628"
"","Total Imports","3667620"
"","Trade Balance","13616008"
"Korea, South","Total Exports","17919319"
"","Total Imports","7371260"
"","Trade Balance","10548059"
"Philippines","Total Exports","8213923"
"","Total Imports","16228"
"","Trade Balance","8197695"
"Singapore","Total Exports","7369283"
"","Total Imports","2525"
"","Trade Balance","7366758"
"Saint Pierre-Miquelon","Total Exports","6785676"
"","Total Imports","380151"
"","Trade Balance","6405525"
"Barbados","Total Exports","5817857"
"","Total Imports","72"
"","Trade Balance","5817785"
"Vietnam","Total Exports","5538350"
"","Total Imports","1285"
"","Trade Balance","5537065"
"Portugal","Total Exports","5497814"
"","Total Imports","152611"
"","Trade Balance","5345203"
"Brazil","Total Exports","4490115"
"","Total Imports","69956"
"","Trade Balance","4420159"
"New Zealand","Total Exports","3779296"
"","Total Imports","63884"
"","Trade Balance","3715412"
"Hong Kong","Total Exports","3556614"
"","Total Imports","16360"
"","Trade Balance","3540254"
"Sweden","Total Exports","5612283"
"","Total Imports","2184950"
"","Trade Balance","3427333"
"Malaysia","Total Exports","2497399"
"","Total Imports","3118"
"","Trade Balance","2494281"
"Qatar","Total Exports","1811910"
"","Total Imports",""
"","Trade Balance","1811910"
"Nigeria","Total Exports","1622962"
"","Total Imports",""
"","Trade Balance","1622962"
"Czech Republic","Total Exports","1008357"
"","Total Imports","10766"
"","Trade Balance","997591"
"Bahrain","Total Exports","850318"
"","Total Imports",""
"","Trade Balance","850318"
"Belgium","Total Exports","1266220"
"","Total Imports","540983"
"","Trade Balance","725237"
"Bulgaria","Total Exports","520395"
"","Total Imports","7622"
"","Trade Balance","512773"
"Greece","Total Exports","503128"
"","Total Imports","6413"
"","Trade Balance","496715"
"Sri Lanka","Total Exports","455226"
"","Total Imports",""
"","Trade Balance","455226"
"Nicaragua","Total Exports","443493"
"","Total Imports",""
"","Trade Balance","443493"
"Uruguay","Total Exports","420495"
"","Total Imports",""
"","Trade Balance","420495"
"Israel","Total Exports","554734"
"","Total Imports","140142"
"","Trade Balance","414592"
"Greenland","Total Exports","597002"
"","Total Imports","193143"
"","Trade Balance","403859"
"United Arab Emirates","Total Exports","334717"
"","Total Imports",""
"","Trade Balance","334717"
"Korea, North","Total Exports","331620"
"","Total Imports",""
"","Trade Balance","331620"
"Tunisia","Total Exports","293448"
"","Total Imports",""
"","Trade Balance","293448"
"Cayman Islands","Total Exports","209887"
"","Total Imports",""
"","Trade Balance","209887"
"Cuba","Total Exports","147229"
"","Total Imports",""
"","Trade Balance","147229"
"Georgia","Total Exports","127737"
"","Total Imports",""
"","Trade Balance","127737"
"Croatia","Total Exports","126019"
"","Total Imports",""
"","Trade Balance","126019"
"Panama","Total Exports","110645"
"","Total Imports","509"
"","Trade Balance","110136"
"Bermuda","Total Exports","84839"
"","Total Imports",""
"","Trade Balance","84839"
"Finland","Total Exports","509320"
"","Total Imports","441239"
"","Trade Balance","68081"
"Algeria","Total Exports","67363"
"","Total Imports",""
"","Trade Balance","67363"
"Peru","Total Exports","65640"
"","Total Imports","56"
"","Trade Balance","65584"
"Indonesia","Total Exports","79684"
"","Total Imports","27028"
"","Trade Balance","52656"
"Brunei Darussalam","Total Exports","33794"
"","Total Imports",""
"","Trade Balance","33794"
"Cyprus","Total Exports","27612"
"","Total Imports",""
"","Trade Balance","27612"
"Syria","Total Exports","25000"
"","Total Imports",""
"","Trade Balance","25000"
"Kuwait","Total Exports","7400"
"","Total Imports",""
"","Trade Balance","7400"
"Iran","Total Exports","6800"
"","Total Imports",""
"","Trade Balance","6800"
"High Seas","Total Exports","5026"
"","Total Imports",""
"","Trade Balance","5026"
"Kazakhstan","Total Exports","3142"
"","Total Imports",""
"","Trade Balance","3142"
"Antigua and Barbuda","Total Exports","2600"
"","Total Imports","363"
"","Trade Balance","2237"
"Belize","Total Exports","2194"
"","Total Imports","1522"
"","Trade Balance","672"
"Morocco","Total Exports",""
"","Total Imports","47"
"","Trade Balance","-47"
"El Salvador","Total Exports",""
"","Total Imports","106"
"","Trade Balance","-106"
"Grenada","Total Exports",""
"","Total Imports","150"
"","Trade Balance","-150"
"Nepal","Total Exports",""
"","Total Imports","412"
"","Trade Balance","-412"
"Niger","Total Exports",""
"","Total Imports","555"
"","Trade Balance","-555"
"Haiti","Total Exports",""
"","Total Imports","779"
"","Trade Balance","-779"
"Honduras","Total Exports",""
"","Total Imports","1868"
"","Trade Balance","-1868"
"Saint Lucia","Total Exports",""
"","Total Imports","2044"
"","Trade Balance","-2044"
"Pakistan","Total Exports",""
"","Total Imports","4025"
"","Trade Balance","-4025"
"Jamaica","Total Exports","106536"
"","Total Imports","112481"
"","Trade Balance","-5945"
"Romania","Total Exports","455307"
"","Total Imports","461794"
"","Trade Balance","-6487"
"Ukraine","Total Exports",""
"","Total Imports","7763"
"","Trade Balance","-7763"
"North Macedonia","Total Exports",""
"","Total Imports","8473"
"","Trade Balance","-8473"
"Bolivia","Total Exports",""
"","Total Imports","9067"
"","Trade Balance","-9067"
"Guatemala","Total Exports",""
"","Total Imports","21077"
"","Trade Balance","-21077"
"Hungary","Total Exports",""
"","Total Imports","26465"
"","Trade Balance","-26465"
"South Africa","Total Exports","214387"
"","Total Imports","277428"
"","Trade Balance","-63041"
"Guyana","Total Exports",""
"","Total Imports","142371"
"","Trade Balance","-142371"
"India","Total Exports","6325245"
"","Total Imports","6592918"
"","Trade Balance","-267673"
"Poland","Total Exports","236039"
"","Total Imports","509598"
"","Trade Balance","-273559"
"Ireland","Total Exports","864205"
"","Total Imports","1254833"
"","Trade Balance","-390628"
"Bahamas","Total Exports",""
"","Total Imports","542852"
"","Trade Balance","-542852"
