"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Newfoundland and Labrador"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2005"
"Units","Value in  canadian dollars"

"","","2005"
"United States","Total Exports","5898152067"
"","Total Imports","243165873"
"","Trade Balance","5654986194"
"China","Total Exports","414723835"
"","Total Imports","2502000"
"","Trade Balance","412221835"
"Germany","Total Exports","406585693"
"","Total Imports","67315462"
"","Trade Balance","339270231"
"Japan","Total Exports","135536341"
"","Total Imports","1162447"
"","Trade Balance","134373894"
"Spain","Total Exports","135088212"
"","Total Imports","864692"
"","Trade Balance","134223520"
"United Kingdom","Total Exports","217899982"
"","Total Imports","88852852"
"","Trade Balance","129047130"
"Italy (incl. Vatican City State)","Total Exports","130629251"
"","Total Imports","26117063"
"","Trade Balance","104512188"
"Australia","Total Exports","71400743"
"","Total Imports","3713320"
"","Trade Balance","67687423"
"Taiwan","Total Exports","57264495"
"","Total Imports","77788"
"","Trade Balance","57186707"
"Egypt","Total Exports","51601543"
"","Total Imports",""
"","Trade Balance","51601543"
"Netherlands","Total Exports","47442782"
"","Total Imports","4358119"
"","Trade Balance","43084663"
"Morocco","Total Exports","39394157"
"","Total Imports","1425229"
"","Trade Balance","37968928"
"Gibraltar","Total Exports","36721728"
"","Total Imports",""
"","Trade Balance","36721728"
"Korea, South","Total Exports","35308815"
"","Total Imports","3407991"
"","Trade Balance","31900824"
"India","Total Exports","23539050"
"","Total Imports","4773"
"","Trade Balance","23534277"
"Denmark","Total Exports","58882582"
"","Total Imports","38683763"
"","Trade Balance","20198819"
"Thailand","Total Exports","20020162"
"","Total Imports","27365"
"","Trade Balance","19992797"
"Costa Rica","Total Exports","16154853"
"","Total Imports","629"
"","Trade Balance","16154224"
"Trinidad and Tobago","Total Exports","15315601"
"","Total Imports","2242"
"","Trade Balance","15313359"
"Greece","Total Exports","12789505"
"","Total Imports","1250"
"","Trade Balance","12788255"
"Dominican Republic","Total Exports","12677183"
"","Total Imports",""
"","Trade Balance","12677183"
"Sweden","Total Exports","24324006"
"","Total Imports","11875016"
"","Trade Balance","12448990"
"Hong Kong","Total Exports","10869260"
"","Total Imports","8416"
"","Trade Balance","10860844"
"New Caledonia","Total Exports","9241663"
"","Total Imports",""
"","Trade Balance","9241663"
"Czech Republic","Total Exports","6848247"
"","Total Imports","243678"
"","Trade Balance","6604569"
"Portugal","Total Exports","6657581"
"","Total Imports","310587"
"","Trade Balance","6346994"
"Argentina","Total Exports","9271763"
"","Total Imports","3342665"
"","Trade Balance","5929098"
"Romania","Total Exports","5506784"
"","Total Imports","19755"
"","Trade Balance","5487029"
"Vietnam","Total Exports","4648446"
"","Total Imports","72"
"","Trade Balance","4648374"
"Barbados","Total Exports","4457606"
"","Total Imports",""
"","Trade Balance","4457606"
"Greenland","Total Exports","4280335"
"","Total Imports","30433"
"","Trade Balance","4249902"
"Bulgaria","Total Exports","2923463"
"","Total Imports",""
"","Trade Balance","2923463"
"Saint Pierre-Miquelon","Total Exports","2649209"
"","Total Imports","1372"
"","Trade Balance","2647837"
"Estonia","Total Exports","2345859"
"","Total Imports","15181"
"","Trade Balance","2330678"
"Ukraine","Total Exports","2145002"
"","Total Imports",""
"","Trade Balance","2145002"
"Sri Lanka","Total Exports","1785878"
"","Total Imports",""
"","Trade Balance","1785878"
"Georgia","Total Exports","1570150"
"","Total Imports",""
"","Trade Balance","1570150"
"Jordan","Total Exports","1294843"
"","Total Imports",""
"","Trade Balance","1294843"
"United Arab Emirates","Total Exports","961090"
"","Total Imports","10303"
"","Trade Balance","950787"
"Bahrain","Total Exports","915414"
"","Total Imports",""
"","Trade Balance","915414"
"Lithuania","Total Exports","1287725"
"","Total Imports","397724"
"","Trade Balance","890001"
"Singapore","Total Exports","761138"
"","Total Imports","18736"
"","Trade Balance","742402"
"Israel","Total Exports","714587"
"","Total Imports","11156"
"","Trade Balance","703431"
"Colombia","Total Exports","30494779"
"","Total Imports","29876105"
"","Trade Balance","618674"
"Gabon","Total Exports","411731"
"","Total Imports",""
"","Trade Balance","411731"
"Paraguay","Total Exports","371773"
"","Total Imports",""
"","Trade Balance","371773"
"Malaysia","Total Exports","427161"
"","Total Imports","60419"
"","Trade Balance","366742"
"Peru","Total Exports","349236"
"","Total Imports","26137"
"","Trade Balance","323099"
"Panama","Total Exports","311119"
"","Total Imports","1622"
"","Trade Balance","309497"
"Korea, North","Total Exports","238020"
"","Total Imports",""
"","Trade Balance","238020"
"Belarus (formerly Byelorussia)","Total Exports","208978"
"","Total Imports",""
"","Trade Balance","208978"
"Nicaragua","Total Exports","201834"
"","Total Imports","5200"
"","Trade Balance","196634"
"New Zealand","Total Exports","193009"
"","Total Imports","106"
"","Trade Balance","192903"
"Afghanistan","Total Exports","120001"
"","Total Imports",""
"","Trade Balance","120001"
"Saint Lucia","Total Exports","111369"
"","Total Imports",""
"","Trade Balance","111369"
"Cayman Islands","Total Exports","89731"
"","Total Imports",""
"","Trade Balance","89731"
"El Salvador","Total Exports","87678"
"","Total Imports","23"
"","Trade Balance","87655"
"Angola","Total Exports","87335"
"","Total Imports",""
"","Trade Balance","87335"
"Hungary","Total Exports","136696"
"","Total Imports","60233"
"","Trade Balance","76463"
"British Virgin Islands","Total Exports","69811"
"","Total Imports",""
"","Trade Balance","69811"
"Azerbaijan","Total Exports","69090"
"","Total Imports",""
"","Trade Balance","69090"
"Philippines","Total Exports","69975"
"","Total Imports","4155"
"","Trade Balance","65820"
"North Macedonia","Total Exports","64514"
"","Total Imports",""
"","Trade Balance","64514"
"Saint Kitts and Nevis","Total Exports","61652"
"","Total Imports",""
"","Trade Balance","61652"
"Ecuador","Total Exports","120530"
"","Total Imports","62122"
"","Trade Balance","58408"
"Vanuatu (New Hebrides)","Total Exports","55379"
"","Total Imports",""
"","Trade Balance","55379"
"Bermuda","Total Exports","38242"
"","Total Imports",""
"","Trade Balance","38242"
"Libya","Total Exports","33850"
"","Total Imports",""
"","Trade Balance","33850"
"Uruguay","Total Exports","32485"
"","Total Imports",""
"","Trade Balance","32485"
"Poland","Total Exports","270811"
"","Total Imports","240706"
"","Trade Balance","30105"
"Yemen","Total Exports","29412"
"","Total Imports",""
"","Trade Balance","29412"
"Congo (formerly Brazzaville)","Total Exports","27061"
"","Total Imports",""
"","Trade Balance","27061"
"Kuwait","Total Exports","26929"
"","Total Imports",""
"","Trade Balance","26929"
"Christmas Island","Total Exports","26057"
"","Total Imports",""
"","Trade Balance","26057"
"Nigeria","Total Exports","25302"
"","Total Imports",""
"","Trade Balance","25302"
"Malawi","Total Exports","19907"
"","Total Imports",""
"","Trade Balance","19907"
"Guatemala","Total Exports","17908"
"","Total Imports",""
"","Trade Balance","17908"
"Turks and Caicos Islands","Total Exports","10846"
"","Total Imports",""
"","Trade Balance","10846"
"Tanzania","Total Exports","9672"
"","Total Imports",""
"","Trade Balance","9672"
"Antigua and Barbuda","Total Exports","7221"
"","Total Imports",""
"","Trade Balance","7221"
"Cuba","Total Exports","4944"
"","Total Imports",""
"","Trade Balance","4944"
"Malta","Total Exports","4157"
"","Total Imports",""
"","Trade Balance","4157"
"Croatia","Total Exports","1931"
"","Total Imports",""
"","Trade Balance","1931"
"Anguilla","Total Exports","171"
"","Total Imports",""
"","Trade Balance","171"
