"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Newfoundland and Labrador"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2007"
"Units","Value in  canadian dollars"

"","","2007"
"United States","Total Exports","8966919892"
"","Total Imports","241603892"
"","Trade Balance","8725316000"
"Germany","Total Exports","552614524"
"","Total Imports","8227290"
"","Trade Balance","544387234"
"China","Total Exports","363063919"
"","Total Imports","4702977"
"","Trade Balance","358360942"
"Finland","Total Exports","348056500"
"","Total Imports","453675"
"","Trade Balance","347602825"
"Chile","Total Exports","196855977"
"","Total Imports","627746"
"","Trade Balance","196228231"
"United Kingdom","Total Exports","184594577"
"","Total Imports","23330019"
"","Trade Balance","161264558"
"Japan","Total Exports","160478226"
"","Total Imports","1231095"
"","Trade Balance","159247131"
"Sweden","Total Exports","84347853"
"","Total Imports","792134"
"","Trade Balance","83555719"
"Spain","Total Exports","75519603"
"","Total Imports","608582"
"","Trade Balance","74911021"
"Australia","Total Exports","79903173"
"","Total Imports","5012495"
"","Trade Balance","74890678"
"Denmark","Total Exports","90558026"
"","Total Imports","15936216"
"","Trade Balance","74621810"
"Taiwan","Total Exports","66572533"
"","Total Imports","18982"
"","Trade Balance","66553551"
"Trinidad and Tobago","Total Exports","54000965"
"","Total Imports","12089362"
"","Trade Balance","41911603"
"India","Total Exports","36182825"
"","Total Imports","212828"
"","Trade Balance","35969997"
"Gibraltar","Total Exports","26805966"
"","Total Imports",""
"","Trade Balance","26805966"
"Egypt","Total Exports","22950718"
"","Total Imports",""
"","Trade Balance","22950718"
"France (incl. Monaco, French Antilles)","Total Exports","24847353"
"","Total Imports","4736590"
"","Trade Balance","20110763"
"Czech Republic","Total Exports","15812620"
"","Total Imports","23728"
"","Trade Balance","15788892"
"Türkiye","Total Exports","16042747"
"","Total Imports","1647397"
"","Trade Balance","14395350"
"Saudi Arabia","Total Exports","14277029"
"","Total Imports",""
"","Trade Balance","14277029"
"Hong Kong","Total Exports","14646174"
"","Total Imports","512297"
"","Trade Balance","14133877"
"Colombia","Total Exports","22411208"
"","Total Imports","8379177"
"","Trade Balance","14032031"
"Ecuador","Total Exports","22603907"
"","Total Imports","8965110"
"","Trade Balance","13638797"
"Portugal","Total Exports","11438697"
"","Total Imports","326022"
"","Trade Balance","11112675"
"Netherlands","Total Exports","13845438"
"","Total Imports","4092400"
"","Trade Balance","9753038"
"Thailand","Total Exports","9180636"
"","Total Imports","30374"
"","Trade Balance","9150262"
"Norway","Total Exports","25348074"
"","Total Imports","17239362"
"","Trade Balance","8108712"
"Iceland","Total Exports","13701326"
"","Total Imports","5831767"
"","Trade Balance","7869559"
"Algeria","Total Exports","7596849"
"","Total Imports",""
"","Trade Balance","7596849"
"Italy (incl. Vatican City State)","Total Exports","39095154"
"","Total Imports","31622828"
"","Trade Balance","7472326"
"Israel","Total Exports","6775892"
"","Total Imports","4152"
"","Trade Balance","6771740"
"Ukraine","Total Exports","6610334"
"","Total Imports","10317"
"","Trade Balance","6600017"
"Greece","Total Exports","6341393"
"","Total Imports","22363"
"","Trade Balance","6319030"
"Philippines","Total Exports","5136409"
"","Total Imports","545"
"","Trade Balance","5135864"
"Vietnam","Total Exports","4913385"
"","Total Imports","9461"
"","Trade Balance","4903924"
"Georgia","Total Exports","4400896"
"","Total Imports",""
"","Trade Balance","4400896"
"Bulgaria","Total Exports","4378733"
"","Total Imports",""
"","Trade Balance","4378733"
"Estonia","Total Exports","4356206"
"","Total Imports","2640"
"","Trade Balance","4353566"
"Romania","Total Exports","2594514"
"","Total Imports",""
"","Trade Balance","2594514"
"Barbados","Total Exports","2456927"
"","Total Imports",""
"","Trade Balance","2456927"
"Brazil","Total Exports","2481932"
"","Total Imports","26155"
"","Trade Balance","2455777"
"Singapore","Total Exports","2154663"
"","Total Imports","302523"
"","Trade Balance","1852140"
"Bahamas","Total Exports","16486186"
"","Total Imports","14742738"
"","Trade Balance","1743448"
"Bahrain","Total Exports","1310652"
"","Total Imports",""
"","Trade Balance","1310652"
"United Arab Emirates","Total Exports","1308317"
"","Total Imports","4089"
"","Trade Balance","1304228"
"Lithuania","Total Exports","1681922"
"","Total Imports","473269"
"","Trade Balance","1208653"
"Latvia","Total Exports","1165503"
"","Total Imports","14012"
"","Trade Balance","1151491"
"Poland","Total Exports","1130304"
"","Total Imports","45348"
"","Trade Balance","1084956"
"El Salvador","Total Exports","989332"
"","Total Imports",""
"","Trade Balance","989332"
"Sri Lanka","Total Exports","866494"
"","Total Imports","77"
"","Trade Balance","866417"
"Jamaica","Total Exports","1010888"
"","Total Imports","247356"
"","Trade Balance","763532"
"Panama","Total Exports","712005"
"","Total Imports","32"
"","Trade Balance","711973"
"Iran","Total Exports","523309"
"","Total Imports",""
"","Trade Balance","523309"
"Netherlands Antilles","Total Exports","483221"
"","Total Imports",""
"","Trade Balance","483221"
"Peru","Total Exports","485449"
"","Total Imports","4329"
"","Trade Balance","481120"
"Nigeria","Total Exports","422023"
"","Total Imports","19"
"","Trade Balance","422004"
"Jordan","Total Exports","336466"
"","Total Imports",""
"","Trade Balance","336466"
"Saint Pierre-Miquelon","Total Exports","873005"
"","Total Imports","540299"
"","Trade Balance","332706"
"Qatar","Total Exports","294267"
"","Total Imports",""
"","Trade Balance","294267"
"Kenya","Total Exports","259323"
"","Total Imports","710"
"","Trade Balance","258613"
"Malta","Total Exports","233178"
"","Total Imports",""
"","Trade Balance","233178"
"Niger","Total Exports","230563"
"","Total Imports",""
"","Trade Balance","230563"
"Oman (formerly Muscat and Oman)","Total Exports","200000"
"","Total Imports",""
"","Trade Balance","200000"
"Tunisia","Total Exports","194585"
"","Total Imports",""
"","Trade Balance","194585"
"Korea, North","Total Exports","177221"
"","Total Imports",""
"","Trade Balance","177221"
"Morocco","Total Exports","169246"
"","Total Imports",""
"","Trade Balance","169246"
"Angola","Total Exports","141786"
"","Total Imports",""
"","Trade Balance","141786"
"Moldova","Total Exports","120473"
"","Total Imports",""
"","Trade Balance","120473"
"Dominican Republic","Total Exports","119701"
"","Total Imports",""
"","Trade Balance","119701"
"Costa Rica","Total Exports","115791"
"","Total Imports","4446"
"","Trade Balance","111345"
"Bermuda","Total Exports","102315"
"","Total Imports","5339"
"","Trade Balance","96976"
"Kuwait","Total Exports","94268"
"","Total Imports",""
"","Trade Balance","94268"
"Christmas Island","Total Exports","63493"
"","Total Imports",""
"","Trade Balance","63493"
"Pakistan","Total Exports","66659"
"","Total Imports","7452"
"","Trade Balance","59207"
"New Zealand","Total Exports","346846"
"","Total Imports","290323"
"","Trade Balance","56523"
"Uruguay","Total Exports","52679"
"","Total Imports",""
"","Trade Balance","52679"
"Malaysia","Total Exports","74688"
"","Total Imports","24975"
"","Trade Balance","49713"
"Brunei Darussalam","Total Exports","45940"
"","Total Imports",""
"","Trade Balance","45940"
"Tanzania","Total Exports","42043"
"","Total Imports",""
"","Trade Balance","42043"
"Haiti","Total Exports","41639"
"","Total Imports","73"
"","Trade Balance","41566"
"Congo (formerly Zaire)","Total Exports","37000"
"","Total Imports","12"
"","Trade Balance","36988"
"Ethiopia","Total Exports","36360"
"","Total Imports",""
"","Trade Balance","36360"
"Libya","Total Exports","30407"
"","Total Imports",""
"","Trade Balance","30407"
"Mauritius","Total Exports","30095"
"","Total Imports","4"
"","Trade Balance","30091"
"Croatia","Total Exports","25402"
"","Total Imports",""
"","Trade Balance","25402"
"Congo (formerly Brazzaville)","Total Exports","25263"
"","Total Imports",""
"","Trade Balance","25263"
"Cuba","Total Exports","24327"
"","Total Imports",""
"","Trade Balance","24327"
"Gabon","Total Exports","18510"
"","Total Imports",""
"","Trade Balance","18510"
"Slovakia","Total Exports","18252"
"","Total Imports",""
"","Trade Balance","18252"
"Montenegro","Total Exports","16992"
"","Total Imports",""
"","Trade Balance","16992"
"Cyprus","Total Exports","25649"
"","Total Imports","12649"
"","Trade Balance","13000"
"Kazakhstan","Total Exports","10841"
"","Total Imports",""
"","Trade Balance","10841"
"High Seas","Total Exports","7030"
"","Total Imports",""
"","Trade Balance","7030"
"Senegal","Total Exports","2762"
"","Total Imports",""
"","Trade Balance","2762"
"Seychelles","Total Exports","2548"
"","Total Imports",""
"","Trade Balance","2548"
"Cameroon","Total Exports","751"
"","Total Imports",""
"","Trade Balance","751"
"Turks and Caicos Islands","Total Exports","211"
"","Total Imports",""
"","Trade Balance","211"
"Suriname","Total Exports","121"
"","Total Imports",""
"","Trade Balance","121"
"Albania","Total Exports","1"
"","Total Imports",""
"","Trade Balance","1"
"Honduras","Total Exports",""
"","Total Imports","64"
"","Trade Balance","-64"
"Ghana","Total Exports",""
"","Total Imports","98"
"","Trade Balance","-98"
"Namibia","Total Exports",""
"","Total Imports","3465"
"","Trade Balance","-3465"
"Indonesia","Total Exports",""
"","Total Imports","4622"
"","Trade Balance","-4622"
"Hungary","Total Exports",""
"","Total Imports","30167"
"","Trade Balance","-30167"
"Austria","Total Exports","54462"
"","Total Imports","342732"
"","Trade Balance","-288270"
"Guyana","Total Exports",""
"","Total Imports","598311"
"","Trade Balance","-598311"
"South Africa","Total Exports","243962"
"","Total Imports","869934"
"","Trade Balance","-625972"
"Faeroe Islands","Total Exports","63109"
"","Total Imports","730315"
"","Trade Balance","-667206"
"Ireland","Total Exports","782174"
"","Total Imports","1618905"
"","Trade Balance","-836731"
"Argentina","Total Exports","150108"
"","Total Imports","1915411"
"","Trade Balance","-1765303"
"Switzerland","Total Exports","3372319"
"","Total Imports","6964025"
"","Trade Balance","-3591706"
"Korea, South","Total Exports","18253844"
"","Total Imports","26462026"
"","Trade Balance","-8208182"
"Mexico","Total Exports","460255"
"","Total Imports","10092319"
"","Trade Balance","-9632064"
"Azerbaijan","Total Exports","352682"
"","Total Imports","15811221"
"","Trade Balance","-15458539"
"Belarus (formerly Byelorussia)","Total Exports","136084"
"","Total Imports","25465185"
"","Trade Balance","-25329101"
"Syria","Total Exports","24343"
"","Total Imports","26959906"
"","Trade Balance","-26935563"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","28942712"
"","Trade Balance","-28942712"
"Belgium","Total Exports","514257"
"","Total Imports","41597841"
"","Trade Balance","-41083584"
"Greenland","Total Exports","376602"
"","Total Imports","45449796"
"","Trade Balance","-45073194"
"Venezuela","Total Exports","46363183"
"","Total Imports","420929620"
"","Trade Balance","-374566437"
"Russia","Total Exports","32459548"
"","Total Imports","523873932"
"","Trade Balance","-491414384"
"Iraq","Total Exports",""
"","Total Imports","1501091458"
"","Trade Balance","-1501091458"
"Total All Countries","Total Exports","11749765007"
"","Total Imports","3094804117"
"","Trade Balance","8654960890"

"Source: Trade Data Online (accessed: April 21, 2025)"



