"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Newfoundland and Labrador"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2008"
"Units","Value in  canadian dollars"

"","","2008"
"United States","Total Exports","10768157137"
"","Total Imports","316632907"
"","Trade Balance","10451524230"
"Germany","Total Exports","1022972890"
"","Total Imports","11892073"
"","Trade Balance","1011080817"
"China","Total Exports","481090765"
"","Total Imports","3812982"
"","Trade Balance","477277783"
"Gibraltar","Total Exports","361290809"
"","Total Imports",""
"","Trade Balance","361290809"
"Finland","Total Exports","345553003"
"","Total Imports","696477"
"","Trade Balance","344856526"
"France (incl. Monaco, French Antilles)","Total Exports","317825161"
"","Total Imports","13980331"
"","Trade Balance","303844830"
"Japan","Total Exports","219371830"
"","Total Imports","1410668"
"","Trade Balance","217961162"
"United Kingdom","Total Exports","172311062"
"","Total Imports","40554737"
"","Trade Balance","131756325"
"Romania","Total Exports","127018484"
"","Total Imports","41003"
"","Trade Balance","126977481"
"Australia","Total Exports","116910056"
"","Total Imports","4615127"
"","Trade Balance","112294929"
"Italy (incl. Vatican City State)","Total Exports","107901573"
"","Total Imports","3630460"
"","Trade Balance","104271113"
"Trinidad and Tobago","Total Exports","103319787"
"","Total Imports","14361057"
"","Trade Balance","88958730"
"Netherlands","Total Exports","90824147"
"","Total Imports","5916571"
"","Trade Balance","84907576"
"Spain","Total Exports","83492070"
"","Total Imports","917081"
"","Trade Balance","82574989"
"Saudi Arabia","Total Exports","65601760"
"","Total Imports",""
"","Trade Balance","65601760"
"Sweden","Total Exports","79524529"
"","Total Imports","17862875"
"","Trade Balance","61661654"
"Taiwan","Total Exports","61468362"
"","Total Imports","33666"
"","Trade Balance","61434696"
"Chile","Total Exports","33291065"
"","Total Imports","1124684"
"","Trade Balance","32166381"
"Türkiye","Total Exports","25283591"
"","Total Imports","1316"
"","Trade Balance","25282275"
"India","Total Exports","25146657"
"","Total Imports","204092"
"","Trade Balance","24942565"
"Algeria","Total Exports","19030116"
"","Total Imports",""
"","Trade Balance","19030116"
"Colombia","Total Exports","80564907"
"","Total Imports","62713921"
"","Trade Balance","17850986"
"Czech Republic","Total Exports","17723379"
"","Total Imports","11051"
"","Trade Balance","17712328"
"Hong Kong","Total Exports","16875491"
"","Total Imports","155"
"","Trade Balance","16875336"
"Egypt","Total Exports","16153820"
"","Total Imports",""
"","Trade Balance","16153820"
"Bulgaria","Total Exports","14590404"
"","Total Imports",""
"","Trade Balance","14590404"
"Korea, South","Total Exports","17208402"
"","Total Imports","2909677"
"","Trade Balance","14298725"
"Thailand","Total Exports","13702785"
"","Total Imports","119935"
"","Trade Balance","13582850"
"Ukraine","Total Exports","6141958"
"","Total Imports","10095"
"","Trade Balance","6131863"
"Georgia","Total Exports","4532019"
"","Total Imports","10903"
"","Trade Balance","4521116"
"Barbados","Total Exports","3823588"
"","Total Imports","12"
"","Trade Balance","3823576"
"Vietnam","Total Exports","5336928"
"","Total Imports","2777906"
"","Trade Balance","2559022"
"Lithuania","Total Exports","2625354"
"","Total Imports","475610"
"","Trade Balance","2149744"
"Costa Rica","Total Exports","2133741"
"","Total Imports","7104"
"","Trade Balance","2126637"
"Estonia","Total Exports","1513525"
"","Total Imports",""
"","Trade Balance","1513525"
"Greece","Total Exports","1430012"
"","Total Imports","23527"
"","Trade Balance","1406485"
"Bahrain","Total Exports","1394179"
"","Total Imports",""
"","Trade Balance","1394179"
"Singapore","Total Exports","1523865"
"","Total Imports","388587"
"","Trade Balance","1135278"
"United Arab Emirates","Total Exports","1191753"
"","Total Imports","63967"
"","Trade Balance","1127786"
"Sri Lanka","Total Exports","1032978"
"","Total Imports",""
"","Trade Balance","1032978"
"Latvia","Total Exports","932417"
"","Total Imports","9294"
"","Trade Balance","923123"
"Jamaica","Total Exports","1082215"
"","Total Imports","349840"
"","Trade Balance","732375"
"Peru","Total Exports","731237"
"","Total Imports","2710"
"","Trade Balance","728527"
"Saint Pierre-Miquelon","Total Exports","908600"
"","Total Imports","189393"
"","Trade Balance","719207"
"Malta","Total Exports","704096"
"","Total Imports",""
"","Trade Balance","704096"
"Poland","Total Exports","1064517"
"","Total Imports","377432"
"","Trade Balance","687085"
"New Caledonia","Total Exports","619339"
"","Total Imports",""
"","Trade Balance","619339"
"Brazil","Total Exports","1513500"
"","Total Imports","1002943"
"","Trade Balance","510557"
"El Salvador","Total Exports","500728"
"","Total Imports",""
"","Trade Balance","500728"
"Indonesia","Total Exports","399638"
"","Total Imports","37"
"","Trade Balance","399601"
"Bermuda","Total Exports","268753"
"","Total Imports","5339"
"","Trade Balance","263414"
"British Virgin Islands","Total Exports","187032"
"","Total Imports",""
"","Trade Balance","187032"
"Ghana","Total Exports","179553"
"","Total Imports",""
"","Trade Balance","179553"
"Tanzania","Total Exports","144648"
"","Total Imports",""
"","Trade Balance","144648"
"Panama","Total Exports","142198"
"","Total Imports",""
"","Trade Balance","142198"
"Madagascar","Total Exports","134629"
"","Total Imports",""
"","Trade Balance","134629"
"Qatar","Total Exports","127338"
"","Total Imports",""
"","Trade Balance","127338"
"Malaysia","Total Exports","120688"
"","Total Imports",""
"","Trade Balance","120688"
"Jordan","Total Exports","111077"
"","Total Imports",""
"","Trade Balance","111077"
"Brunei Darussalam","Total Exports","104827"
"","Total Imports",""
"","Trade Balance","104827"
"Libya","Total Exports","100260"
"","Total Imports",""
"","Trade Balance","100260"
"Korea, North","Total Exports","94740"
"","Total Imports",""
"","Trade Balance","94740"
"Tunisia","Total Exports","83490"
"","Total Imports",""
"","Trade Balance","83490"
"Kazakhstan","Total Exports","81682"
"","Total Imports",""
"","Trade Balance","81682"
"Namibia","Total Exports","80798"
"","Total Imports",""
"","Trade Balance","80798"
"Moldova","Total Exports","80491"
"","Total Imports",""
"","Trade Balance","80491"
"Swaziland","Total Exports","80000"
"","Total Imports",""
"","Trade Balance","80000"
"Papua New Guinea","Total Exports","76010"
"","Total Imports",""
"","Trade Balance","76010"
"Dominican Republic","Total Exports","70548"
"","Total Imports","34"
"","Trade Balance","70514"
