"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Newfoundland and Labrador"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2009"
"Units","Value in  canadian dollars"

"","","2009"
"United States","Total Exports","5986615263"
"","Total Imports","213945971"
"","Trade Balance","5772669292"
"China","Total Exports","1013018144"
"","Total Imports","424278"
"","Trade Balance","1012593866"
"Germany","Total Exports","378224137"
"","Total Imports","26136248"
"","Trade Balance","352087889"
"Singapore","Total Exports","184831488"
"","Total Imports","22270"
"","Trade Balance","184809218"
"United Kingdom","Total Exports","156695818"
"","Total Imports","31829285"
"","Trade Balance","124866533"
"Netherlands","Total Exports","93057351"
"","Total Imports","3409479"
"","Trade Balance","89647872"
"Japan","Total Exports","85851538"
"","Total Imports","1052729"
"","Trade Balance","84798809"
"Sweden","Total Exports","66868374"
"","Total Imports","2807754"
"","Trade Balance","64060620"
"Taiwan","Total Exports","53665231"
"","Total Imports","196425"
"","Trade Balance","53468806"
"Spain","Total Exports","53939658"
"","Total Imports","860371"
"","Trade Balance","53079287"
"Saudi Arabia","Total Exports","48687580"
"","Total Imports",""
"","Trade Balance","48687580"
"Trinidad and Tobago","Total Exports","41320962"
"","Total Imports",""
"","Trade Balance","41320962"
"Bulgaria","Total Exports","29731182"
"","Total Imports","24010"
"","Trade Balance","29707172"
"Australia","Total Exports","30506907"
"","Total Imports","3603569"
"","Trade Balance","26903338"
"Hong Kong","Total Exports","24443710"
"","Total Imports","205"
"","Trade Balance","24443505"
"Italy (incl. Vatican City State)","Total Exports","25029498"
"","Total Imports","3669157"
"","Trade Balance","21360341"
"France (incl. Monaco, French Antilles)","Total Exports","101414216"
"","Total Imports","83365003"
"","Trade Balance","18049213"
"Denmark","Total Exports","34359530"
"","Total Imports","19021635"
"","Trade Balance","15337895"
"Iceland","Total Exports","15109901"
"","Total Imports","4298324"
"","Trade Balance","10811577"
"Czech Republic","Total Exports","10547314"
"","Total Imports","21577"
"","Trade Balance","10525737"
"Algeria","Total Exports","9759516"
"","Total Imports",""
"","Trade Balance","9759516"
"Egypt","Total Exports","9716762"
"","Total Imports","167"
"","Trade Balance","9716595"
"Belgium","Total Exports","9722144"
"","Total Imports","602421"
"","Trade Balance","9119723"
"Vietnam","Total Exports","8457002"
"","Total Imports","92870"
"","Trade Balance","8364132"
"Thailand","Total Exports","7926012"
"","Total Imports","169223"
"","Trade Balance","7756789"
"Ukraine","Total Exports","6985851"
"","Total Imports",""
"","Trade Balance","6985851"
"Georgia","Total Exports","6407293"
"","Total Imports",""
"","Trade Balance","6407293"
"Estonia","Total Exports","6299187"
"","Total Imports",""
"","Trade Balance","6299187"
"Portugal","Total Exports","4092577"
"","Total Imports","332912"
"","Trade Balance","3759665"
"Korea, South","Total Exports","17483955"
"","Total Imports","15025134"
"","Trade Balance","2458821"
"Greece","Total Exports","1937566"
"","Total Imports","30309"
"","Trade Balance","1907257"
"India","Total Exports","1530743"
"","Total Imports","152733"
"","Trade Balance","1378010"
"Saint Pierre-Miquelon","Total Exports","1421969"
"","Total Imports","72613"
"","Trade Balance","1349356"
"Finland","Total Exports","1850912"
"","Total Imports","560840"
"","Trade Balance","1290072"
"United Arab Emirates","Total Exports","1345563"
"","Total Imports","102937"
"","Trade Balance","1242626"
"Nigeria","Total Exports","976237"
"","Total Imports",""
"","Trade Balance","976237"
"Bahrain","Total Exports","672812"
"","Total Imports",""
"","Trade Balance","672812"
"Romania","Total Exports","657758"
"","Total Imports","192"
"","Trade Balance","657566"
"Honduras","Total Exports","587000"
"","Total Imports",""
"","Trade Balance","587000"
"Israel","Total Exports","422051"
"","Total Imports","7692"
"","Trade Balance","414359"
"Poland","Total Exports","537524"
"","Total Imports","126742"
"","Trade Balance","410782"
"Lithuania","Total Exports","789414"
"","Total Imports","380675"
"","Trade Balance","408739"
"Libya","Total Exports","366560"
"","Total Imports",""
"","Trade Balance","366560"
"Indonesia","Total Exports","351885"
"","Total Imports",""
"","Trade Balance","351885"
"Malta","Total Exports","346287"
"","Total Imports",""
"","Trade Balance","346287"
"Morocco","Total Exports","936954"
"","Total Imports","624420"
"","Trade Balance","312534"
"Serbia","Total Exports","290372"
"","Total Imports",""
"","Trade Balance","290372"
"Netherlands Antilles","Total Exports","288036"
"","Total Imports",""
"","Trade Balance","288036"
"Bermuda","Total Exports","264797"
"","Total Imports","7154"
"","Trade Balance","257643"
"Nepal","Total Exports","245794"
"","Total Imports",""
"","Trade Balance","245794"
"Barbados","Total Exports","212500"
"","Total Imports","4306"
"","Trade Balance","208194"
"New Caledonia","Total Exports","206832"
"","Total Imports",""
"","Trade Balance","206832"
"Panama","Total Exports","193236"
"","Total Imports",""
