"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Newfoundland and Labrador"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2010"
"Units","Value in  canadian dollars"

"","","2010"
"United States","Total Exports","6420977898"
"","Total Imports","324210433"
"","Trade Balance","6096767465"
"Germany","Total Exports","734435365"
"","Total Imports","10432001"
"","Trade Balance","724003364"
"China","Total Exports","715501697"
"","Total Imports","2905936"
"","Trade Balance","712595761"
"Trinidad and Tobago","Total Exports","111802546"
"","Total Imports",""
"","Trade Balance","111802546"
"Japan","Total Exports","111498961"
"","Total Imports","1130083"
"","Trade Balance","110368878"
"Netherlands","Total Exports","120937643"
"","Total Imports","15221002"
"","Trade Balance","105716641"
"Spain","Total Exports","104222838"
"","Total Imports","2993221"
"","Trade Balance","101229617"
"Bulgaria","Total Exports","99761060"
"","Total Imports",""
"","Trade Balance","99761060"
"Taiwan","Total Exports","88782071"
"","Total Imports","3497823"
"","Trade Balance","85284248"
"Sweden","Total Exports","67095533"
"","Total Imports","1058701"
"","Trade Balance","66036832"
"France (incl. Monaco, French Antilles)","Total Exports","69513093"
"","Total Imports","21855181"
"","Trade Balance","47657912"
"Hong Kong","Total Exports","33002709"
"","Total Imports",""
"","Trade Balance","33002709"
"Türkiye","Total Exports","29991396"
"","Total Imports","129372"
"","Trade Balance","29862024"
"Argentina","Total Exports","30345952"
"","Total Imports","777784"
"","Trade Balance","29568168"
"United Arab Emirates","Total Exports","29294460"
"","Total Imports",""
"","Trade Balance","29294460"
"Denmark","Total Exports","38393744"
"","Total Imports","9721185"
"","Trade Balance","28672559"
"Italy (incl. Vatican City State)","Total Exports","32051695"
"","Total Imports","8200195"
"","Trade Balance","23851500"
"Iceland","Total Exports","25866314"
"","Total Imports","3267396"
"","Trade Balance","22598918"
"Gibraltar","Total Exports","24697466"
"","Total Imports","2233400"
"","Trade Balance","22464066"
"India","Total Exports","16010379"
"","Total Imports","86755"
"","Trade Balance","15923624"
"Saudi Arabia","Total Exports","14924897"
"","Total Imports","90734"
"","Trade Balance","14834163"
"Singapore","Total Exports","13013717"
"","Total Imports","874170"
"","Trade Balance","12139547"
"Ukraine","Total Exports","10433929"
"","Total Imports",""
"","Trade Balance","10433929"
"Thailand","Total Exports","10521061"
"","Total Imports","103242"
"","Trade Balance","10417819"
"Australia","Total Exports","14274478"
"","Total Imports","3874744"
"","Trade Balance","10399734"
"Vietnam","Total Exports","9961608"
"","Total Imports","24425"
"","Trade Balance","9937183"
"Algeria","Total Exports","7214008"
"","Total Imports",""
