"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Newfoundland and Labrador"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2014"
"Units","Value in  canadian dollars"

"","","2014"
"United States","Total Exports","6872219858"
"","Total Imports","1655134116"
"","Trade Balance","5217085742"
"Italy (incl. Vatican City State)","Total Exports","1498401813"
"","Total Imports","20638821"
"","Trade Balance","1477762992"
"United Kingdom","Total Exports","956214943"
"","Total Imports","88892778"
"","Trade Balance","867322165"
"Netherlands","Total Exports","648604043"
"","Total Imports","21414830"
"","Trade Balance","627189213"
"China","Total Exports","607193255"
"","Total Imports","6957804"
"","Trade Balance","600235451"
"France (incl. Monaco, French Antilles)","Total Exports","376596720"
"","Total Imports","38118119"
"","Trade Balance","338478601"
"Chile","Total Exports","226996245"
"","Total Imports","1580697"
"","Trade Balance","225415548"
"Spain","Total Exports","242337003"
"","Total Imports","18748685"
"","Trade Balance","223588318"
"Bahamas","Total Exports","212678442"
"","Total Imports",""
"","Trade Balance","212678442"
"Japan","Total Exports","216642331"
"","Total Imports","4297274"
"","Trade Balance","212345057"
"India","Total Exports","94798061"
"","Total Imports","306358"
"","Trade Balance","94491703"
"Trinidad and Tobago","Total Exports","83392636"
"","Total Imports","25700"
"","Trade Balance","83366936"
"Ireland","Total Exports","80086550"
"","Total Imports","4625290"
"","Trade Balance","75461260"
"Taiwan","Total Exports","66477545"
"","Total Imports","38454"
"","Trade Balance","66439091"
"Türkiye","Total Exports","73785966"
"","Total Imports","15011522"
"","Trade Balance","58774444"
"Korea, South","Total Exports","59045550"
"","Total Imports","2504278"
"","Trade Balance","56541272"
"Belgium","Total Exports","57716059"
"","Total Imports","1175271"
"","Trade Balance","56540788"
"Vietnam","Total Exports","54119203"
"","Total Imports","156801"
"","Trade Balance","53962402"
"Germany","Total Exports","109681613"
"","Total Imports","56118425"
"","Trade Balance","53563188"
"Norway","Total Exports","95574828"
"","Total Imports","44235220"
"","Trade Balance","51339608"
"Bulgaria","Total Exports","43339711"
"","Total Imports","76222"
"","Trade Balance","43263489"
"Russia","Total Exports","39026037"
"","Total Imports","755483"
"","Trade Balance","38270554"
"Israel","Total Exports","29223766"
"","Total Imports","249900"
"","Trade Balance","28973866"
"Hong Kong","Total Exports","25899052"
"","Total Imports","3178"
"","Trade Balance","25895874"
"Iceland","Total Exports","25953680"
"","Total Imports","4314151"
"","Trade Balance","21639529"
"Indonesia","Total Exports","18129746"
"","Total Imports","5444"
"","Trade Balance","18124302"
"Denmark","Total Exports","46923633"
"","Total Imports","32014022"
"","Trade Balance","14909611"
"Venezuela","Total Exports","14527031"
"","Total Imports",""
"","Trade Balance","14527031"
"Barbados","Total Exports","14197561"
"","Total Imports",""
"","Trade Balance","14197561"
"Saint Pierre-Miquelon","Total Exports","13728937"
"","Total Imports","1881527"
"","Trade Balance","11847410"
"Switzerland","Total Exports","12049227"
"","Total Imports","1803511"
"","Trade Balance","10245716"
"Poland","Total Exports","11243708"
"","Total Imports","1362145"
"","Trade Balance","9881563"
"Sweden","Total Exports","29732338"
"","Total Imports","20957015"
"","Trade Balance","8775323"
"Czech Republic","Total Exports","8386415"
"","Total Imports","345904"
"","Trade Balance","8040511"
"Bahrain","Total Exports","20915774"
"","Total Imports","12930667"
"","Trade Balance","7985107"
"Ukraine","Total Exports","6481601"
"","Total Imports","13146"
"","Trade Balance","6468455"
"Thailand","Total Exports","6056102"
"","Total Imports","37385"
"","Trade Balance","6018717"
