"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Newfoundland and Labrador"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2016"
"Units","Value in  canadian dollars"

"","","2016"
"United States","Total Exports","4970732311"
"","Total Imports","1286419288"
"","Trade Balance","3684313023"
"China","Total Exports","538654394"
"","Total Imports","41618041"
"","Trade Balance","497036353"
"United Kingdom","Total Exports","731861857"
"","Total Imports","282092256"
"","Trade Balance","449769601"
"Netherlands","Total Exports","270454921"
"","Total Imports","8725158"
"","Trade Balance","261729763"
"Belgium","Total Exports","251635050"
"","Total Imports","23764434"
"","Trade Balance","227870616"
"Spain","Total Exports","220482005"
"","Total Imports","901450"
"","Trade Balance","219580555"
"Japan","Total Exports","236518604"
"","Total Imports","50935932"
"","Trade Balance","185582672"
"Italy (incl. Vatican City State)","Total Exports","212856093"
"","Total Imports","37468559"
"","Trade Balance","175387534"
"Trinidad and Tobago","Total Exports","86520126"
"","Total Imports",""
"","Trade Balance","86520126"
"Uruguay","Total Exports","84807437"
"","Total Imports",""
"","Trade Balance","84807437"
"Taiwan","Total Exports","65341400"
"","Total Imports","120392"
"","Trade Balance","65221008"
"Türkiye","Total Exports","65731937"
"","Total Imports","14148234"
"","Trade Balance","51583703"
"Germany","Total Exports","67167508"
"","Total Imports","20224456"
"","Trade Balance","46943052"
"Saudi Arabia","Total Exports","43555195"
"","Total Imports","490"
"","Trade Balance","43554705"
"United Arab Emirates","Total Exports","50792764"
"","Total Imports","11388722"
"","Trade Balance","39404042"
"Hong Kong","Total Exports","37534095"
"","Total Imports","429"
"","Trade Balance","37533666"
"Brazil","Total Exports","36456033"
"","Total Imports","86851"
"","Trade Balance","36369182"
"Vietnam","Total Exports","33055094"
"","Total Imports","266308"
"","Trade Balance","32788786"
"Sweden","Total Exports","51997566"
"","Total Imports","22090613"
"","Trade Balance","29906953"
"Bulgaria","Total Exports","27048416"
"","Total Imports","135660"
"","Trade Balance","26912756"
"Egypt","Total Exports","21559475"
"","Total Imports",""
"","Trade Balance","21559475"
"Iceland","Total Exports","24146668"
"","Total Imports","4313760"
"","Trade Balance","19832908"
"India","Total Exports","20057274"
"","Total Imports","1212560"
"","Trade Balance","18844714"
"Israel","Total Exports","18472152"
"","Total Imports","26188"
"","Trade Balance","18445964"
"France (incl. Monaco, French Antilles)","Total Exports","79598768"
"","Total Imports","65990132"
"","Trade Balance","13608636"
"Indonesia","Total Exports","13552405"
"","Total Imports","128182"
"","Trade Balance","13424223"
"Saint Pierre-Miquelon","Total Exports","15261741"
"","Total Imports","1906170"
"","Trade Balance","13355571"
"Thailand","Total Exports","12657917"
"","Total Imports","5514"
"","Trade Balance","12652403"
"Morocco","Total Exports","10617723"
"","Total Imports","1691786"
"","Trade Balance","8925937"
"Argentina","Total Exports","7509137"
"","Total Imports","1154799"
"","Trade Balance","6354338"
"Curacao","Total Exports","5780157"
"","Total Imports","590"
"","Trade Balance","5779567"
"Ukraine","Total Exports","4639700"
"","Total Imports","1721"
"","Trade Balance","4637979"
"Singapore","Total Exports","3619314"
"","Total Imports","278426"
"","Trade Balance","3340888"
"Venezuela","Total Exports","2787043"
"","Total Imports",""
"","Trade Balance","2787043"
"Guatemala","Total Exports","1998382"
"","Total Imports",""
"","Trade Balance","1998382"
"Jamaica","Total Exports","1636856"
"","Total Imports","224217"
"","Trade Balance","1412639"
"Peru","Total Exports","1321593"
"","Total Imports","2246"
"","Trade Balance","1319347"
"Chile","Total Exports","2806082"
"","Total Imports","1519164"
"","Trade Balance","1286918"
"Dominican Republic","Total Exports","1361477"
"","Total Imports","175896"
"","Trade Balance","1185581"
"Cayman Islands","Total Exports","1067161"
"","Total Imports",""
"","Trade Balance","1067161"
"Kazakhstan","Total Exports","898326"
"","Total Imports",""
"","Trade Balance","898326"
"Albania","Total Exports","859814"
"","Total Imports",""
"","Trade Balance","859814"
"Ireland","Total Exports","3051821"
"","Total Imports","2201038"
"","Trade Balance","850783"
"Kuwait","Total Exports","811044"
"","Total Imports",""
"","Trade Balance","811044"
"Georgia","Total Exports","737502"
"","Total Imports","357"
"","Trade Balance","737145"
"Mexico","Total Exports","1824516"
"","Total Imports","1125588"
"","Trade Balance","698928"
"Colombia","Total Exports","635020"
"","Total Imports","40533"
"","Trade Balance","594487"
"Namibia","Total Exports","479937"
"","Total Imports","1004"
"","Trade Balance","478933"
"Panama","Total Exports","467595"
"","Total Imports",""
"","Trade Balance","467595"
"Greenland","Total Exports","578481"
"","Total Imports","139219"
"","Trade Balance","439262"
"Austria","Total Exports","2472123"
"","Total Imports","2036755"
"","Trade Balance","435368"
"Czech Republic","Total Exports","553600"
"","Total Imports","192658"
"","Trade Balance","360942"
"Portugal","Total Exports","2687209"
"","Total Imports","2377505"
"","Trade Balance","309704"
"Pakistan","Total Exports","296997"
"","Total Imports","4792"
"","Trade Balance","292205"
"Guam","Total Exports","218095"
"","Total Imports",""
"","Trade Balance","218095"
"Tajikistan","Total Exports","156585"
"","Total Imports",""
"","Trade Balance","156585"
"Malaysia","Total Exports","292197"
"","Total Imports","138874"
"","Trade Balance","153323"
"Barbados","Total Exports","152638"
"","Total Imports",""
"","Trade Balance","152638"
"Estonia","Total Exports","401660"
"","Total Imports","256741"
"","Trade Balance","144919"
"Angola","Total Exports","137202"
"","Total Imports",""
"","Trade Balance","137202"
"Côte-d'Ivoire","Total Exports","132294"
"","Total Imports","2663"
"","Trade Balance","129631"
"Lebanon","Total Exports","125348"
"","Total Imports",""
"","Trade Balance","125348"
"Honduras","Total Exports","83476"
"","Total Imports","4671"
"","Trade Balance","78805"
"Qatar","Total Exports","57802"
"","Total Imports",""
"","Trade Balance","57802"
"Kyrgyzstan","Total Exports","45369"
"","Total Imports",""
"","Trade Balance","45369"
"Saint Kitts and Nevis","Total Exports","40054"
"","Total Imports",""
"","Trade Balance","40054"
"Congo (formerly Brazzaville)","Total Exports","39894"
"","Total Imports",""
"","Trade Balance","39894"
"Costa Rica","Total Exports","40804"
"","Total Imports","8184"
"","Trade Balance","32620"
"Azerbaijan","Total Exports","32036"
"","Total Imports",""
"","Trade Balance","32036"
"Ghana","Total Exports","28882"
"","Total Imports",""
"","Trade Balance","28882"
"Sri Lanka","Total Exports","37449"
"","Total Imports","8709"
"","Trade Balance","28740"
"Papua New Guinea","Total Exports","20000"
"","Total Imports",""
"","Trade Balance","20000"
"Bolivia","Total Exports","18416"
"","Total Imports",""
"","Trade Balance","18416"
"Bermuda","Total Exports","17457"
"","Total Imports",""
"","Trade Balance","17457"
"Greece","Total Exports","23143"
"","Total Imports","10068"
"","Trade Balance","13075"
"Benin","Total Exports","12300"
"","Total Imports",""
"","Trade Balance","12300"
"Seychelles","Total Exports","7350"
"","Total Imports",""
"","Trade Balance","7350"
"Oman (formerly Muscat and Oman)","Total Exports","5373"
"","Total Imports",""
"","Trade Balance","5373"
"Brunei Darussalam","Total Exports","4030"
"","Total Imports",""
"","Trade Balance","4030"
"Turkmenistan","Total Exports","3898"
"","Total Imports",""
"","Trade Balance","3898"
"Saint Vincent and the Grenadines","Total Exports","3750"
"","Total Imports",""
"","Trade Balance","3750"
"Bahamas","Total Exports","2848"
"","Total Imports",""
"","Trade Balance","2848"
"Montserrat","Total Exports","5"
"","Total Imports",""
"","Trade Balance","5"
"Dominica","Total Exports",""
"","Total Imports","31"
"","Trade Balance","-31"
"Croatia","Total Exports",""
"","Total Imports","129"
"","Trade Balance","-129"
"Malta","Total Exports",""
"","Total Imports","310"
"","Trade Balance","-310"
"Gabon","Total Exports",""
"","Total Imports","325"
"","Trade Balance","-325"
"Paraguay","Total Exports",""
"","Total Imports","394"
"","Trade Balance","-394"
"Cuba","Total Exports",""
"","Total Imports","728"
"","Trade Balance","-728"
"Laos","Total Exports",""
"","Total Imports","5548"
"","Trade Balance","-5548"
"Nepal","Total Exports",""
"","Total Imports","6905"
"","Trade Balance","-6905"
"Cyprus","Total Exports",""
"","Total Imports","16622"
"","Trade Balance","-16622"
"Latvia","Total Exports",""
"","Total Imports","16883"
"","Trade Balance","-16883"
"Slovakia","Total Exports",""
"","Total Imports","37451"
"","Trade Balance","-37451"
"Ecuador","Total Exports",""
"","Total Imports","40384"
"","Trade Balance","-40384"
"Ethiopia","Total Exports",""
"","Total Imports","40854"
"","Trade Balance","-40854"
"Tunisia","Total Exports",""
"","Total Imports","55162"
"","Trade Balance","-55162"
"Faeroe Islands","Total Exports","45050"
"","Total Imports","183607"
"","Trade Balance","-138557"
"Hungary","Total Exports","7852"
"","Total Imports","154447"
