"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Newfoundland and Labrador"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2017"
"Units","Value in  canadian dollars"

"","","2017"
"United States","Total Exports","5440079619"
"","Total Imports","1543922820"
"","Trade Balance","3896156799"
"China","Total Exports","795743058"
"","Total Imports","22888929"
"","Trade Balance","772854129"
"Netherlands","Total Exports","540504562"
"","Total Imports","70696869"
"","Trade Balance","469807693"
"United Kingdom","Total Exports","696266213"
"","Total Imports","366645533"
"","Trade Balance","329620680"
"Belgium","Total Exports","327277683"
"","Total Imports","27370661"
"","Trade Balance","299907022"
"Japan","Total Exports","334001062"
"","Total Imports","38172021"
"","Trade Balance","295829041"
"Italy (incl. Vatican City State)","Total Exports","292906193"
"","Total Imports","19259347"
"","Trade Balance","273646846"
"Trinidad and Tobago","Total Exports","179790593"
"","Total Imports",""
"","Trade Balance","179790593"
"France (incl. Monaco, French Antilles)","Total Exports","181001594"
"","Total Imports","23317472"
"","Trade Balance","157684122"
"Saudi Arabia","Total Exports","118779414"
"","Total Imports",""
"","Trade Balance","118779414"
"Taiwan","Total Exports","100059273"
"","Total Imports","197230"
"","Trade Balance","99862043"
"Spain","Total Exports","155102925"
"","Total Imports","66250890"
"","Trade Balance","88852035"
"Türkiye","Total Exports","91671216"
"","Total Imports","7955218"
"","Trade Balance","83715998"
"Germany","Total Exports","98411761"
"","Total Imports","19617402"
"","Trade Balance","78794359"
"Gibraltar","Total Exports","73887679"
"","Total Imports",""
"","Trade Balance","73887679"
"Argentina","Total Exports","74553213"
"","Total Imports","3190570"
"","Trade Balance","71362643"
"Vietnam","Total Exports","56307041"
"","Total Imports","296365"
"","Trade Balance","56010676"
"Bahamas","Total Exports","48867805"
"","Total Imports",""
"","Trade Balance","48867805"
"Egypt","Total Exports","45266621"
"","Total Imports",""
"","Trade Balance","45266621"
"Poland","Total Exports","44343826"
"","Total Imports","3331297"
"","Trade Balance","41012529"
"Denmark","Total Exports","55853905"
"","Total Imports","18667938"
"","Trade Balance","37185967"
"Sweden","Total Exports","52081966"
"","Total Imports","15014826"
"","Trade Balance","37067140"
"India","Total Exports","77353418"
"","Total Imports","46350200"
"","Trade Balance","31003218"
"Morocco","Total Exports","30216942"
"","Total Imports","581167"
"","Trade Balance","29635775"
"Colombia","Total Exports","25606033"
"","Total Imports","58972"
"","Trade Balance","25547061"
"Qatar","Total Exports","25154873"
"","Total Imports","1164"
"","Trade Balance","25153709"
"United Arab Emirates","Total Exports","24142632"
"","Total Imports","99600"
"","Trade Balance","24043032"
"Iceland","Total Exports","28479289"
"","Total Imports","4758053"
"","Trade Balance","23721236"
"Uruguay","Total Exports","22471842"
"","Total Imports",""
"","Trade Balance","22471842"
"Indonesia","Total Exports","20911747"
"","Total Imports","7919"
"","Trade Balance","20903828"
"Hong Kong","Total Exports","19815435"
"","Total Imports","32173"
"","Trade Balance","19783262"
"Finland","Total Exports","25526029"
"","Total Imports","6657022"
"","Trade Balance","18869007"
"Thailand","Total Exports","9867651"
"","Total Imports","190305"
"","Trade Balance","9677346"
"Saint Pierre-Miquelon","Total Exports","8274383"
"","Total Imports","1670982"
"","Trade Balance","6603401"
"Bulgaria","Total Exports","4578689"
"","Total Imports","11977"
"","Trade Balance","4566712"
"Ukraine","Total Exports","4452680"
"","Total Imports","15162"
"","Trade Balance","4437518"
"Peru","Total Exports","3711993"
"","Total Imports","707"
"","Trade Balance","3711286"
"Curacao","Total Exports","2914584"
"","Total Imports",""
"","Trade Balance","2914584"
"Venezuela","Total Exports","2817349"
"","Total Imports",""
"","Trade Balance","2817349"
"Albania","Total Exports","2454468"
"","Total Imports",""
"","Trade Balance","2454468"
"Gambia","Total Exports","2444116"
"","Total Imports",""
"","Trade Balance","2444116"
"Israel","Total Exports","3795817"
"","Total Imports","1636231"
"","Trade Balance","2159586"
"Slovenia","Total Exports","2563532"
"","Total Imports","409088"
"","Trade Balance","2154444"
"Greenland","Total Exports","1605914"
"","Total Imports",""
"","Trade Balance","1605914"
"Cayman Islands","Total Exports","1432763"
"","Total Imports",""
"","Trade Balance","1432763"
"Singapore","Total Exports","4775909"
"","Total Imports","3433742"
"","Trade Balance","1342167"
"Guatemala","Total Exports","1143222"
"","Total Imports",""
"","Trade Balance","1143222"
"Portugal","Total Exports","2600363"
"","Total Imports","1491777"
"","Trade Balance","1108586"
"Cuba","Total Exports","991882"
"","Total Imports",""
"","Trade Balance","991882"
"Estonia","Total Exports","1192045"
"","Total Imports","291096"
"","Trade Balance","900949"
"New Zealand","Total Exports","1812043"
"","Total Imports","1014668"
"","Trade Balance","797375"
"Malaysia","Total Exports","927294"
"","Total Imports","178222"
"","Trade Balance","749072"
"Nigeria","Total Exports","620982"
"","Total Imports",""
"","Trade Balance","620982"
"Bolivia","Total Exports","615957"
"","Total Imports",""
"","Trade Balance","615957"
"Chile","Total Exports","1801124"
"","Total Imports","1220512"
"","Trade Balance","580612"
"Rwanda","Total Exports","536815"
"","Total Imports",""
"","Trade Balance","536815"
"Costa Rica","Total Exports","500636"
"","Total Imports","7535"
"","Trade Balance","493101"
"Paraguay","Total Exports","453400"
"","Total Imports",""
"","Trade Balance","453400"
"Panama","Total Exports","451672"
"","Total Imports",""
"","Trade Balance","451672"
"Czech Republic","Total Exports","1304468"
"","Total Imports","887552"
"","Trade Balance","416916"
"Dominican Republic","Total Exports","401479"
"","Total Imports","9114"
"","Trade Balance","392365"
"Georgia","Total Exports","369871"
"","Total Imports","1484"
"","Trade Balance","368387"
"Jamaica","Total Exports","682812"
"","Total Imports","354974"
"","Trade Balance","327838"
"Turks and Caicos Islands","Total Exports","310852"
"","Total Imports",""
"","Trade Balance","310852"
"Mozambique","Total Exports","115629"
"","Total Imports",""
"","Trade Balance","115629"
"Lebanon","Total Exports","114310"
"","Total Imports",""
"","Trade Balance","114310"
"Christmas Island","Total Exports","108862"
"","Total Imports",""
"","Trade Balance","108862"
"Latvia","Total Exports","115842"
"","Total Imports","8732"
"","Trade Balance","107110"
"Haiti","Total Exports","79788"
"","Total Imports",""
"","Trade Balance","79788"
"Ghana","Total Exports","73644"
"","Total Imports",""
"","Trade Balance","73644"
"Belize","Total Exports","73570"
"","Total Imports",""
"","Trade Balance","73570"
"Senegal","Total Exports","63449"
"","Total Imports",""
"","Trade Balance","63449"
"Bermuda","Total Exports","52737"
"","Total Imports",""
"","Trade Balance","52737"
"Belarus (formerly Byelorussia)","Total Exports","33976"
"","Total Imports",""
"","Trade Balance","33976"
"Aruba","Total Exports","33118"
"","Total Imports",""
"","Trade Balance","33118"
"Cameroon","Total Exports","27678"
"","Total Imports",""
"","Trade Balance","27678"
"Kyrgyzstan","Total Exports","26351"
