"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Newfoundland and Labrador"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2021"
"Units","Value in  canadian dollars"

"","","2021"
"United States","Total Exports","6783893203"
"","Total Imports","308353947"
"","Trade Balance","6475539256"
"Netherlands","Total Exports","1356256546"
"","Total Imports","74257106"
"","Trade Balance","1281999440"
"China","Total Exports","1068532206"
"","Total Imports","39946640"
"","Trade Balance","1028585566"
"United Kingdom","Total Exports","795757876"
"","Total Imports","30473837"
"","Trade Balance","765284039"
"Spain","Total Exports","912833694"
"","Total Imports","301906858"
"","Trade Balance","610926836"
"Japan","Total Exports","474063751"
"","Total Imports","8578308"
"","Trade Balance","465485443"
"France (incl. Monaco, French Antilles)","Total Exports","449750730"
"","Total Imports","29970972"
"","Trade Balance","419779758"
"Germany","Total Exports","404767968"
"","Total Imports","16809344"
"","Trade Balance","387958624"
"Algeria","Total Exports","338370865"
"","Total Imports",""
"","Trade Balance","338370865"
"Chile","Total Exports","219616241"
"","Total Imports","516"
"","Trade Balance","219615725"
"Taiwan","Total Exports","219690641"
"","Total Imports","167097"
"","Trade Balance","219523544"
"Ireland","Total Exports","208089952"
"","Total Imports","397367"
"","Trade Balance","207692585"
"Trinidad and Tobago","Total Exports","193023183"
"","Total Imports",""
"","Trade Balance","193023183"
"Belgium","Total Exports","241354269"
"","Total Imports","78336598"
"","Trade Balance","163017671"
"Italy (incl. Vatican City State)","Total Exports","156577189"
"","Total Imports","29085850"
"","Trade Balance","127491339"
"Egypt","Total Exports","115555966"
"","Total Imports","156"
"","Trade Balance","115555810"
"Argentina","Total Exports","92146930"
"","Total Imports","402585"
"","Trade Balance","91744345"
"Sweden","Total Exports","59902941"
"","Total Imports","7858805"
"","Trade Balance","52044136"
"India","Total Exports","58216288"
"","Total Imports","9864423"
"","Trade Balance","48351865"
"Brazil","Total Exports","28019553"
"","Total Imports","3857198"
"","Trade Balance","24162355"
"Vietnam","Total Exports","19281330"
"","Total Imports","1704056"
"","Trade Balance","17577274"
"Iceland","Total Exports","23005149"
"","Total Imports","7429675"
"","Trade Balance","15575474"
"Indonesia","Total Exports","15693689"
"","Total Imports","313974"
"","Trade Balance","15379715"
"Israel","Total Exports","13393627"
"","Total Imports","1983"
"","Trade Balance","13391644"
"Saint Pierre-Miquelon","Total Exports","17171780"
"","Total Imports","5310795"
"","Trade Balance","11860985"
"Hong Kong","Total Exports","10923495"
"","Total Imports","77"
"","Trade Balance","10923418"
"Thailand","Total Exports","10836514"
"","Total Imports","93506"
"","Trade Balance","10743008"
"Ukraine","Total Exports","10026243"
"","Total Imports","1244263"
"","Trade Balance","8781980"
"Mexico","Total Exports","8959993"
"","Total Imports","1691832"
"","Trade Balance","7268161"
"Hungary","Total Exports","7269689"
"","Total Imports","32433"
"","Trade Balance","7237256"
"Switzerland","Total Exports","11655100"
"","Total Imports","5138643"
"","Trade Balance","6516457"
"Curacao","Total Exports","6288034"
"","Total Imports",""
"","Trade Balance","6288034"
"United Arab Emirates","Total Exports","5450865"
"","Total Imports","7999"
"","Trade Balance","5442866"
"Morocco","Total Exports","4585122"
"","Total Imports",""
"","Trade Balance","4585122"
"Bulgaria","Total Exports","4570063"
"","Total Imports","14484"
"","Trade Balance","4555579"
"Malaysia","Total Exports","4412792"
"","Total Imports","91117"
"","Trade Balance","4321675"
"Pakistan","Total Exports","4028122"
"","Total Imports","1770"
"","Trade Balance","4026352"
"Australia","Total Exports","3984476"
"","Total Imports","61841"
"","Trade Balance","3922635"
"Peru","Total Exports","3685001"
"","Total Imports",""
"","Trade Balance","3685001"
"Singapore","Total Exports","3445753"
"","Total Imports","5929"
"","Trade Balance","3439824"
"Guatemala","Total Exports","3232345"
"","Total Imports",""
"","Trade Balance","3232345"
"Nigeria","Total Exports","3012034"
"","Total Imports",""
"","Trade Balance","3012034"
"Finland","Total Exports","4590418"
"","Total Imports","2141227"
"","Trade Balance","2449191"
"Albania","Total Exports","2248756"
"","Total Imports",""
"","Trade Balance","2248756"
"Sri Lanka","Total Exports","1367646"
"","Total Imports","4079"
"","Trade Balance","1363567"
"El Salvador","Total Exports","1354123"
"","Total Imports",""
"","Trade Balance","1354123"
"Guyana","Total Exports","1303494"
"","Total Imports",""
"","Trade Balance","1303494"
"Dominican Republic","Total Exports","1149241"
"","Total Imports",""
"","Trade Balance","1149241"
"Paraguay","Total Exports","1029359"
"","Total Imports",""
"","Trade Balance","1029359"
"Oman (formerly Muscat and Oman)","Total Exports","848853"
"","Total Imports",""
"","Trade Balance","848853"
"Greece","Total Exports","880703"
"","Total Imports","278215"
"","Trade Balance","602488"
"Georgia","Total Exports","539211"
"","Total Imports","105"
"","Trade Balance","539106"
"Greenland","Total Exports","1592702"
"","Total Imports","1087187"
"","Trade Balance","505515"
"Barbados","Total Exports","421623"
"","Total Imports",""
"","Trade Balance","421623"
"Tunisia","Total Exports","366456"
"","Total Imports","2310"
"","Trade Balance","364146"
"Ghana","Total Exports","357257"
"","Total Imports",""
"","Trade Balance","357257"
"Senegal","Total Exports","299007"
"","Total Imports",""
"","Trade Balance","299007"
"Honduras","Total Exports","239575"
"","Total Imports",""
"","Trade Balance","239575"
"Panama","Total Exports","234379"
"","Total Imports",""
"","Trade Balance","234379"
"Christmas Island","Total Exports","214833"
"","Total Imports",""
"","Trade Balance","214833"
"Angola","Total Exports","210528"
"","Total Imports",""
"","Trade Balance","210528"
"Jamaica","Total Exports","208711"
