"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Newfoundland and Labrador"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2022"
"Units","Value in  canadian dollars"

"","","2022"
"United States","Total Exports","7225584878"
"","Total Imports","706887164"
"","Trade Balance","6518697714"
"United Kingdom","Total Exports","1567697887"
"","Total Imports","103200561"
"","Trade Balance","1464497326"
"Netherlands","Total Exports","1404874004"
"","Total Imports","104379881"
"","Trade Balance","1300494123"
"Spain","Total Exports","1200832666"
"","Total Imports","646336"
"","Trade Balance","1200186330"
"China","Total Exports","849499327"
"","Total Imports","7948775"
"","Trade Balance","841550552"
"Germany","Total Exports","565525221"
"","Total Imports","17452039"
"","Trade Balance","548073182"
"Algeria","Total Exports","372091344"
"","Total Imports",""
"","Trade Balance","372091344"
"Japan","Total Exports","367881625"
"","Total Imports","70602860"
"","Trade Balance","297278765"
"France (incl. Monaco, French Antilles)","Total Exports","305046023"
"","Total Imports","41219526"
"","Trade Balance","263826497"
"Belgium","Total Exports","339756636"
"","Total Imports","78624484"
"","Trade Balance","261132152"
"Italy (incl. Vatican City State)","Total Exports","216348156"
"","Total Imports","26268429"
"","Trade Balance","190079727"
"Taiwan","Total Exports","172462172"
"","Total Imports","109635"
"","Trade Balance","172352537"
"Trinidad and Tobago","Total Exports","165169887"
"","Total Imports","644"
"","Trade Balance","165169243"
"Sweden","Total Exports","125024847"
"","Total Imports","14876539"
"","Trade Balance","110148308"
"Ireland","Total Exports","88375071"
"","Total Imports","589711"
"","Trade Balance","87785360"
"India","Total Exports","76603666"
"","Total Imports","506903"
"","Trade Balance","76096763"
"Egypt","Total Exports","75404231"
"","Total Imports","1536"
"","Trade Balance","75402695"
"Portugal","Total Exports","88803104"
"","Total Imports","15377344"
"","Trade Balance","73425760"
"Korea, South","Total Exports","214337091"
"","Total Imports","146589282"
"","Trade Balance","67747809"
"Brazil","Total Exports","55882069"
"","Total Imports","6591248"
"","Trade Balance","49290821"
"Indonesia","Total Exports","43002024"
"","Total Imports","247199"
"","Trade Balance","42754825"
"Greenland","Total Exports","28728166"
"","Total Imports","1036779"
"","Trade Balance","27691387"
"Vietnam","Total Exports","22333687"
"","Total Imports","1528546"
"","Trade Balance","20805141"
"Thailand","Total Exports","20234680"
"","Total Imports","105028"
"","Trade Balance","20129652"
"Saint Pierre-Miquelon","Total Exports","23885713"
"","Total Imports","8198629"
"","Trade Balance","15687084"
"Israel","Total Exports","15753075"
"","Total Imports","254055"
"","Trade Balance","15499020"
"Iceland","Total Exports","16758079"
"","Total Imports","2741463"
"","Trade Balance","14016616"
"Argentina","Total Exports","71048178"
"","Total Imports","59095701"
"","Trade Balance","11952477"
"Hong Kong","Total Exports","11501650"
"","Total Imports","22"
"","Trade Balance","11501628"
"Mexico","Total Exports","12627453"
"","Total Imports","1938378"
"","Trade Balance","10689075"
"Malaysia","Total Exports","10725480"
"","Total Imports","101799"
"","Trade Balance","10623681"
"Singapore","Total Exports","10294224"
"","Total Imports","59192"
"","Trade Balance","10235032"
"Peru","Total Exports","7553382"
"","Total Imports","512"
"","Trade Balance","7552870"
"Guatemala","Total Exports","6899112"
"","Total Imports","708"
"","Trade Balance","6898404"
"Morocco","Total Exports","7392215"
"","Total Imports","1607569"
"","Trade Balance","5784646"
"Chile","Total Exports","4087597"
"","Total Imports","107"
"","Trade Balance","4087490"
"U.S. Minor Outlying Islands","Total Exports","3734690"
"","Total Imports",""
"","Trade Balance","3734690"
"Pakistan","Total Exports","3277148"
"","Total Imports","15203"
"","Trade Balance","3261945"
"Bulgaria","Total Exports","3319531"
"","Total Imports","142589"
"","Trade Balance","3176942"
"Ukraine","Total Exports","3080280"
"","Total Imports","656260"
"","Trade Balance","2424020"
"Nigeria","Total Exports","2382115"
"","Total Imports",""
"","Trade Balance","2382115"
"Denmark","Total Exports","32700380"
"","Total Imports","30348600"
"","Trade Balance","2351780"
"El Salvador","Total Exports","2293615"
"","Total Imports",""
"","Trade Balance","2293615"
"Tanzania","Total Exports","2068316"
"","Total Imports",""
"","Trade Balance","2068316"
"Albania","Total Exports","1943443"
"","Total Imports","162"
"","Trade Balance","1943281"
"Kenya","Total Exports","1787252"
"","Total Imports",""
"","Trade Balance","1787252"
"Dominican Republic","Total Exports","1708088"
"","Total Imports",""
"","Trade Balance","1708088"
"Tunisia","Total Exports","1571909"
"","Total Imports","735"
"","Trade Balance","1571174"
