"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nova Scotia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1991"
"Units","Value in  canadian dollars"

"","","1991"
"United States","Total Exports","1644774453"
"","Total Imports","572329388"
"","Trade Balance","1072445065"
"Portugal","Total Exports","61312265"
"","Total Imports","7341459"
"","Trade Balance","53970806"
"Japan","Total Exports","88787646"
"","Total Imports","58546917"
"","Trade Balance","30240729"
"Denmark","Total Exports","35645893"
"","Total Imports","10426124"
"","Trade Balance","25219769"
"Saint Pierre-Miquelon","Total Exports","18910165"
"","Total Imports","165226"
"","Trade Balance","18744939"
"Brazil","Total Exports","23877157"
"","Total Imports","8188896"
"","Trade Balance","15688261"
"Egypt","Total Exports","10142645"
"","Total Imports","222182"
"","Trade Balance","9920463"
"Spain","Total Exports","12580025"
"","Total Imports","4050906"
"","Trade Balance","8529119"
"Dominican Republic","Total Exports","7771320"
"","Total Imports","1137"
"","Trade Balance","7770183"
"Mauritania","Total Exports","5542735"
"","Total Imports",""
"","Trade Balance","5542735"
"India","Total Exports","6890888"
"","Total Imports","2046483"
"","Trade Balance","4844405"
"Türkiye","Total Exports","5505123"
"","Total Imports","1031544"
"","Trade Balance","4473579"
"Israel","Total Exports","4668852"
"","Total Imports","480604"
"","Trade Balance","4188248"
"Taiwan","Total Exports","9354680"
"","Total Imports","5829674"
"","Trade Balance","3525006"
"Jamaica","Total Exports","3693380"
"","Total Imports","199420"
"","Trade Balance","3493960"
"Saint Lucia","Total Exports","2956357"
"","Total Imports",""
"","Trade Balance","2956357"
"Argentina","Total Exports","3018798"
"","Total Imports","74247"
"","Trade Balance","2944551"
"Poland","Total Exports","3396204"
"","Total Imports","512177"
"","Trade Balance","2884027"
"Hong Kong","Total Exports","3967815"
"","Total Imports","1142906"
"","Trade Balance","2824909"
"Switzerland","Total Exports","9013965"
"","Total Imports","6204533"
"","Trade Balance","2809432"
"Chile","Total Exports","2500124"
"","Total Imports","166734"
"","Trade Balance","2333390"
"Saudi Arabia","Total Exports","2139211"
"","Total Imports",""
"","Trade Balance","2139211"
"Bermuda","Total Exports","2122889"
"","Total Imports","450"
"","Trade Balance","2122439"
"Greenland","Total Exports","1944066"
"","Total Imports",""
"","Trade Balance","1944066"
"Korea, South","Total Exports","7536938"
"","Total Imports","5593415"
"","Trade Balance","1943523"
"Kuwait","Total Exports","1838350"
"","Total Imports",""
"","Trade Balance","1838350"
"Iceland","Total Exports","2433692"
"","Total Imports","938064"
"","Trade Balance","1495628"
"Barbados","Total Exports","1411386"
"","Total Imports","39000"
"","Trade Balance","1372386"
"Sudan","Total Exports","892633"
"","Total Imports",""
"","Trade Balance","892633"
"Bahamas","Total Exports","1035694"
"","Total Imports","236556"
"","Trade Balance","799138"
"Morocco","Total Exports","735552"
"","Total Imports","272"
"","Trade Balance","735280"
"Libya","Total Exports","622047"
"","Total Imports",""
"","Trade Balance","622047"
"Haiti","Total Exports","603908"
"","Total Imports","1197"
"","Trade Balance","602711"
"Ghana","Total Exports","594438"
"","Total Imports",""
"","Trade Balance","594438"
"Philippines","Total Exports","1188488"
"","Total Imports","611714"
"","Trade Balance","576774"
"Peru","Total Exports","570275"
"","Total Imports","48381"
"","Trade Balance","521894"
"Syria","Total Exports","362500"
"","Total Imports",""
"","Trade Balance","362500"
"Qatar","Total Exports","355092"
"","Total Imports",""
"","Trade Balance","355092"
"Namibia","Total Exports","334674"
"","Total Imports",""
"","Trade Balance","334674"
"Antigua and Barbuda","Total Exports","328264"
"","Total Imports",""
"","Trade Balance","328264"
"Netherlands Antilles","Total Exports","243639"
"","Total Imports",""
"","Trade Balance","243639"
"Uruguay","Total Exports","245189"
"","Total Imports","1739"
"","Trade Balance","243450"
"Algeria","Total Exports","209200"
"","Total Imports",""
"","Trade Balance","209200"
"Vietnam","Total Exports","192980"
"","Total Imports",""
"","Trade Balance","192980"
"Yemen","Total Exports","181429"
"","Total Imports",""
"","Trade Balance","181429"
"Saint Kitts and Nevis","Total Exports","110190"
"","Total Imports",""
"","Trade Balance","110190"
"Nepal","Total Exports","112474"
"","Total Imports","7484"
"","Trade Balance","104990"
"Pakistan","Total Exports","305573"
"","Total Imports","207842"
"","Trade Balance","97731"
"Costa Rica","Total Exports","90503"
"","Total Imports","1229"
"","Trade Balance","89274"
"Bolivia","Total Exports","67301"
"","Total Imports",""
"","Trade Balance","67301"
"Grenada","Total Exports","49611"
"","Total Imports",""
"","Trade Balance","49611"
"Lebanon","Total Exports","46545"
"","Total Imports","840"
"","Trade Balance","45705"
"Zambia (Zambi)","Total Exports","41674"
"","Total Imports",""
"","Trade Balance","41674"
"Montserrat","Total Exports","38976"
"","Total Imports",""
"","Trade Balance","38976"
"Dominica","Total Exports","33920"
"","Total Imports",""
"","Trade Balance","33920"
"","Total Exports","30250"
"","Total Imports",""
"","Trade Balance","30250"
"Saint Vincent and the Grenadines","Total Exports","28445"
"","Total Imports",""
"","Trade Balance","28445"
"Honduras","Total Exports","27648"
"","Total Imports",""
"","Trade Balance","27648"
"Cyprus","Total Exports","22185"
"","Total Imports",""
"","Trade Balance","22185"
"Oman (formerly Muscat and Oman)","Total Exports","21692"
"","Total Imports",""
"","Trade Balance","21692"
"Guyana","Total Exports","46892"
"","Total Imports","26563"
"","Trade Balance","20329"
"Guatemala","Total Exports","57359"
"","Total Imports","46340"
"","Trade Balance","11019"
"Myanmar (Burma)","Total Exports","7400"
"","Total Imports",""
"","Trade Balance","7400"
"Anguilla","Total Exports","6344"
"","Total Imports",""
"","Trade Balance","6344"
"Brunei Darussalam","Total Exports","6030"
"","Total Imports",""
"","Trade Balance","6030"
"Guam","Total Exports","5820"
"","Total Imports","194"
"","Trade Balance","5626"
"Sierra Leone","Total Exports","3954"
"","Total Imports",""
"","Trade Balance","3954"
"Angola","Total Exports","2460"
"","Total Imports",""
"","Trade Balance","2460"
"Gabon","Total Exports",""
"","Total Imports","8"
"","Trade Balance","-8"
"Norfolk Island","Total Exports",""
"","Total Imports","24"
"","Trade Balance","-24"
"Bhutan","Total Exports",""
"","Total Imports","24"
"","Trade Balance","-24"
"Niger","Total Exports",""
"","Total Imports","41"
"","Trade Balance","-41"
"Swaziland","Total Exports",""
"","Total Imports","45"
"","Trade Balance","-45"
"Fiji","Total Exports",""
"","Total Imports","122"
"","Trade Balance","-122"
"Madagascar","Total Exports",""
"","Total Imports","177"
"","Trade Balance","-177"
"Congo (formerly Zaire)","Total Exports",""
"","Total Imports","464"
"","Trade Balance","-464"
"Tunisia","Total Exports",""
"","Total Imports","515"
"","Trade Balance","-515"
"U.S. Minor Outlying Islands","Total Exports",""
"","Total Imports","1025"
"","Trade Balance","-1025"
"Zimbabwe","Total Exports","4600"
"","Total Imports","16895"
"","Trade Balance","-12295"
"El Salvador","Total Exports",""
"","Total Imports","14387"
"","Trade Balance","-14387"
"Malawi","Total Exports",""
"","Total Imports","19925"
"","Trade Balance","-19925"
"Nicaragua","Total Exports",""
"","Total Imports","40542"
"","Trade Balance","-40542"
"Luxembourg","Total Exports","266759"
"","Total Imports","307985"
"","Trade Balance","-41226"
"Rwanda","Total Exports",""
"","Total Imports","65365"
"","Trade Balance","-65365"
"Hungary","Total Exports","13234"
"","Total Imports","121596"
"","Trade Balance","-108362"
"Yugoslavia  - Serbia and Montenegro","Total Exports","64221"
"","Total Imports","191863"
"","Trade Balance","-127642"
"Malta","Total Exports","2442"
"","Total Imports","139364"
"","Trade Balance","-136922"
"Ecuador","Total Exports",""
"","Total Imports","156200"
"","Trade Balance","-156200"
"South Africa","Total Exports",""
"","Total Imports","176608"
"","Trade Balance","-176608"
"Bangladesh","Total Exports","26340"
"","Total Imports","234485"
"","Trade Balance","-208145"
"Colombia","Total Exports","123446"
"","Total Imports","644864"
"","Trade Balance","-521418"
"Indonesia","Total Exports","8966561"
"","Total Imports","9823972"
"","Trade Balance","-857411"
"Romania","Total Exports",""
"","Total Imports","869634"
"","Trade Balance","-869634"
"Sri Lanka","Total Exports","5227"
"","Total Imports","1000192"
"","Trade Balance","-994965"
"Czechoslovakia","Total Exports",""
"","Total Imports","1725732"
"","Trade Balance","-1725732"
