"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nova Scotia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1992"
"Units","Value in  canadian dollars"

"","","1992"
"United States","Total Exports","1774838154"
"","Total Imports","456718368"
"","Trade Balance","1318119786"
"Japan","Total Exports","122917766"
"","Total Imports","33871599"
"","Trade Balance","89046167"
"Portugal","Total Exports","67349775"
"","Total Imports","6358104"
"","Trade Balance","60991671"
"Denmark","Total Exports","64154129"
"","Total Imports","7972421"
"","Trade Balance","56181708"
"Brazil","Total Exports","32645735"
"","Total Imports","4889717"
"","Trade Balance","27756018"
"Mexico","Total Exports","43649874"
"","Total Imports","23204934"
"","Trade Balance","20444940"
"Saint Pierre-Miquelon","Total Exports","17914881"
"","Total Imports","297429"
"","Trade Balance","17617452"
"Dominican Republic","Total Exports","9075715"
"","Total Imports","98"
"","Trade Balance","9075617"
"Netherlands","Total Exports","34374820"
"","Total Imports","25442198"
"","Trade Balance","8932622"
"Argentina","Total Exports","8467260"
"","Total Imports","104007"
"","Trade Balance","8363253"
"Switzerland","Total Exports","7793746"
"","Total Imports","2008293"
"","Trade Balance","5785453"
"Israel","Total Exports","7308572"
"","Total Imports","1549608"
"","Trade Balance","5758964"
"Spain","Total Exports","9536051"
"","Total Imports","4051528"
"","Trade Balance","5484523"
"Taiwan","Total Exports","10750501"
"","Total Imports","6187981"
"","Trade Balance","4562520"
"Iran","Total Exports","4091395"
"","Total Imports","25330"
"","Trade Balance","4066065"
"Greece","Total Exports","4293006"
"","Total Imports","478331"
"","Trade Balance","3814675"
"Hong Kong","Total Exports","3650217"
"","Total Imports","1147117"
"","Trade Balance","2503100"
"Jamaica","Total Exports","2695052"
"","Total Imports","215255"
"","Trade Balance","2479797"
"Australia","Total Exports","7118132"
"","Total Imports","4870214"
"","Trade Balance","2247918"
"Poland","Total Exports","3421369"
"","Total Imports","1256651"
"","Trade Balance","2164718"
"Bermuda","Total Exports","1908908"
"","Total Imports",""
"","Trade Balance","1908908"
"Qatar","Total Exports","1499814"
"","Total Imports",""
"","Trade Balance","1499814"
"Namibia","Total Exports","1074682"
"","Total Imports",""
"","Trade Balance","1074682"
"United Arab Emirates","Total Exports","866027"
"","Total Imports",""
"","Trade Balance","866027"
"Saint Vincent and the Grenadines","Total Exports","782501"
"","Total Imports",""
"","Trade Balance","782501"
"Saint Lucia","Total Exports","756527"
"","Total Imports","9"
"","Trade Balance","756518"
"Iraq","Total Exports","622500"
"","Total Imports",""
"","Trade Balance","622500"
"Libya","Total Exports","607946"
"","Total Imports",""
"","Trade Balance","607946"
"Barbados","Total Exports","625963"
"","Total Imports","48201"
"","Trade Balance","577762"
"Iceland","Total Exports","3015692"
"","Total Imports","2473212"
"","Trade Balance","542480"
"Panama","Total Exports","463260"
"","Total Imports",""
"","Trade Balance","463260"
"Oman (formerly Muscat and Oman)","Total Exports","424661"
"","Total Imports",""
"","Trade Balance","424661"
"Netherlands Antilles","Total Exports","407607"
"","Total Imports",""
"","Trade Balance","407607"
"Uruguay","Total Exports","312350"
"","Total Imports","13433"
"","Trade Balance","298917"
"Grenada","Total Exports","278798"
"","Total Imports",""
"","Trade Balance","278798"
"Ireland","Total Exports","1422274"
"","Total Imports","1152166"
"","Trade Balance","270108"
"Zimbabwe","Total Exports","264379"
"","Total Imports","1245"
"","Trade Balance","263134"
"Pakistan","Total Exports","291248"
"","Total Imports","42292"
"","Trade Balance","248956"
"Saint Kitts and Nevis","Total Exports","244066"
"","Total Imports",""
"","Trade Balance","244066"
"Haiti","Total Exports","241847"
"","Total Imports",""
"","Trade Balance","241847"
"Greenland","Total Exports","220342"
"","Total Imports",""
"","Trade Balance","220342"
"South Africa","Total Exports","197666"
"","Total Imports","75729"
"","Trade Balance","121937"
"Bulgaria","Total Exports","101183"
"","Total Imports",""
"","Trade Balance","101183"
"Lebanon","Total Exports","118412"
"","Total Imports","21688"
"","Trade Balance","96724"
"Cameroon","Total Exports","93870"
"","Total Imports",""
"","Trade Balance","93870"
"Hungary","Total Exports","199384"
"","Total Imports","111128"
"","Trade Balance","88256"
"Antigua and Barbuda","Total Exports","81442"
"","Total Imports",""
"","Trade Balance","81442"
"Cyprus","Total Exports","73296"
"","Total Imports",""
"","Trade Balance","73296"
"Guam","Total Exports","72868"
"","Total Imports",""
"","Trade Balance","72868"
"Jordan","Total Exports","31453"
"","Total Imports",""
"","Trade Balance","31453"
"Costa Rica","Total Exports","44798"
"","Total Imports","18388"
"","Trade Balance","26410"
"British Virgin Islands","Total Exports","15477"
"","Total Imports",""
"","Trade Balance","15477"
"Sudan","Total Exports","14281"
"","Total Imports",""
"","Trade Balance","14281"
"French Polynesia","Total Exports","13497"
"","Total Imports",""
"","Trade Balance","13497"
"Malta","Total Exports","13855"
"","Total Imports","650"
"","Trade Balance","13205"
"Honduras","Total Exports","12228"
"","Total Imports",""
"","Trade Balance","12228"
"Chile","Total Exports","218591"
"","Total Imports","208629"
"","Trade Balance","9962"
"Egypt","Total Exports","43939"
"","Total Imports","38166"
"","Trade Balance","5773"
"Peru","Total Exports","5817"
"","Total Imports","60"
"","Trade Balance","5757"
"Angola","Total Exports","5597"
"","Total Imports",""
"","Trade Balance","5597"
"Dominica","Total Exports","5465"
