"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nova Scotia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1995"
"Units","Value in  canadian dollars"

"","","1995"
"United States","Total Exports","2838327146"
"","Total Imports","536381933"
"","Trade Balance","2301945213"
"Japan","Total Exports","162503771"
"","Total Imports","29562292"
"","Trade Balance","132941479"
"Netherlands","Total Exports","104778209"
"","Total Imports","34584651"
"","Trade Balance","70193558"
"Brazil","Total Exports","47859413"
"","Total Imports","3392409"
"","Trade Balance","44467004"
"Hong Kong","Total Exports","44583869"
"","Total Imports","1202672"
"","Trade Balance","43381197"
"Italy (incl. Vatican City State)","Total Exports","61283502"
"","Total Imports","18352239"
"","Trade Balance","42931263"
"China","Total Exports","45984283"
"","Total Imports","17942233"
"","Trade Balance","28042050"
"Israel","Total Exports","24698120"
"","Total Imports","888460"
"","Trade Balance","23809660"
"Saint Pierre-Miquelon","Total Exports","17060083"
"","Total Imports","36286"
"","Trade Balance","17023797"
"Korea, South","Total Exports","22540173"
"","Total Imports","8033286"
"","Trade Balance","14506887"
"Taiwan","Total Exports","23471951"
"","Total Imports","9042225"
"","Trade Balance","14429726"
"Argentina","Total Exports","17506534"
"","Total Imports","6710053"
"","Trade Balance","10796481"
"Dominican Republic","Total Exports","9616474"
"","Total Imports","82836"
"","Trade Balance","9533638"
"Denmark","Total Exports","17152605"
"","Total Imports","10746697"
"","Trade Balance","6405908"
"Spain","Total Exports","15890567"
"","Total Imports","9961113"
"","Trade Balance","5929454"
"Mexico","Total Exports","10452977"
"","Total Imports","4984045"
"","Trade Balance","5468932"
"Ecuador","Total Exports","5436207"
"","Total Imports","75868"
"","Trade Balance","5360339"
"Saudi Arabia","Total Exports","5211690"
"","Total Imports","19448"
"","Trade Balance","5192242"
"Jamaica","Total Exports","3799148"
"","Total Imports","386703"
"","Trade Balance","3412445"
"Bermuda","Total Exports","2666067"
"","Total Imports","27405"
"","Trade Balance","2638662"
"United Arab Emirates","Total Exports","2400480"
"","Total Imports","19523"
"","Trade Balance","2380957"
"Türkiye","Total Exports","3097338"
"","Total Imports","1632611"
"","Trade Balance","1464727"
