"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nova Scotia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1996"
"Units","Value in  canadian dollars"

"","","1996"
"United States","Total Exports","2732018157"
"","Total Imports","402812935"
"","Trade Balance","2329205222"
"Japan","Total Exports","165127637"
"","Total Imports","23551913"
"","Trade Balance","141575724"
"Netherlands","Total Exports","153725892"
"","Total Imports","62909085"
"","Trade Balance","90816807"
"Brazil","Total Exports","49202677"
"","Total Imports","1522633"
"","Trade Balance","47680044"
"Hong Kong","Total Exports","48234315"
"","Total Imports","1454778"
"","Trade Balance","46779537"
"India","Total Exports","20271620"
"","Total Imports","3274461"
"","Trade Balance","16997159"
"Korea, South","Total Exports","20240397"
"","Total Imports","5817051"
"","Trade Balance","14423346"
"Taiwan","Total Exports","19742772"
"","Total Imports","6567783"
"","Trade Balance","13174989"
"Saint Pierre-Miquelon","Total Exports","13837249"
"","Total Imports","776201"
"","Trade Balance","13061048"
"Ecuador","Total Exports","10938796"
"","Total Imports","116488"
"","Trade Balance","10822308"
"Israel","Total Exports","11778907"
"","Total Imports","1308435"
"","Trade Balance","10470472"
"Jamaica","Total Exports","9957659"
"","Total Imports","110898"
"","Trade Balance","9846761"
"Italy (incl. Vatican City State)","Total Exports","23122105"
"","Total Imports","15855103"
"","Trade Balance","7267002"
"Dominican Republic","Total Exports","6931088"
"","Total Imports","3349"
"","Trade Balance","6927739"
"Denmark","Total Exports","17778526"
"","Total Imports","11233424"
"","Trade Balance","6545102"
"Saudi Arabia","Total Exports","5449896"
"","Total Imports","1711"
"","Trade Balance","5448185"
"Jordan","Total Exports","4722958"
"","Total Imports","109"
"","Trade Balance","4722849"
"Iran","Total Exports","4749782"
"","Total Imports","276382"
"","Trade Balance","4473400"
"Vietnam","Total Exports","4340868"
"","Total Imports","21769"
"","Trade Balance","4319099"
"China","Total Exports","20117074"
"","Total Imports","16604348"
"","Trade Balance","3512726"
"Bermuda","Total Exports","3100071"
"","Total Imports","557"
"","Trade Balance","3099514"
"Trinidad and Tobago","Total Exports","1911482"
"","Total Imports","10684"
"","Trade Balance","1900798"
"Kuwait","Total Exports","1512795"
"","Total Imports","7435"
"","Trade Balance","1505360"
"Bahamas","Total Exports","1270503"
"","Total Imports","108634"
"","Trade Balance","1161869"
"Panama","Total Exports","924957"
"","Total Imports",""
"","Trade Balance","924957"
"Haiti","Total Exports","618659"
"","Total Imports",""
"","Trade Balance","618659"
"Barbados","Total Exports","602069"
"","Total Imports","23179"
"","Trade Balance","578890"
"Greece","Total Exports","1587179"
"","Total Imports","1152310"
"","Trade Balance","434869"
"Saint Lucia","Total Exports","424237"
"","Total Imports","19"
"","Trade Balance","424218"
"Poland","Total Exports","2193882"
"","Total Imports","1782333"
"","Trade Balance","411549"
"Luxembourg","Total Exports","1038770"
"","Total Imports","697164"
"","Trade Balance","341606"
