"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nova Scotia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1998"
"Units","Value in  canadian dollars"

"","","1998"
"United States","Total Exports","2807383505"
"","Total Imports","595029925"
"","Trade Balance","2212353580"
"Brazil","Total Exports","57143364"
"","Total Imports","1121615"
"","Trade Balance","56021749"
"Japan","Total Exports","140120718"
"","Total Imports","85915800"
"","Trade Balance","54204918"
"Hong Kong","Total Exports","49954067"
"","Total Imports","1931726"
"","Trade Balance","48022341"
"Netherlands","Total Exports","75114723"
"","Total Imports","46082865"
"","Trade Balance","29031858"
"Jamaica","Total Exports","18478877"
"","Total Imports","93382"
"","Trade Balance","18385495"
"Italy (incl. Vatican City State)","Total Exports","39225210"
"","Total Imports","21661803"
"","Trade Balance","17563407"
"United Arab Emirates","Total Exports","14279646"
"","Total Imports","65269"
"","Trade Balance","14214377"
"Ecuador","Total Exports","13721851"
"","Total Imports","81513"
"","Trade Balance","13640338"
"Saint Pierre-Miquelon","Total Exports","10877535"
"","Total Imports","1180828"
"","Trade Balance","9696707"
"Egypt","Total Exports","6028593"
"","Total Imports","36812"
"","Trade Balance","5991781"
"Dominican Republic","Total Exports","5399135"
"","Total Imports","14693"
"","Trade Balance","5384442"
"Bermuda","Total Exports","4084924"
"","Total Imports","3893"
"","Trade Balance","4081031"
"Portugal","Total Exports","6675574"
"","Total Imports","4322193"
"","Trade Balance","2353381"
"Greece","Total Exports","2988581"
"","Total Imports","1415720"
"","Trade Balance","1572861"
"Trinidad and Tobago","Total Exports","1312021"
"","Total Imports","41969"
"","Trade Balance","1270052"
"Bahamas","Total Exports","1356018"
"","Total Imports","102555"
"","Trade Balance","1253463"
"Bahrain","Total Exports","1239132"
"","Total Imports",""
"","Trade Balance","1239132"
"Syria","Total Exports","1161481"
"","Total Imports",""
"","Trade Balance","1161481"
"Panama","Total Exports","1085863"
"","Total Imports",""
"","Trade Balance","1085863"
"Singapore","Total Exports","2075552"
"","Total Imports","1187923"
"","Trade Balance","887629"
"Poland","Total Exports","1810310"
"","Total Imports","960381"
"","Trade Balance","849929"
"Taiwan","Total Exports","9028917"
