"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nova Scotia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2000"
"Units","Value in  canadian dollars"

"","","2000"
"United States","Total Exports","4254855038"
"","Total Imports","723967530"
"","Trade Balance","3530887508"
"Japan","Total Exports","180603106"
"","Total Imports","17407422"
"","Trade Balance","163195684"
"Brazil","Total Exports","90842756"
"","Total Imports","6806055"
"","Trade Balance","84036701"
"Hong Kong","Total Exports","44226792"
"","Total Imports","4286161"
"","Trade Balance","39940631"
"Denmark","Total Exports","40271485"
"","Total Imports","11850607"
"","Trade Balance","28420878"
"Italy (incl. Vatican City State)","Total Exports","48185614"
"","Total Imports","28729530"
"","Trade Balance","19456084"
"Jamaica","Total Exports","16416778"
"","Total Imports","222324"
"","Trade Balance","16194454"
"Mexico","Total Exports","24456119"
"","Total Imports","8303714"
"","Trade Balance","16152405"
"Panama","Total Exports","8582837"
"","Total Imports","48780"
"","Trade Balance","8534057"
"Saint Pierre-Miquelon","Total Exports","7401359"
"","Total Imports","235720"
"","Trade Balance","7165639"
"Trinidad and Tobago","Total Exports","5216520"
"","Total Imports","51"
"","Trade Balance","5216469"
"France (incl. Monaco, French Antilles)","Total Exports","54786223"
"","Total Imports","49627739"
"","Trade Balance","5158484"
"Bermuda","Total Exports","4399214"
"","Total Imports","11333"
"","Trade Balance","4387881"
"Saudi Arabia","Total Exports","3618475"
"","Total Imports","11875"
"","Trade Balance","3606600"
"Bahamas","Total Exports","2487162"
"","Total Imports",""
"","Trade Balance","2487162"
"Dominican Republic","Total Exports","1740483"
"","Total Imports","74634"
"","Trade Balance","1665849"
"United Arab Emirates","Total Exports","1635793"
"","Total Imports",""
"","Trade Balance","1635793"
"Guatemala","Total Exports","1447552"
"","Total Imports","87118"
"","Trade Balance","1360434"
"Israel","Total Exports","2102994"
"","Total Imports","747190"
"","Trade Balance","1355804"
"Singapore","Total Exports","2730394"
"","Total Imports","1447273"
"","Trade Balance","1283121"
"El Salvador","Total Exports","1264224"
"","Total Imports","43703"
"","Trade Balance","1220521"
"Korea, South","Total Exports","12734146"
"","Total Imports","11600523"
"","Trade Balance","1133623"
"Ecuador","Total Exports","1217355"
"","Total Imports","126445"
"","Trade Balance","1090910"
"New Zealand","Total Exports","1444202"
"","Total Imports","464408"
"","Trade Balance","979794"
"Taiwan","Total Exports","10467630"
"","Total Imports","9605428"
"","Trade Balance","862202"
"Barbados","Total Exports","731065"
"","Total Imports",""
"","Trade Balance","731065"
"Haiti","Total Exports","716042"
"","Total Imports",""
"","Trade Balance","716042"
"Korea, North","Total Exports","702736"
"","Total Imports",""
"","Trade Balance","702736"
"Portugal","Total Exports","7444991"
"","Total Imports","6902011"
"","Trade Balance","542980"
"Cayman Islands","Total Exports","443154"
"","Total Imports",""
"","Trade Balance","443154"
"Greece","Total Exports","1111935"
"","Total Imports","754866"
"","Trade Balance","357069"
"Tanzania","Total Exports","318206"
"","Total Imports","32701"
"","Trade Balance","285505"
"Malta","Total Exports","337027"
"","Total Imports","103742"
"","Trade Balance","233285"
"Antigua and Barbuda","Total Exports","212156"
"","Total Imports",""
"","Trade Balance","212156"
"Dominica","Total Exports","193995"
"","Total Imports","4613"
