"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nova Scotia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2001"
"Units","Value in  canadian dollars"

"","","2001"
"United States","Total Exports","4795069998"
"","Total Imports","1063745807"
"","Trade Balance","3731324191"
"Japan","Total Exports","155566023"
"","Total Imports","17412031"
"","Trade Balance","138153992"
"Brazil","Total Exports","86387352"
"","Total Imports","8579684"
"","Trade Balance","77807668"
"Mexico","Total Exports","52775041"
"","Total Imports","18102002"
"","Trade Balance","34673039"
"Hong Kong","Total Exports","28045403"
"","Total Imports","1756478"
"","Trade Balance","26288925"
"Jamaica","Total Exports","13694644"
"","Total Imports","160531"
"","Trade Balance","13534113"
"Denmark","Total Exports","36707078"
"","Total Imports","26097174"
"","Trade Balance","10609904"
"Saudi Arabia","Total Exports","8523454"
"","Total Imports","23837"
"","Trade Balance","8499617"
"Trinidad and Tobago","Total Exports","7468215"
"","Total Imports","31532"
"","Trade Balance","7436683"
"Dominican Republic","Total Exports","6095140"
"","Total Imports","34337"
"","Trade Balance","6060803"
"Saint Pierre-Miquelon","Total Exports","6108991"
"","Total Imports","198471"
"","Trade Balance","5910520"
"Korea, South","Total Exports","16586229"
"","Total Imports","11799928"
"","Trade Balance","4786301"
"Ecuador","Total Exports","4437077"
"","Total Imports","53513"
"","Trade Balance","4383564"
"United Arab Emirates","Total Exports","3737163"
"","Total Imports","44132"
"","Trade Balance","3693031"
"Portugal","Total Exports","11432861"
"","Total Imports","7852288"
"","Trade Balance","3580573"
"Australia","Total Exports","8354481"
"","Total Imports","5370323"
"","Trade Balance","2984158"
"Bermuda","Total Exports","3042639"
"","Total Imports","77002"
"","Trade Balance","2965637"
"Algeria","Total Exports","2365334"
"","Total Imports",""
"","Trade Balance","2365334"
"Singapore","Total Exports","2296127"
"","Total Imports","861828"
"","Trade Balance","1434299"
"Jordan","Total Exports","1554803"
"","Total Imports","229429"
"","Trade Balance","1325374"
"Bangladesh","Total Exports","1439245"
"","Total Imports","150477"
"","Trade Balance","1288768"
"Barbados","Total Exports","1241709"
"","Total Imports",""
"","Trade Balance","1241709"
"Panama","Total Exports","1101877"
"","Total Imports","26401"
"","Trade Balance","1075476"
"Haiti","Total Exports","958805"
"","Total Imports",""
"","Trade Balance","958805"
"Greece","Total Exports","1683241"
"","Total Imports","865780"
"","Trade Balance","817461"
"Philippines","Total Exports","3454069"
"","Total Imports","2659098"
"","Trade Balance","794971"
"Antigua and Barbuda","Total Exports","761478"
"","Total Imports",""
"","Trade Balance","761478"
"Bulgaria","Total Exports","702058"
"","Total Imports","75531"
"","Trade Balance","626527"
"Sudan","Total Exports","565973"
"","Total Imports",""
"","Trade Balance","565973"
"Tunisia","Total Exports","559665"
"","Total Imports",""
"","Trade Balance","559665"
"Vietnam","Total Exports","729873"
"","Total Imports","175956"
"","Trade Balance","553917"
"Romania","Total Exports","669701"
"","Total Imports","208449"
"","Trade Balance","461252"
"Kuwait","Total Exports","433439"
"","Total Imports",""
"","Trade Balance","433439"
"Ukraine","Total Exports","412414"
"","Total Imports",""
"","Trade Balance","412414"
"Cayman Islands","Total Exports","402205"
"","Total Imports",""
"","Trade Balance","402205"
"Netherlands Antilles","Total Exports","402159"
"","Total Imports",""
"","Trade Balance","402159"
"Latvia","Total Exports","404773"
"","Total Imports","10411"
"","Trade Balance","394362"
"Dominica","Total Exports","392779"
"","Total Imports","1186"
"","Trade Balance","391593"
"Bahrain","Total Exports","386964"
"","Total Imports","1826"
"","Trade Balance","385138"
"Saint Kitts and Nevis","Total Exports","380724"
"","Total Imports",""
"","Trade Balance","380724"
"Guatemala","Total Exports","387905"
"","Total Imports","42349"
"","Trade Balance","345556"
"Libya","Total Exports","323769"
"","Total Imports",""
"","Trade Balance","323769"
"Korea, North","Total Exports","309449"
"","Total Imports",""
"","Trade Balance","309449"
"El Salvador","Total Exports","300254"
"","Total Imports",""
"","Trade Balance","300254"
"Cyprus","Total Exports","286817"
"","Total Imports","3143"
"","Trade Balance","283674"
"Georgia","Total Exports","260385"
"","Total Imports",""
"","Trade Balance","260385"
"Lithuania","Total Exports","237991"
"","Total Imports","889"
"","Trade Balance","237102"
"Ireland","Total Exports","3344966"
"","Total Imports","3126790"
"","Trade Balance","218176"
"Belarus (formerly Byelorussia)","Total Exports","210603"
"","Total Imports",""
"","Trade Balance","210603"
"Malta","Total Exports","196226"
"","Total Imports",""
"","Trade Balance","196226"
"Estonia","Total Exports","186460"
"","Total Imports",""
"","Trade Balance","186460"
"Anguilla","Total Exports","170957"
"","Total Imports",""
"","Trade Balance","170957"
"Gabon","Total Exports","141708"
"","Total Imports",""
"","Trade Balance","141708"
"New Caledonia","Total Exports","130238"
"","Total Imports",""
"","Trade Balance","130238"
"Nicaragua","Total Exports","137400"
"","Total Imports","9123"
"","Trade Balance","128277"
"Egypt","Total Exports","123448"
"","Total Imports","4241"
"","Trade Balance","119207"
"Belize","Total Exports","118403"
"","Total Imports",""
"","Trade Balance","118403"
"British Virgin Islands","Total Exports","111445"
"","Total Imports",""
"","Trade Balance","111445"
"Brunei Darussalam","Total Exports","108530"
"","Total Imports",""
"","Trade Balance","108530"
"Solomon Islands","Total Exports","106171"
"","Total Imports",""
"","Trade Balance","106171"
"Yemen","Total Exports","98900"
"","Total Imports",""
"","Trade Balance","98900"
"Costa Rica","Total Exports","110322"
"","Total Imports","20059"
"","Trade Balance","90263"
"Montserrat","Total Exports","68194"
"","Total Imports",""
"","Trade Balance","68194"
"Lebanon","Total Exports","68790"
"","Total Imports","12555"
"","Trade Balance","56235"
"Albania","Total Exports","56035"
"","Total Imports",""
"","Trade Balance","56035"
"Uganda","Total Exports","55920"
"","Total Imports",""
"","Trade Balance","55920"
"Côte-d'Ivoire","Total Exports","47091"
"","Total Imports",""
"","Trade Balance","47091"
"Grenada","Total Exports","41645"
"","Total Imports",""
"","Trade Balance","41645"
"Congo (formerly Zaire)","Total Exports","39640"
"","Total Imports",""
"","Trade Balance","39640"
"Mauritania","Total Exports","38789"
"","Total Imports",""
"","Trade Balance","38789"
"Yugoslavia  - Serbia and Montenegro","Total Exports","49032"
"","Total Imports","10771"
"","Trade Balance","38261"
"Aruba","Total Exports","38245"
"","Total Imports",""
"","Trade Balance","38245"
"Guyana","Total Exports","49230"
"","Total Imports","13744"
"","Trade Balance","35486"
"Azerbaijan","Total Exports","34489"
"","Total Imports",""
"","Trade Balance","34489"
"Saint Lucia","Total Exports","33168"
"","Total Imports","209"
"","Trade Balance","32959"
"Tanzania","Total Exports","63642"
"","Total Imports","36301"
"","Trade Balance","27341"
"Kyrgyzstan","Total Exports","24579"
"","Total Imports",""
"","Trade Balance","24579"
"Sierra Leone","Total Exports","23876"
"","Total Imports",""
"","Trade Balance","23876"
"Congo (formerly Brazzaville)","Total Exports","21997"
"","Total Imports",""
"","Trade Balance","21997"
"Saint Vincent and the Grenadines","Total Exports","18051"
"","Total Imports",""
"","Trade Balance","18051"
"Fiji","Total Exports","16031"
"","Total Imports",""
"","Trade Balance","16031"
"Maldives","Total Exports","15512"
"","Total Imports",""
"","Trade Balance","15512"
"Qatar","Total Exports","13657"
"","Total Imports",""
"","Trade Balance","13657"
"Oman (formerly Muscat and Oman)","Total Exports","13024"
"","Total Imports",""
"","Trade Balance","13024"
"Djibouti","Total Exports","11465"
"","Total Imports",""
"","Trade Balance","11465"
"Armenia","Total Exports","9945"
"","Total Imports",""
"","Trade Balance","9945"
"Liberia","Total Exports","7795"
"","Total Imports",""
"","Trade Balance","7795"
"Bhutan","Total Exports","3870"
"","Total Imports",""
"","Trade Balance","3870"
"Syria","Total Exports","3758"
"","Total Imports",""
"","Trade Balance","3758"
"Benin","Total Exports","3602"
"","Total Imports",""
"","Trade Balance","3602"
"Turks and Caicos Islands","Total Exports","3123"
"","Total Imports",""
"","Trade Balance","3123"
"Ethiopia","Total Exports","587"
"","Total Imports",""
"","Trade Balance","587"
"Botswana","Total Exports","1"
"","Total Imports",""
"","Trade Balance","1"
"Guinea","Total Exports",""
"","Total Imports","230"
"","Trade Balance","-230"
"Bahamas","Total Exports","100750"
"","Total Imports","105807"
"","Trade Balance","-5057"
"Mauritius","Total Exports",""
"","Total Imports","7342"
"","Trade Balance","-7342"
"Honduras","Total Exports","3369"
"","Total Imports","15337"
"","Trade Balance","-11968"
"Myanmar (Burma)","Total Exports",""
"","Total Imports","24006"
"","Trade Balance","-24006"
"Ghana","Total Exports","52368"
"","Total Imports","86555"
"","Trade Balance","-34187"
"Angola","Total Exports","800"
"","Total Imports","37646"
"","Trade Balance","-36846"
"Malawi","Total Exports",""
"","Total Imports","39425"
"","Trade Balance","-39425"
"Nepal","Total Exports",""
"","Total Imports","46419"
"","Trade Balance","-46419"
"Bolivia","Total Exports","18078"
"","Total Imports","132334"
"","Trade Balance","-114256"
"Cambodia (Kampuchea)","Total Exports",""
"","Total Imports","131139"
"","Trade Balance","-131139"
"Zimbabwe","Total Exports",""
"","Total Imports","177437"
"","Trade Balance","-177437"
"Slovenia","Total Exports","52710"
"","Total Imports","232005"
"","Trade Balance","-179295"
"New Zealand","Total Exports","299735"
"","Total Imports","481940"
"","Trade Balance","-182205"
"Hungary","Total Exports","131545"
"","Total Imports","315961"
"","Trade Balance","-184416"
"Suriname","Total Exports",""
"","Total Imports","202247"
"","Trade Balance","-202247"
"Iran","Total Exports","247422"
"","Total Imports","476360"
"","Trade Balance","-228938"
"Macau (Macao)","Total Exports",""
