"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nova Scotia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2003"
"Units","Value in  canadian dollars"

"","","2003"
"United States","Total Exports","4423400921"
"","Total Imports","528059837"
"","Trade Balance","3895341084"
"Japan","Total Exports","159611347"
"","Total Imports","23670627"
"","Trade Balance","135940720"
"France (incl. Monaco, French Antilles)","Total Exports","94243984"
"","Total Imports","63432047"
"","Trade Balance","30811937"
"Mexico","Total Exports","38583298"
"","Total Imports","9342953"
"","Trade Balance","29240345"
"Hong Kong","Total Exports","30633425"
"","Total Imports","2944763"
"","Trade Balance","27688662"
"Korea, South","Total Exports","40066371"
"","Total Imports","14089904"
"","Trade Balance","25976467"
"Taiwan","Total Exports","21643369"
"","Total Imports","8569616"
"","Trade Balance","13073753"
"Brazil","Total Exports","31963944"
"","Total Imports","22469641"
"","Trade Balance","9494303"
"Jamaica","Total Exports","6850162"
"","Total Imports","384840"
"","Trade Balance","6465322"
"India","Total Exports","21357539"
"","Total Imports","15033417"
"","Trade Balance","6324122"
"Saint Pierre-Miquelon","Total Exports","5998841"
"","Total Imports","89500"
"","Trade Balance","5909341"
"Trinidad and Tobago","Total Exports","5145033"
"","Total Imports","9377"
"","Trade Balance","5135656"
"Bermuda","Total Exports","4219770"
"","Total Imports","173657"
"","Trade Balance","4046113"
"Guatemala","Total Exports","3824785"
"","Total Imports","74822"
"","Trade Balance","3749963"
"Ecuador","Total Exports","3620520"
"","Total Imports","318643"
"","Trade Balance","3301877"
"Dominican Republic","Total Exports","2638507"
"","Total Imports","28124"
"","Trade Balance","2610383"
"Syria","Total Exports","2356692"
"","Total Imports","5000"
"","Trade Balance","2351692"
"Cameroon","Total Exports","2208278"
"","Total Imports",""
"","Trade Balance","2208278"
"Korea, North","Total Exports","2043649"
"","Total Imports",""
"","Trade Balance","2043649"
"Greece","Total Exports","2648350"
"","Total Imports","665453"
"","Trade Balance","1982897"
"Honduras","Total Exports","1750426"
"","Total Imports","23835"
"","Trade Balance","1726591"
"Panama","Total Exports","1662861"
"","Total Imports","56343"
"","Trade Balance","1606518"
"Ireland","Total Exports","5473837"
"","Total Imports","3956301"
"","Trade Balance","1517536"
"Türkiye","Total Exports","3069272"
"","Total Imports","1630831"
"","Trade Balance","1438441"
"New Zealand","Total Exports","1887311"
"","Total Imports","586472"
"","Trade Balance","1300839"
"Barbados","Total Exports","1334515"
"","Total Imports","147982"
"","Trade Balance","1186533"
"Saudi Arabia","Total Exports","1103814"
"","Total Imports","18225"
"","Trade Balance","1085589"
"Sudan","Total Exports","893381"
"","Total Imports",""
"","Trade Balance","893381"
"Turks and Caicos Islands","Total Exports","824803"
"","Total Imports",""
"","Trade Balance","824803"
"Philippines","Total Exports","1779030"
"","Total Imports","1114491"
"","Trade Balance","664539"
"Saint Kitts and Nevis","Total Exports","590173"
"","Total Imports",""
"","Trade Balance","590173"
"Ethiopia","Total Exports","593626"
"","Total Imports","42364"
"","Trade Balance","551262"
"Antigua and Barbuda","Total Exports","559698"
"","Total Imports","13456"
"","Trade Balance","546242"
"United Arab Emirates","Total Exports","1152420"
"","Total Imports","620422"
"","Trade Balance","531998"
"Qatar","Total Exports","504338"
"","Total Imports",""
"","Trade Balance","504338"
"Costa Rica","Total Exports","756988"
"","Total Imports","279765"
"","Trade Balance","477223"
"Slovenia","Total Exports","505556"
"","Total Imports","41707"
"","Trade Balance","463849"
"Cayman Islands","Total Exports","430240"
"","Total Imports",""
"","Trade Balance","430240"
"Netherlands Antilles","Total Exports","433854"
"","Total Imports","10611"
"","Trade Balance","423243"
"Ukraine","Total Exports","471620"
"","Total Imports","58156"
"","Trade Balance","413464"
"Saint Lucia","Total Exports","396173"
"","Total Imports",""
"","Trade Balance","396173"
"El Salvador","Total Exports","371215"
"","Total Imports","2987"
"","Trade Balance","368228"
"Jordan","Total Exports","380569"
"","Total Imports","31810"
"","Trade Balance","348759"
"Congo (formerly Zaire)","Total Exports","317414"
"","Total Imports",""
"","Trade Balance","317414"
"Bulgaria","Total Exports","368616"
"","Total Imports","60258"
"","Trade Balance","308358"
"Iran","Total Exports","827909"
"","Total Imports","530347"
"","Trade Balance","297562"
"Ghana","Total Exports","341296"
"","Total Imports","63606"
"","Trade Balance","277690"
"Lithuania","Total Exports","267617"
"","Total Imports","775"
"","Trade Balance","266842"
"Mauritania","Total Exports","191835"
"","Total Imports",""
"","Trade Balance","191835"
"Guam","Total Exports","188124"
"","Total Imports",""
"","Trade Balance","188124"
"Bolivia","Total Exports","272750"
"","Total Imports","85917"
"","Trade Balance","186833"
"Swaziland","Total Exports","178678"
"","Total Imports","2383"
"","Trade Balance","176295"
"Guyana","Total Exports","238272"
"","Total Imports","72162"
"","Trade Balance","166110"
"Saint Vincent and the Grenadines","Total Exports","153520"
"","Total Imports",""
"","Trade Balance","153520"
"Gabon","Total Exports","145674"
"","Total Imports",""
"","Trade Balance","145674"
"Bahamas","Total Exports","126948"
"","Total Imports","11078"
"","Trade Balance","115870"
"Anguilla","Total Exports","113889"
"","Total Imports",""
"","Trade Balance","113889"
"Iraq","Total Exports","99100"
"","Total Imports",""
"","Trade Balance","99100"
"Montserrat","Total Exports","94937"
"","Total Imports",""
"","Trade Balance","94937"
"Comoros","Total Exports","90554"
"","Total Imports","84"
"","Trade Balance","90470"
"Grenada","Total Exports","77743"
"","Total Imports","18"
"","Trade Balance","77725"
"Dominica","Total Exports","77680"
"","Total Imports",""
"","Trade Balance","77680"
"Lebanon","Total Exports","75209"
"","Total Imports","3490"
"","Trade Balance","71719"
"Belize","Total Exports","68965"
"","Total Imports",""
"","Trade Balance","68965"
"Suriname","Total Exports","62389"
"","Total Imports",""
"","Trade Balance","62389"
"Seychelles","Total Exports","61229"
"","Total Imports",""
"","Trade Balance","61229"
"Tanzania","Total Exports","68408"
"","Total Imports","7321"
"","Trade Balance","61087"
"Cyprus","Total Exports","134797"
"","Total Imports","73744"
"","Trade Balance","61053"
"Georgia","Total Exports","57242"
"","Total Imports",""
"","Trade Balance","57242"
"Estonia","Total Exports","53971"
"","Total Imports",""
"","Trade Balance","53971"
"Senegal","Total Exports","53945"
"","Total Imports",""
"","Trade Balance","53945"
"Malta","Total Exports","49403"
"","Total Imports",""
"","Trade Balance","49403"
"Mozambique","Total Exports","32344"
"","Total Imports",""
"","Trade Balance","32344"
"Togo","Total Exports","31655"
"","Total Imports",""
"","Trade Balance","31655"
"Djibouti","Total Exports","31392"
"","Total Imports",""
"","Trade Balance","31392"
"French Polynesia","Total Exports","24279"
"","Total Imports",""
"","Trade Balance","24279"
"Libya","Total Exports","21997"
"","Total Imports",""
"","Trade Balance","21997"
"Azerbaijan","Total Exports","19734"
"","Total Imports",""
"","Trade Balance","19734"
"Haiti","Total Exports","70688"
"","Total Imports","54129"
"","Trade Balance","16559"
"Eritrea","Total Exports","15382"
"","Total Imports",""
"","Trade Balance","15382"
"Maldives","Total Exports","14585"
"","Total Imports",""
"","Trade Balance","14585"
"Tunisia","Total Exports","14294"
"","Total Imports",""
"","Trade Balance","14294"
"Yemen","Total Exports","12375"
"","Total Imports",""
"","Trade Balance","12375"
"Benin","Total Exports","11267"
"","Total Imports",""
"","Trade Balance","11267"
"Niger","Total Exports","10638"
"","Total Imports","360"
"","Trade Balance","10278"
"Somalia","Total Exports","9719"
"","Total Imports","2242"
"","Trade Balance","7477"
"Bosnia and Herzegovina","Total Exports","7200"
"","Total Imports",""
"","Trade Balance","7200"
"Armenia","Total Exports","6946"
"","Total Imports",""
"","Trade Balance","6946"
"Angola","Total Exports","6720"
"","Total Imports",""
"","Trade Balance","6720"
"Brunei Darussalam","Total Exports","5795"
"","Total Imports",""
"","Trade Balance","5795"
"Fiji","Total Exports","5756"
"","Total Imports",""
"","Trade Balance","5756"
"Moldova","Total Exports","4716"
"","Total Imports",""
"","Trade Balance","4716"
"Central African Republic","Total Exports","2046"
"","Total Imports",""
"","Trade Balance","2046"
"Andorra","Total Exports","1939"
"","Total Imports",""
"","Trade Balance","1939"
"Botswana","Total Exports","794"
"","Total Imports",""
"","Trade Balance","794"
"Myanmar (Burma)","Total Exports",""
"","Total Imports","466"
"","Trade Balance","-466"
"Sao Tomé-Principe","Total Exports",""
"","Total Imports","1513"
"","Trade Balance","-1513"
"U.S. Minor Outlying Islands","Total Exports",""
"","Total Imports","1768"
"","Trade Balance","-1768"
"Madagascar","Total Exports",""
"","Total Imports","1858"
"","Trade Balance","-1858"
"Cambodia (Kampuchea)","Total Exports",""
"","Total Imports","5911"
"","Trade Balance","-5911"
"Namibia","Total Exports",""
"","Total Imports","6717"
"","Trade Balance","-6717"
"British Virgin Islands","Total Exports","140388"
"","Total Imports","150000"
"","Trade Balance","-9612"
"Nauru","Total Exports",""
"","Total Imports","12541"
"","Trade Balance","-12541"
"Greenland","Total Exports","113632"
"","Total Imports","133534"
"","Trade Balance","-19902"
"Nicaragua","Total Exports",""
"","Total Imports","20751"
"","Trade Balance","-20751"
"Malawi","Total Exports","4319"
"","Total Imports","34069"
"","Trade Balance","-29750"
"Nepal","Total Exports",""
"","Total Imports","48750"
"","Trade Balance","-48750"
"Bahrain","Total Exports","150915"
"","Total Imports","204002"
"","Trade Balance","-53087"
"Mauritius","Total Exports","8229"
"","Total Imports","68737"
"","Trade Balance","-60508"
"Luxembourg","Total Exports","141815"
"","Total Imports","212230"
"","Trade Balance","-70415"
"Oman (formerly Muscat and Oman)","Total Exports","68213"
"","Total Imports","151034"
"","Trade Balance","-82821"
"Yugoslavia  - Serbia and Montenegro","Total Exports","39372"
"","Total Imports","131509"
"","Trade Balance","-92137"
"Macau (Macao)","Total Exports",""
"","Total Imports","113265"
"","Trade Balance","-113265"
"Uganda","Total Exports","53720"
"","Total Imports","193054"
"","Trade Balance","-139334"
"Sri Lanka","Total Exports","55862"
"","Total Imports","591896"
"","Trade Balance","-536034"
"Portugal","Total Exports","7186602"
"","Total Imports","7729981"
"","Trade Balance","-543379"
"Kenya","Total Exports","72836"
"","Total Imports","674451"
"","Trade Balance","-601615"
"Bangladesh","Total Exports","55567"
"","Total Imports","758682"
"","Trade Balance","-703115"
"Belarus (formerly Byelorussia)","Total Exports","438501"
"","Total Imports","1155906"
"","Trade Balance","-717405"
"Romania","Total Exports","294477"
"","Total Imports","1445462"
"","Trade Balance","-1150985"
"Côte-d'Ivoire","Total Exports",""
"","Total Imports","1261822"
"","Trade Balance","-1261822"
"American Samoa","Total Exports",""
"","Total Imports","1267876"
"","Trade Balance","-1267876"
"Czech Republic","Total Exports","499399"
"","Total Imports","1880702"
"","Trade Balance","-1381303"
"Pakistan","Total Exports","228420"
"","Total Imports","1709608"
"","Trade Balance","-1481188"
"Croatia","Total Exports","37952"
"","Total Imports","1588113"
"","Trade Balance","-1550161"
"Vietnam","Total Exports","373358"
"","Total Imports","2846089"
"","Trade Balance","-2472731"
"Morocco","Total Exports","644913"
"","Total Imports","3274744"
"","Trade Balance","-2629831"
"Spain","Total Exports","33808474"
"","Total Imports","36687416"
"","Trade Balance","-2878942"
"Latvia","Total Exports","42976"
"","Total Imports","2925813"
"","Trade Balance","-2882837"
"Poland","Total Exports","941581"
"","Total Imports","4009791"
"","Trade Balance","-3068210"
"Singapore","Total Exports","4078781"
"","Total Imports","8295131"
"","Trade Balance","-4216350"
"Israel","Total Exports","1789856"
"","Total Imports","6223749"
"","Trade Balance","-4433893"
"Peru","Total Exports","847827"
"","Total Imports","5666351"
"","Trade Balance","-4818524"
"Iceland","Total Exports","6286792"
"","Total Imports","11357528"
"","Trade Balance","-5070736"
"Aruba","Total Exports","79751"
"","Total Imports","5750726"
"","Trade Balance","-5670975"
"Kazakhstan","Total Exports","10808"
"","Total Imports","5825211"
"","Trade Balance","-5814403"
"Faeroe Islands","Total Exports",""
"","Total Imports","5830129"
"","Trade Balance","-5830129"
"Algeria","Total Exports","4568399"
"","Total Imports","14063412"
"","Trade Balance","-9495013"
"Australia","Total Exports","10270957"
"","Total Imports","19870446"
"","Trade Balance","-9599489"
"South Africa","Total Exports","825557"
"","Total Imports","12028382"
"","Trade Balance","-11202825"
"Chile","Total Exports","1368235"
"","Total Imports","13235460"
"","Trade Balance","-11867225"
"Malaysia","Total Exports","8576885"
"","Total Imports","21822982"
"","Trade Balance","-13246097"
"Switzerland","Total Exports","9059224"
"","Total Imports","24373964"
"","Trade Balance","-15314740"
"Hungary","Total Exports","497436"
"","Total Imports","17702154"
"","Trade Balance","-17204718"
"Kuwait","Total Exports","5274483"
"","Total Imports","26197894"
"","Trade Balance","-20923411"
"Uruguay","Total Exports","78244"
"","Total Imports","31467909"
"","Trade Balance","-31389665"
"Egypt","Total Exports","88533"
"","Total Imports","32475907"
"","Trade Balance","-32387374"
"Colombia","Total Exports","3335602"
"","Total Imports","35903277"
"","Trade Balance","-32567675"
"Equatorial Guinea","Total Exports",""
"","Total Imports","32618526"
"","Trade Balance","-32618526"
"Thailand","Total Exports","7091401"
"","Total Imports","42301739"
"","Trade Balance","-35210338"
"Denmark","Total Exports","36954137"
"","Total Imports","72651954"
"","Trade Balance","-35697817"
"Argentina","Total Exports","2690061"
"","Total Imports","39468627"
"","Trade Balance","-36778566"
"Austria","Total Exports","1327105"
"","Total Imports","46407593"
"","Trade Balance","-45080488"
"China","Total Exports","64559985"
"","Total Imports","112372279"
"","Trade Balance","-47812294"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","49543521"
"","Trade Balance","-49543521"
"Russia","Total Exports","2325054"
"","Total Imports","54461806"
"","Trade Balance","-52136752"
"Italy (incl. Vatican City State)","Total Exports","24259991"
"","Total Imports","78727452"
"","Trade Balance","-54467461"
"Indonesia","Total Exports","102442"
"","Total Imports","54956762"
"","Trade Balance","-54854320"
"Slovakia","Total Exports","16811"
"","Total Imports","70127928"
"","Trade Balance","-70111117"
"Netherlands","Total Exports","24978328"
"","Total Imports","100098061"
"","Trade Balance","-75119733"
"Belgium","Total Exports","49918964"
"","Total Imports","134323905"
"","Trade Balance","-84404941"
"Nigeria","Total Exports","137848"
"","Total Imports","140480834"
"","Trade Balance","-140342986"
"Norway","Total Exports","30419100"
"","Total Imports","178039722"
"","Trade Balance","-147620622"
"Venezuela","Total Exports","4988609"
"","Total Imports","158374756"
"","Trade Balance","-153386147"
"Finland","Total Exports","1618072"
"","Total Imports","184560833"
"","Trade Balance","-182942761"
"Cuba","Total Exports","34313839"
"","Total Imports","345829728"
"","Trade Balance","-311515889"
"Sweden","Total Exports","18168181"
"","Total Imports","353218247"
"","Trade Balance","-335050066"
"United Kingdom","Total Exports","88718155"
"","Total Imports","739501966"
"","Trade Balance","-650783811"
"Germany","Total Exports","47226540"
"","Total Imports","1759926464"
"","Trade Balance","-1712699924"
"Total All Countries","Total Exports","5477458394"
"","Total Imports","5816349269"
"","Trade Balance","-338890875"

"Source: Trade Data Online (accessed: April 21, 2025)"



