"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nova Scotia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2005"
"Units","Value in  canadian dollars"

"","","2005"
"United States","Total Exports","4648787046"
"","Total Imports","462856860"
"","Trade Balance","4185930186"
"Japan","Total Exports","111505114"
"","Total Imports","17622445"
"","Trade Balance","93882669"
"Hong Kong","Total Exports","37089755"
"","Total Imports","1918392"
"","Trade Balance","35171363"
"Spain","Total Exports","39902553"
"","Total Imports","18411489"
"","Trade Balance","21491064"
"Korea, South","Total Exports","33513544"
"","Total Imports","18183428"
"","Trade Balance","15330116"
"Brazil","Total Exports","49459903"
"","Total Imports","37560515"
"","Trade Balance","11899388"
"Bermuda","Total Exports","11004748"
"","Total Imports","141943"
"","Trade Balance","10862805"
"Jamaica","Total Exports","9481498"
"","Total Imports","542431"
"","Trade Balance","8939067"
"Estonia","Total Exports","8559362"
"","Total Imports","178464"
"","Trade Balance","8380898"
"Taiwan","Total Exports","16215188"
"","Total Imports","8260621"
"","Trade Balance","7954567"
"Egypt","Total Exports","8311352"
"","Total Imports","401310"
"","Trade Balance","7910042"
"Dominican Republic","Total Exports","7755007"
"","Total Imports","163157"
"","Trade Balance","7591850"
"Trinidad and Tobago","Total Exports","5534513"
"","Total Imports","1"
"","Trade Balance","5534512"
"Saint Pierre-Miquelon","Total Exports","5339580"
"","Total Imports","13151"
"","Trade Balance","5326429"
"Ecuador","Total Exports","4040521"
"","Total Imports","38583"
"","Trade Balance","4001938"
"Lithuania","Total Exports","3717261"
"","Total Imports","69077"
"","Trade Balance","3648184"
"United Arab Emirates","Total Exports","3139759"
"","Total Imports","120895"
"","Trade Balance","3018864"
"Singapore","Total Exports","4207330"
"","Total Imports","1954997"
"","Trade Balance","2252333"
"El Salvador","Total Exports","2186901"
"","Total Imports","36621"
"","Trade Balance","2150280"
"Romania","Total Exports","3953867"
"","Total Imports","1875115"
"","Trade Balance","2078752"
"Syria","Total Exports","2072377"
"","Total Imports",""
"","Trade Balance","2072377"
"Guatemala","Total Exports","2170150"
"","Total Imports","145541"
"","Trade Balance","2024609"
"Kuwait","Total Exports","1948819"
"","Total Imports",""
"","Trade Balance","1948819"
"Jordan","Total Exports","1941119"
"","Total Imports",""
"","Trade Balance","1941119"
"Barbados","Total Exports","1815604"
"","Total Imports","2497"
"","Trade Balance","1813107"
"Bahamas","Total Exports","1692017"
"","Total Imports","75498"
"","Trade Balance","1616519"
"Korea, North","Total Exports","1605311"
"","Total Imports",""
"","Trade Balance","1605311"
"Cayman Islands","Total Exports","1563339"
"","Total Imports",""
"","Trade Balance","1563339"
"Ukraine","Total Exports","1594568"
"","Total Imports","224144"
"","Trade Balance","1370424"
"Philippines","Total Exports","2909148"
"","Total Imports","1547964"
"","Trade Balance","1361184"
"Greenland","Total Exports","1347972"
"","Total Imports","59103"
"","Trade Balance","1288869"
"Poland","Total Exports","3376641"
"","Total Imports","2257190"
"","Trade Balance","1119451"
"New Zealand","Total Exports","1883293"
"","Total Imports","784550"
"","Trade Balance","1098743"
"Guam","Total Exports","984818"
"","Total Imports",""
"","Trade Balance","984818"
"Sudan","Total Exports","909582"
"","Total Imports",""
"","Trade Balance","909582"
"Slovenia","Total Exports","927390"
"","Total Imports","33798"
"","Trade Balance","893592"
"Netherlands Antilles","Total Exports","849486"
"","Total Imports","33715"
"","Trade Balance","815771"
"Grenada","Total Exports","698542"
"","Total Imports","2173"
"","Trade Balance","696369"
"Iran","Total Exports","1120111"
"","Total Imports","428963"
"","Trade Balance","691148"
"Algeria","Total Exports","665223"
"","Total Imports",""
"","Trade Balance","665223"
"Bulgaria","Total Exports","927420"
"","Total Imports","277379"
"","Trade Balance","650041"
"Guyana","Total Exports","599654"
"","Total Imports","48233"
"","Trade Balance","551421"
"Honduras","Total Exports","688564"
"","Total Imports","138406"
"","Trade Balance","550158"
"Portugal","Total Exports","8195676"
"","Total Imports","7692736"
"","Trade Balance","502940"
"Antigua and Barbuda","Total Exports","505958"
"","Total Imports","3288"
"","Trade Balance","502670"
"Ghana","Total Exports","502316"
"","Total Imports","2962"
"","Trade Balance","499354"
"Saint Kitts and Nevis","Total Exports","487043"
"","Total Imports",""
"","Trade Balance","487043"
"Georgia","Total Exports","455842"
"","Total Imports","1162"
"","Trade Balance","454680"
"Aruba","Total Exports","420323"
"","Total Imports",""
"","Trade Balance","420323"
"Morocco","Total Exports","1036227"
"","Total Imports","704101"
"","Trade Balance","332126"
"Lebanon","Total Exports","529134"
"","Total Imports","204008"
"","Trade Balance","325126"
"Haiti","Total Exports","323776"
"","Total Imports","22811"
"","Trade Balance","300965"
"Angola","Total Exports","256339"
"","Total Imports",""
"","Trade Balance","256339"
"Vietnam","Total Exports","2695356"
"","Total Imports","2463413"
"","Trade Balance","231943"
"Congo (formerly Zaire)","Total Exports","217695"
"","Total Imports",""
"","Trade Balance","217695"
"Sierra Leone","Total Exports","215635"
"","Total Imports",""
"","Trade Balance","215635"
"Dominica","Total Exports","177175"
"","Total Imports",""
"","Trade Balance","177175"
"Gabon","Total Exports","160315"
"","Total Imports",""
"","Trade Balance","160315"
"Anguilla","Total Exports","153631"
"","Total Imports",""
"","Trade Balance","153631"
"Costa Rica","Total Exports","426367"
"","Total Imports","284248"
"","Trade Balance","142119"
"Mauritania","Total Exports","118305"
"","Total Imports",""
"","Trade Balance","118305"
"Belize","Total Exports","117283"
"","Total Imports",""
"","Trade Balance","117283"
"Mongolia","Total Exports","112812"
"","Total Imports",""
"","Trade Balance","112812"
"Suriname","Total Exports","128336"
"","Total Imports","32347"
"","Trade Balance","95989"
"Saint Vincent and the Grenadines","Total Exports","94828"
"","Total Imports",""
"","Trade Balance","94828"
"Kenya","Total Exports","657543"
"","Total Imports","567376"
"","Trade Balance","90167"
"Montserrat","Total Exports","91067"
"","Total Imports","1889"
"","Trade Balance","89178"
