"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nova Scotia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2013"
"Units","Value in  canadian dollars"

"","","2013"
"United States","Total Exports","3093841797"
"","Total Imports","564511892"
"","Trade Balance","2529329905"
"Türkiye","Total Exports","50545099"
"","Total Imports","6393756"
"","Trade Balance","44151343"
"Japan","Total Exports","72520772"
"","Total Imports","30200681"
"","Trade Balance","42320091"
"Hong Kong","Total Exports","36254421"
"","Total Imports","586147"
"","Trade Balance","35668274"
"Gibraltar","Total Exports","30228998"
"","Total Imports","12"
"","Trade Balance","30228986"
"Denmark","Total Exports","32726575"
"","Total Imports","10082326"
"","Trade Balance","22644249"
"Mexico","Total Exports","35927306"
"","Total Imports","15586899"
"","Trade Balance","20340407"
"Latvia","Total Exports","18956596"
"","Total Imports","288301"
"","Trade Balance","18668295"
"Singapore","Total Exports","19010855"
"","Total Imports","2405020"
"","Trade Balance","16605835"
"Russia","Total Exports","30257364"
"","Total Imports","14187179"
"","Trade Balance","16070185"
"Korea, South","Total Exports","37755789"
"","Total Imports","23183376"
"","Trade Balance","14572413"
"Israel","Total Exports","23081776"
"","Total Imports","10661058"
"","Trade Balance","12420718"
"Vietnam","Total Exports","21010867"
"","Total Imports","9680248"
"","Trade Balance","11330619"
"Belgium","Total Exports","87203634"
"","Total Imports","77952848"
"","Trade Balance","9250786"
"United Arab Emirates","Total Exports","8349390"
"","Total Imports","650861"
"","Trade Balance","7698529"
"Saint Pierre-Miquelon","Total Exports","7391576"
"","Total Imports","5"
"","Trade Balance","7391571"
"Australia","Total Exports","18257305"
"","Total Imports","12285353"
"","Trade Balance","5971952"
"Trinidad and Tobago","Total Exports","5595652"
"","Total Imports",""
"","Trade Balance","5595652"
"Ukraine","Total Exports","4400301"
"","Total Imports","37121"
"","Trade Balance","4363180"
"Saudi Arabia","Total Exports","3651569"
"","Total Imports","626"
"","Trade Balance","3650943"
"Luxembourg","Total Exports","3035274"
"","Total Imports","115417"
"","Trade Balance","2919857"
"Morocco","Total Exports","2815634"
"","Total Imports","96495"
"","Trade Balance","2719139"
"Egypt","Total Exports","2385909"
"","Total Imports","5028"
"","Trade Balance","2380881"
"Jamaica","Total Exports","3653595"
"","Total Imports","1381480"
"","Trade Balance","2272115"
"Panama","Total Exports","1961512"
"","Total Imports","4589"
"","Trade Balance","1956923"
"Senegal","Total Exports","1906757"
"","Total Imports",""
"","Trade Balance","1906757"
"Dominican Republic","Total Exports","1810358"
"","Total Imports","54463"
"","Trade Balance","1755895"
"Ghana","Total Exports","1542430"
"","Total Imports","598"
"","Trade Balance","1541832"
"Bermuda","Total Exports","1576390"
"","Total Imports","254963"
"","Trade Balance","1321427"
"Kuwait","Total Exports","948493"
"","Total Imports","28685"
"","Trade Balance","919808"
"Qatar","Total Exports","831684"
"","Total Imports",""
"","Trade Balance","831684"
"Algeria","Total Exports","784952"
"","Total Imports",""
"","Trade Balance","784952"
"Barbados","Total Exports","807003"
"","Total Imports","42278"
"","Trade Balance","764725"
"Nicaragua","Total Exports","799280"
"","Total Imports","89946"
"","Trade Balance","709334"
"Benin","Total Exports","695383"
"","Total Imports",""
"","Trade Balance","695383"
"Jordan","Total Exports","886112"
"","Total Imports","252331"
"","Trade Balance","633781"
"Bolivia","Total Exports","588147"
"","Total Imports",""
"","Trade Balance","588147"
"Venezuela","Total Exports","571187"
"","Total Imports","12469"
"","Trade Balance","558718"
"Guam","Total Exports","551087"
"","Total Imports",""
"","Trade Balance","551087"
"Haiti","Total Exports","523132"
"","Total Imports","26"
"","Trade Balance","523106"
"Oman (formerly Muscat and Oman)","Total Exports","520492"
"","Total Imports","1099"
"","Trade Balance","519393"
"Lebanon","Total Exports","620043"
"","Total Imports","100987"
"","Trade Balance","519056"
"El Salvador","Total Exports","521774"
"","Total Imports","41662"
"","Trade Balance","480112"
"Aruba","Total Exports","458859"
"","Total Imports",""
"","Trade Balance","458859"
"Netherlands Antilles","Total Exports","422110"
"","Total Imports",""
"","Trade Balance","422110"
"Honduras","Total Exports","594473"
"","Total Imports","217671"
"","Trade Balance","376802"
"Uruguay","Total Exports","373233"
"","Total Imports",""
"","Trade Balance","373233"
"Ethiopia","Total Exports","359950"
"","Total Imports","2679"
"","Trade Balance","357271"
"Bahrain","Total Exports","516635"
"","Total Imports","181542"
"","Trade Balance","335093"
"Saint Lucia","Total Exports","321522"
"","Total Imports",""
"","Trade Balance","321522"
"Taiwan","Total Exports","14972655"
"","Total Imports","14657719"
"","Trade Balance","314936"
"Liberia","Total Exports","278086"
"","Total Imports",""
"","Trade Balance","278086"
"Gambia","Total Exports","263913"
"","Total Imports",""
"","Trade Balance","263913"
"Antigua and Barbuda","Total Exports","248609"
"","Total Imports",""
"","Trade Balance","248609"
"Georgia","Total Exports","223841"
"","Total Imports","494"
"","Trade Balance","223347"
"Cayman Islands","Total Exports","222058"
"","Total Imports",""
"","Trade Balance","222058"
"Libya","Total Exports","217224"
"","Total Imports",""
"","Trade Balance","217224"
"Suriname","Total Exports","192938"
"","Total Imports","2023"
"","Trade Balance","190915"
"Congo (formerly Zaire)","Total Exports","162000"
"","Total Imports",""
"","Trade Balance","162000"
