"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nova Scotia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2014"
"Units","Value in  canadian dollars"

"","","2014"
"United States","Total Exports","3907112947"
"","Total Imports","1849239832"
"","Trade Balance","2057873115"
"Hong Kong","Total Exports","45807109"
"","Total Imports","1067780"
"","Trade Balance","44739329"
"Japan","Total Exports","79574364"
"","Total Imports","36956372"
"","Trade Balance","42617992"
"Norway","Total Exports","66872905"
"","Total Imports","25089399"
"","Trade Balance","41783506"
"Mexico","Total Exports","47057282"
"","Total Imports","13039404"
"","Trade Balance","34017878"
"Korea, South","Total Exports","58798575"
"","Total Imports","29079656"
"","Trade Balance","29718919"
"Denmark","Total Exports","39009982"
"","Total Imports","11054134"
"","Trade Balance","27955848"
"Singapore","Total Exports","18576229"
"","Total Imports","2040959"
"","Trade Balance","16535270"
"Netherlands","Total Exports","88448696"
"","Total Imports","74172519"
"","Trade Balance","14276177"
"Vietnam","Total Exports","29540286"
"","Total Imports","20657256"
"","Trade Balance","8883030"
"Australia","Total Exports","20034110"
"","Total Imports","12946123"
"","Trade Balance","7087987"
"Saint Pierre-Miquelon","Total Exports","6776141"
"","Total Imports","1913"
"","Trade Balance","6774228"
"United Arab Emirates","Total Exports","6493585"
"","Total Imports","273352"
"","Trade Balance","6220233"
"Trinidad and Tobago","Total Exports","6169198"
"","Total Imports","500469"
"","Trade Balance","5668729"
"Nigeria","Total Exports","5194854"
"","Total Imports",""
"","Trade Balance","5194854"
"Iran","Total Exports","4665186"
"","Total Imports","5572"
"","Trade Balance","4659614"
"Türkiye","Total Exports","11402871"
"","Total Imports","7225592"
"","Trade Balance","4177279"
"Morocco","Total Exports","4020322"
"","Total Imports","572"
"","Trade Balance","4019750"
"Luxembourg","Total Exports","3602323"
"","Total Imports","51123"
"","Trade Balance","3551200"
"Pakistan","Total Exports","6073655"
"","Total Imports","3151831"
"","Trade Balance","2921824"
"Ukraine","Total Exports","2830003"
"","Total Imports","38875"
"","Trade Balance","2791128"
"Uruguay","Total Exports","3122823"
"","Total Imports","752574"
"","Trade Balance","2370249"
"Jamaica","Total Exports","3389515"
"","Total Imports","1314945"
"","Trade Balance","2074570"
"Estonia","Total Exports","2015036"
"","Total Imports","337236"
"","Trade Balance","1677800"
"Bermuda","Total Exports","2009075"
"","Total Imports","422472"
"","Trade Balance","1586603"
"Oman (formerly Muscat and Oman)","Total Exports","1503091"
