"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nova Scotia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2015"
"Units","Value in  canadian dollars"

"","","2015"
"United States","Total Exports","3836427066"
"","Total Imports","1618673499"
"","Trade Balance","2217753567"
"China","Total Exports","422088533"
"","Total Imports","318220186"
"","Trade Balance","103868347"
"Mexico","Total Exports","65630167"
"","Total Imports","5419157"
"","Trade Balance","60211010"
"Hong Kong","Total Exports","59337513"
"","Total Imports","2109584"
"","Trade Balance","57227929"
"Türkiye","Total Exports","67232638"
"","Total Imports","13321404"
"","Trade Balance","53911234"
"Denmark","Total Exports","54361219"
"","Total Imports","15366622"
"","Trade Balance","38994597"
"Korea, South","Total Exports","66093103"
"","Total Imports","32575802"
"","Trade Balance","33517301"
"Japan","Total Exports","78367773"
"","Total Imports","51559803"
"","Trade Balance","26807970"
"France (incl. Monaco, French Antilles)","Total Exports","88328406"
"","Total Imports","71385109"
"","Trade Balance","16943297"
"Singapore","Total Exports","21443733"
"","Total Imports","10500598"
"","Trade Balance","10943135"
"Vietnam","Total Exports","34158228"
"","Total Imports","23300141"
"","Trade Balance","10858087"
"Australia","Total Exports","18723613"
"","Total Imports","9129156"
"","Trade Balance","9594457"
"United Arab Emirates","Total Exports","8628358"
"","Total Imports","1473578"
"","Trade Balance","7154780"
"Trinidad and Tobago","Total Exports","7071169"
"","Total Imports","103034"
"","Trade Balance","6968135"
"Netherlands","Total Exports","84059951"
"","Total Imports","77176475"
"","Trade Balance","6883476"
"Saint Pierre-Miquelon","Total Exports","6732762"
"","Total Imports","1548"
"","Trade Balance","6731214"
"Panama","Total Exports","4181850"
"","Total Imports","37"
"","Trade Balance","4181813"
"Iceland","Total Exports","19183679"
"","Total Imports","15446076"
"","Trade Balance","3737603"
"Nigeria","Total Exports","2520041"
"","Total Imports","88"
"","Trade Balance","2519953"
"Bermuda","Total Exports","2338047"
"","Total Imports","381008"
"","Trade Balance","1957039"
"Oman (formerly Muscat and Oman)","Total Exports","1930657"
"","Total Imports","16153"
"","Trade Balance","1914504"
"Ukraine","Total Exports","1743370"
"","Total Imports","998"
"","Trade Balance","1742372"
"Aruba","Total Exports","1595657"
"","Total Imports",""
"","Trade Balance","1595657"
