"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nova Scotia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2016"
"Units","Value in  canadian dollars"

"","","2016"
"United States","Total Exports","3653197335"
"","Total Imports","1039440895"
"","Trade Balance","2613756440"
"China","Total Exports","494684036"
"","Total Imports","340920588"
"","Trade Balance","153763448"
"Hong Kong","Total Exports","85619893"
"","Total Imports","2362090"
"","Trade Balance","83257803"
"Mexico","Total Exports","81134450"
"","Total Imports","7144910"
"","Trade Balance","73989540"
"Korea, South","Total Exports","83824383"
"","Total Imports","35429940"
"","Trade Balance","48394443"
"Japan","Total Exports","89038088"
"","Total Imports","46575799"
"","Trade Balance","42462289"
"Vietnam","Total Exports","55596965"
"","Total Imports","36807290"
"","Trade Balance","18789675"
"Australia","Total Exports","20485659"
"","Total Imports","9123166"
"","Trade Balance","11362493"
"United Arab Emirates","Total Exports","11040579"
"","Total Imports","458534"
"","Trade Balance","10582045"
"Saint Pierre-Miquelon","Total Exports","7775888"
"","Total Imports","71376"
"","Trade Balance","7704512"
"Denmark","Total Exports","37505624"
"","Total Imports","30580524"
"","Trade Balance","6925100"
"Taiwan","Total Exports","18930024"
"","Total Imports","12272503"
"","Trade Balance","6657521"
"Malaysia","Total Exports","11341159"
"","Total Imports","6754046"
"","Trade Balance","4587113"
"Aruba","Total Exports","4085116"
"","Total Imports",""
"","Trade Balance","4085116"
"Pakistan","Total Exports","7636884"
"","Total Imports","3755086"
"","Trade Balance","3881798"
"Bermuda","Total Exports","3589581"
"","Total Imports","328338"
"","Trade Balance","3261243"
"Trinidad and Tobago","Total Exports","3400977"
"","Total Imports","194217"
"","Trade Balance","3206760"
"Egypt","Total Exports","3063430"
"","Total Imports","285033"
"","Trade Balance","2778397"
"Christmas Island","Total Exports","2585537"
"","Total Imports",""
"","Trade Balance","2585537"
"Panama","Total Exports","2476101"
"","Total Imports","4016"
"","Trade Balance","2472085"
"Albania","Total Exports","2411082"
"","Total Imports","210"
"","Trade Balance","2410872"
"Dominican Republic","Total Exports","2272856"
"","Total Imports","43786"
"","Trade Balance","2229070"
"Morocco","Total Exports","1988977"
"","Total Imports","1384"
"","Trade Balance","1987593"
"Barbados","Total Exports","1950235"
"","Total Imports","204132"
"","Trade Balance","1746103"
"Lebanon","Total Exports","1886131"
"","Total Imports","187178"
"","Trade Balance","1698953"
"Oman (formerly Muscat and Oman)","Total Exports","1247753"
"","Total Imports",""
"","Trade Balance","1247753"
"Jamaica","Total Exports","1522936"
"","Total Imports","287737"
"","Trade Balance","1235199"
"New Zealand","Total Exports","4518475"
"","Total Imports","3305875"
"","Trade Balance","1212600"
"Ghana","Total Exports","1194530"
"","Total Imports","1361"
"","Trade Balance","1193169"
"Kuwait","Total Exports","1183928"
"","Total Imports",""
"","Trade Balance","1183928"
"Paraguay","Total Exports","1139669"
"","Total Imports","31601"
"","Trade Balance","1108068"
"Qatar","Total Exports","1106210"
"","Total Imports",""
"","Trade Balance","1106210"
"Guam","Total Exports","1100452"
"","Total Imports",""
"","Trade Balance","1100452"
"Türkiye","Total Exports","18792261"
"","Total Imports","17712372"
"","Trade Balance","1079889"
"Jordan","Total Exports","960743"
"","Total Imports",""
