"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nova Scotia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2017"
"Units","Value in  canadian dollars"

"","","2017"
"United States","Total Exports","3514589790"
"","Total Imports","848461624"
"","Trade Balance","2666128166"
"China","Total Exports","611533223"
"","Total Imports","358249793"
"","Trade Balance","253283430"
"Hong Kong","Total Exports","108771921"
"","Total Imports","1967238"
"","Trade Balance","106804683"
"Mexico","Total Exports","68889133"
"","Total Imports","6785975"
"","Trade Balance","62103158"
"Japan","Total Exports","110668087"
"","Total Imports","66972582"
"","Trade Balance","43695505"
"Australia","Total Exports","35991447"
"","Total Imports","12844418"
"","Trade Balance","23147029"
"Vietnam","Total Exports","49553296"
"","Total Imports","29883711"
"","Trade Balance","19669585"
"Singapore","Total Exports","19902888"
"","Total Imports","1610496"
"","Trade Balance","18292392"
"Spain","Total Exports","41608356"
"","Total Imports","32582359"
"","Trade Balance","9025997"
"Denmark","Total Exports","28538720"
"","Total Imports","20321150"
"","Trade Balance","8217570"
"France (incl. Monaco, French Antilles)","Total Exports","89648774"
"","Total Imports","83033098"
"","Trade Balance","6615676"
"United Arab Emirates","Total Exports","7957978"
"","Total Imports","1672103"
"","Trade Balance","6285875"
"Jamaica","Total Exports","5557620"
"","Total Imports","197085"
"","Trade Balance","5360535"
"Panama","Total Exports","6311715"
"","Total Imports","1072351"
"","Trade Balance","5239364"
"Saint Pierre-Miquelon","Total Exports","5708741"
"","Total Imports","639540"
"","Trade Balance","5069201"
"Taiwan","Total Exports","22183431"
"","Total Imports","17677342"
"","Trade Balance","4506089"
"Greenland","Total Exports","4446739"
"","Total Imports",""
"","Trade Balance","4446739"
"Hungary","Total Exports","4179325"
"","Total Imports","109474"
"","Trade Balance","4069851"
"Pakistan","Total Exports","7069123"
"","Total Imports","3020038"
"","Trade Balance","4049085"
"Morocco","Total Exports","3182810"
"","Total Imports","344494"
"","Trade Balance","2838316"
"Kuwait","Total Exports","2453174"
"","Total Imports",""
"","Trade Balance","2453174"
"Nigeria","Total Exports","2450925"
"","Total Imports","24676"
"","Trade Balance","2426249"
"Iceland","Total Exports","19625871"
"","Total Imports","17210892"
"","Trade Balance","2414979"
"Bulgaria","Total Exports","3466394"
"","Total Imports","1166474"
"","Trade Balance","2299920"
"Albania","Total Exports","2219197"
"","Total Imports","3025"
"","Trade Balance","2216172"
"Saudi Arabia","Total Exports","2556105"
"","Total Imports","495815"
"","Trade Balance","2060290"
"Aruba","Total Exports","1921465"
"","Total Imports",""
"","Trade Balance","1921465"
"Trinidad and Tobago","Total Exports","1930308"
"","Total Imports","194745"
"","Trade Balance","1735563"
"Bermuda","Total Exports","2035437"
"","Total Imports","322635"
"","Trade Balance","1712802"
"Ukraine","Total Exports","2062741"
"","Total Imports","471672"
"","Trade Balance","1591069"
"Lebanon","Total Exports","1587292"
"","Total Imports","85304"
"","Trade Balance","1501988"
"Belize","Total Exports","1457556"
"","Total Imports",""
"","Trade Balance","1457556"
"Haiti","Total Exports","1090742"
"","Total Imports",""
"","Trade Balance","1090742"
"Bolivia","Total Exports","1222878"
"","Total Imports","184322"
"","Trade Balance","1038556"
"Oman (formerly Muscat and Oman)","Total Exports","1010214"
"","Total Imports","4726"
"","Trade Balance","1005488"
"Zambia (Zambi)","Total Exports","902115"
"","Total Imports",""
"","Trade Balance","902115"
"Dominican Republic","Total Exports","1157165"
"","Total Imports","297252"
"","Trade Balance","859913"
"Guam","Total Exports","836886"
"","Total Imports",""
"","Trade Balance","836886"
"Saint Kitts and Nevis","Total Exports","796972"
"","Total Imports",""
"","Trade Balance","796972"
"Egypt","Total Exports","731254"
"","Total Imports","60640"
"","Trade Balance","670614"
"Benin","Total Exports","660838"
"","Total Imports",""
"","Trade Balance","660838"
"British Virgin Islands","Total Exports","653866"
"","Total Imports","11490"
"","Trade Balance","642376"
"Paraguay","Total Exports","694097"
"","Total Imports","62494"
"","Trade Balance","631603"
"Mali","Total Exports","608002"
"","Total Imports",""
"","Trade Balance","608002"
"Qatar","Total Exports","575620"
"","Total Imports",""
"","Trade Balance","575620"
"Saint Lucia","Total Exports","542076"
"","Total Imports",""
"","Trade Balance","542076"
"Sint Maarten","Total Exports","540818"
"","Total Imports",""
"","Trade Balance","540818"
"Kazakhstan","Total Exports","515882"
"","Total Imports","125"
"","Trade Balance","515757"
"El Salvador","Total Exports","429965"
"","Total Imports","2311"
"","Trade Balance","427654"
"Jordan","Total Exports","430647"
"","Total Imports","3757"
"","Trade Balance","426890"
"Gambia","Total Exports","424236"
"","Total Imports",""
"","Trade Balance","424236"
"Bahamas","Total Exports","563083"
"","Total Imports","171788"
"","Trade Balance","391295"
"Papua New Guinea","Total Exports","382647"
"","Total Imports",""
"","Trade Balance","382647"
"Curacao","Total Exports","366572"
"","Total Imports",""
"","Trade Balance","366572"
