"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nova Scotia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2019"
"Units","Value in  canadian dollars"

"","","2019"
"United States","Total Exports","3779536004"
"","Total Imports","806994217"
"","Trade Balance","2972541787"
"China","Total Exports","998880670"
"","Total Imports","525943638"
"","Trade Balance","472937032"
"Korea, South","Total Exports","126057940"
"","Total Imports","19992451"
"","Trade Balance","106065489"
"Hong Kong","Total Exports","69480932"
"","Total Imports","6888581"
"","Trade Balance","62592351"
"Japan","Total Exports","106025803"
"","Total Imports","52872230"
"","Trade Balance","53153573"
"Singapore","Total Exports","45568719"
"","Total Imports","10067454"
"","Trade Balance","35501265"
"Ukraine","Total Exports","10752174"
"","Total Imports","1529668"
"","Trade Balance","9222506"
"Australia","Total Exports","22246543"
"","Total Imports","13467445"
"","Trade Balance","8779098"
"Chile","Total Exports","23852722"
"","Total Imports","16973390"
"","Trade Balance","6879332"
"Albania","Total Exports","6698326"
"","Total Imports","1094"
"","Trade Balance","6697232"
"United Arab Emirates","Total Exports","7428327"
"","Total Imports","838102"
"","Trade Balance","6590225"
"Denmark","Total Exports","44237138"
"","Total Imports","37699257"
"","Trade Balance","6537881"
"Nigeria","Total Exports","6292164"
"","Total Imports","11207"
"","Trade Balance","6280957"
"Iraq","Total Exports","4486400"
"","Total Imports",""
"","Trade Balance","4486400"
"Morocco","Total Exports","5393483"
"","Total Imports","1464286"
"","Trade Balance","3929197"
"Trinidad and Tobago","Total Exports","3643529"
"","Total Imports","28665"
"","Trade Balance","3614864"
"Burkina Faso","Total Exports","3402400"
"","Total Imports",""
"","Trade Balance","3402400"
"Serbia","Total Exports","3260624"
"","Total Imports","389174"
"","Trade Balance","2871450"
"Mauritania","Total Exports","2337300"
"","Total Imports",""
"","Trade Balance","2337300"
"Benin","Total Exports","2151063"
"","Total Imports",""
"","Trade Balance","2151063"
"Barbados","Total Exports","2210296"
"","Total Imports","205624"
"","Trade Balance","2004672"
"Panama","Total Exports","1973350"
"","Total Imports","275636"
"","Trade Balance","1697714"
"Ecuador","Total Exports","1595008"
"","Total Imports","55699"
"","Trade Balance","1539309"
"Dominican Republic","Total Exports","1635576"
"","Total Imports","124876"
"","Trade Balance","1510700"
"Guatemala","Total Exports","1863338"
"","Total Imports","380240"
"","Trade Balance","1483098"
"Libya","Total Exports","1386033"
"","Total Imports",""
"","Trade Balance","1386033"
"Saudi Arabia","Total Exports","1646945"
"","Total Imports","412333"
"","Trade Balance","1234612"
"Latvia","Total Exports","1868576"
"","Total Imports","635582"
"","Trade Balance","1232994"
"Saint Kitts and Nevis","Total Exports","1176999"
"","Total Imports",""
"","Trade Balance","1176999"
"Guam","Total Exports","1103587"
"","Total Imports",""
"","Trade Balance","1103587"
"Lebanon","Total Exports","1190167"
"","Total Imports","159581"
"","Trade Balance","1030586"
"Bahamas","Total Exports","1272841"
"","Total Imports","336358"
"","Trade Balance","936483"
"Qatar","Total Exports","929941"
"","Total Imports",""
"","Trade Balance","929941"
"Bermuda","Total Exports","880466"
"","Total Imports","15076"
"","Trade Balance","865390"
"Haiti","Total Exports","781043"
"","Total Imports","433"
"","Trade Balance","780610"
"Jamaica","Total Exports","1491849"
"","Total Imports","752212"
"","Trade Balance","739637"
"British Virgin Islands","Total Exports","730340"
"","Total Imports","8554"
"","Trade Balance","721786"
"Sint Maarten","Total Exports","717898"
"","Total Imports",""
"","Trade Balance","717898"
"Bulgaria","Total Exports","2957121"
"","Total Imports","2305416"
"","Trade Balance","651705"
"Cyprus","Total Exports","489599"
"","Total Imports",""
"","Trade Balance","489599"
"El Salvador","Total Exports","471501"
"","Total Imports",""
"","Trade Balance","471501"
"Christmas Island","Total Exports","462310"
"","Total Imports",""
"","Trade Balance","462310"
"Kuwait","Total Exports","452733"
"","Total Imports",""
"","Trade Balance","452733"
"Paraguay","Total Exports","495966"
"","Total Imports","90667"
"","Trade Balance","405299"
"Cape Verde","Total Exports","402330"
"","Total Imports",""
"","Trade Balance","402330"
"Kazakhstan","Total Exports","371130"
"","Total Imports",""
"","Trade Balance","371130"
"Aruba","Total Exports","352809"
"","Total Imports",""
"","Trade Balance","352809"
"Senegal","Total Exports","351658"
"","Total Imports","1005"
"","Trade Balance","350653"
"Togo","Total Exports","345802"
"","Total Imports",""
"","Trade Balance","345802"
"Belize","Total Exports","330265"
"","Total Imports",""
"","Trade Balance","330265"
"Curacao","Total Exports","323983"
"","Total Imports",""
"","Trade Balance","323983"
"Gambia","Total Exports","300412"
"","Total Imports",""
"","Trade Balance","300412"
"Tanzania","Total Exports","281077"
"","Total Imports",""
"","Trade Balance","281077"
"Bahrain","Total Exports","261216"
"","Total Imports",""
"","Trade Balance","261216"
"Anguilla","Total Exports","248990"
"","Total Imports",""
"","Trade Balance","248990"
"Mozambique","Total Exports","234698"
"","Total Imports",""
"","Trade Balance","234698"
"New Caledonia","Total Exports","213532"
"","Total Imports",""
"","Trade Balance","213532"
"Macau (Macao)","Total Exports","225000"
"","Total Imports","28411"
"","Trade Balance","196589"
"Dominica","Total Exports","195738"
"","Total Imports",""
"","Trade Balance","195738"
"Grenada","Total Exports","178830"
"","Total Imports",""
"","Trade Balance","178830"
"Lithuania","Total Exports","580336"
"","Total Imports","414566"
"","Trade Balance","165770"
"Saint Lucia","Total Exports","164868"
"","Total Imports",""
"","Trade Balance","164868"
"Tunisia","Total Exports","201552"
"","Total Imports","38609"
"","Trade Balance","162943"
"Oman (formerly Muscat and Oman)","Total Exports","310386"
"","Total Imports","161568"
"","Trade Balance","148818"
"Armenia","Total Exports","97442"
"","Total Imports",""
"","Trade Balance","97442"
"Turks and Caicos Islands","Total Exports","96635"
"","Total Imports",""
"","Trade Balance","96635"
"Papua New Guinea","Total Exports","80396"
"","Total Imports",""
"","Trade Balance","80396"
"Azerbaijan","Total Exports","80239"
"","Total Imports",""
"","Trade Balance","80239"
"Hungary","Total Exports","377107"
"","Total Imports","299794"
"","Trade Balance","77313"
"Swaziland","Total Exports","69800"
"","Total Imports","27"
"","Trade Balance","69773"
"Bonaire, Sint Eustatius and Saba","Total Exports","67561"
"","Total Imports",""
"","Trade Balance","67561"
"Montenegro","Total Exports","66770"
"","Total Imports",""
"","Trade Balance","66770"
"Mali","Total Exports","64604"
"","Total Imports",""
"","Trade Balance","64604"
"Saint Vincent and the Grenadines","Total Exports","63352"
"","Total Imports",""
"","Trade Balance","63352"
"Afghanistan","Total Exports","61076"
"","Total Imports",""
"","Trade Balance","61076"
"Algeria","Total Exports","60775"
"","Total Imports",""
"","Trade Balance","60775"
"Zambia (Zambi)","Total Exports","57711"
"","Total Imports",""
"","Trade Balance","57711"
"Antigua and Barbuda","Total Exports","52228"
"","Total Imports",""
"","Trade Balance","52228"
"South Sudan","Total Exports","45000"
"","Total Imports",""
"","Trade Balance","45000"
"Namibia","Total Exports","40633"
"","Total Imports",""
"","Trade Balance","40633"
"Luxembourg","Total Exports","783005"
"","Total Imports","743933"
"","Trade Balance","39072"
"Suriname","Total Exports","30601"
"","Total Imports","768"
"","Trade Balance","29833"
"Sierra Leone","Total Exports","28266"
"","Total Imports",""
"","Trade Balance","28266"
"Laos","Total Exports","27998"
"","Total Imports",""
"","Trade Balance","27998"
"Seychelles","Total Exports","43767"
"","Total Imports","16052"
"","Trade Balance","27715"
"Congo (formerly Zaire)","Total Exports","27625"
"","Total Imports",""
"","Trade Balance","27625"
"Fiji","Total Exports","27134"
"","Total Imports",""
"","Trade Balance","27134"
"Cook Islands","Total Exports","25894"
"","Total Imports",""
"","Trade Balance","25894"
"Malta","Total Exports","22673"
"","Total Imports","26"
"","Trade Balance","22647"
"Guinea","Total Exports","13575"
"","Total Imports",""
"","Trade Balance","13575"
"Kyrgyzstan","Total Exports","10289"
"","Total Imports",""
"","Trade Balance","10289"
"Cayman Islands","Total Exports","112982"
