"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nova Scotia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2021"
"Units","Value in  canadian dollars"

"","","2021"
"United States","Total Exports","3990208859"
"","Total Imports","562087171"
"","Trade Balance","3428121688"
"China","Total Exports","727866566"
"","Total Imports","430483624"
"","Trade Balance","297382942"
"Korea, South","Total Exports","131084296"
"","Total Imports","28936893"
"","Trade Balance","102147403"
"Japan","Total Exports","112533173"
"","Total Imports","42102902"
"","Trade Balance","70430271"
"Hong Kong","Total Exports","60678421"
"","Total Imports","2572200"
"","Trade Balance","58106221"
"Pakistan","Total Exports","44137777"
"","Total Imports","1491402"
"","Trade Balance","42646375"
"Taiwan","Total Exports","34660334"
"","Total Imports","16584941"
"","Trade Balance","18075393"
"Malta","Total Exports","18154744"
"","Total Imports","161825"
"","Trade Balance","17992919"
"Australia","Total Exports","32833597"
"","Total Imports","19941335"
"","Trade Balance","12892262"
"United Arab Emirates","Total Exports","15159122"
"","Total Imports","3073228"
"","Trade Balance","12085894"
"Egypt","Total Exports","14810683"
"","Total Imports","3665815"
"","Trade Balance","11144868"
"Ukraine","Total Exports","11300378"
"","Total Imports","404916"
"","Trade Balance","10895462"
"Spain","Total Exports","62406717"
"","Total Imports","53965864"
"","Trade Balance","8440853"
"Nigeria","Total Exports","8044679"
"","Total Imports","26352"
"","Trade Balance","8018327"
"Singapore","Total Exports","9946502"
"","Total Imports","4188765"
"","Trade Balance","5757737"
"Guyana","Total Exports","6382964"
"","Total Imports","899085"
"","Trade Balance","5483879"
"Albania","Total Exports","5418168"
"","Total Imports","1786"
"","Trade Balance","5416382"
"Libya","Total Exports","4662665"
"","Total Imports",""
"","Trade Balance","4662665"
"Benin","Total Exports","3727872"
"","Total Imports",""
"","Trade Balance","3727872"
"Serbia","Total Exports","3908945"
"","Total Imports","533010"
"","Trade Balance","3375935"
"Trinidad and Tobago","Total Exports","3685342"
"","Total Imports","641884"
"","Trade Balance","3043458"
"Israel","Total Exports","5254171"
"","Total Imports","2530682"
"","Trade Balance","2723489"
"Dominican Republic","Total Exports","3469615"
"","Total Imports","798160"
"","Trade Balance","2671455"
"Luxembourg","Total Exports","2187144"
"","Total Imports","1681"
"","Trade Balance","2185463"
"Ecuador","Total Exports","2321414"
"","Total Imports","181901"
"","Trade Balance","2139513"
"Haiti","Total Exports","1898074"
"","Total Imports",""
"","Trade Balance","1898074"
"Greece","Total Exports","7675887"
"","Total Imports","6078466"
"","Trade Balance","1597421"
"Panama","Total Exports","1975192"
"","Total Imports","392721"
"","Trade Balance","1582471"
"Jamaica","Total Exports","2084559"
"","Total Imports","549020"
"","Trade Balance","1535539"
"Chile","Total Exports","13819920"
"","Total Imports","12361537"
"","Trade Balance","1458383"
"Wallis and Futuna Islands","Total Exports","1217178"
"","Total Imports",""
"","Trade Balance","1217178"
"Bermuda","Total Exports","1186462"
"","Total Imports","1478"
"","Trade Balance","1184984"
"Saint Vincent and the Grenadines","Total Exports","1161857"
"","Total Imports",""
"","Trade Balance","1161857"
"Lebanon","Total Exports","1163033"
"","Total Imports","296192"
"","Trade Balance","866841"
"Togo","Total Exports","838427"
"","Total Imports","8541"
"","Trade Balance","829886"
"Georgia","Total Exports","822866"
"","Total Imports",""
"","Trade Balance","822866"
"Cocos (Keeling) Islands","Total Exports","740812"
"","Total Imports",""
"","Trade Balance","740812"
"Barbados","Total Exports","1019468"
"","Total Imports","303786"
"","Trade Balance","715682"
"Grenada","Total Exports","703716"
"","Total Imports",""
"","Trade Balance","703716"
"Senegal","Total Exports","518700"
"","Total Imports",""
