"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nova Scotia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2024"
"Units","Value in  canadian dollars"

"","","2024"
"United States","Total Exports","4615979160"
"","Total Imports","531872142"
"","Trade Balance","4084107018"
"Korea, South","Total Exports","96378525"
"","Total Imports","41270804"
"","Trade Balance","55107721"
"Hong Kong","Total Exports","51355753"
"","Total Imports","7593285"
"","Trade Balance","43762468"
"Pakistan","Total Exports","45331918"
"","Total Imports","1817484"
"","Trade Balance","43514434"
"Mexico","Total Exports","30912718"
"","Total Imports","2670908"
"","Trade Balance","28241810"
"United Arab Emirates","Total Exports","17636514"
"","Total Imports","2251206"
"","Trade Balance","15385308"
"Taiwan","Total Exports","28860681"
"","Total Imports","20503358"
"","Trade Balance","8357323"
"Saudi Arabia","Total Exports","8167191"
"","Total Imports","1353769"
"","Trade Balance","6813422"
"Denmark","Total Exports","29493455"
"","Total Imports","24429233"
"","Trade Balance","5064222"
"Nigeria","Total Exports","6003828"
"","Total Imports","1957665"
"","Trade Balance","4046163"
"U.S. Minor Outlying Islands","Total Exports","3606944"
"","Total Imports",""
"","Trade Balance","3606944"
"Ukraine","Total Exports","3408430"
"","Total Imports","157723"
"","Trade Balance","3250707"
"Malaysia","Total Exports","18630130"
"","Total Imports","15774032"
"","Trade Balance","2856098"
"Saint Pierre-Miquelon","Total Exports","2836244"
"","Total Imports","53369"
"","Trade Balance","2782875"
"Panama","Total Exports","2709873"
"","Total Imports","247691"
"","Trade Balance","2462182"
"Libya","Total Exports","2216447"
"","Total Imports",""
"","Trade Balance","2216447"
"Bulgaria","Total Exports","2369882"
"","Total Imports","318426"
"","Trade Balance","2051456"
"Ecuador","Total Exports","4075105"
"","Total Imports","2402951"
"","Trade Balance","1672154"
"Jamaica","Total Exports","2042369"
"","Total Imports","404842"
"","Trade Balance","1637527"
"Benin","Total Exports","1414681"
"","Total Imports",""
"","Trade Balance","1414681"
"Dominican Republic","Total Exports","2772549"
"","Total Imports","1486187"
"","Trade Balance","1286362"
"Qatar","Total Exports","1176863"
"","Total Imports",""
"","Trade Balance","1176863"
"Haiti","Total Exports","1170403"
"","Total Imports",""
"","Trade Balance","1170403"
"Nepal","Total Exports","1115050"
"","Total Imports","7584"
"","Trade Balance","1107466"
"Kuwait","Total Exports","1042761"
"","Total Imports","30384"
"","Trade Balance","1012377"
"Bermuda","Total Exports","967193"
"","Total Imports","22538"
"","Trade Balance","944655"
"Myanmar (Burma)","Total Exports","910484"
"","Total Imports","46094"
"","Trade Balance","864390"
"Saint Kitts and Nevis","Total Exports","822775"
"","Total Imports",""
"","Trade Balance","822775"
"Costa Rica","Total Exports","1174332"
"","Total Imports","390525"
"","Trade Balance","783807"
"Egypt","Total Exports","2395266"
"","Total Imports","1641988"
"","Trade Balance","753278"
"Kazakhstan","Total Exports","733858"
"","Total Imports","3017"
"","Trade Balance","730841"
"Senegal","Total Exports","634508"
"","Total Imports","165"
"","Trade Balance","634343"
"Trinidad and Tobago","Total Exports","762302"
"","Total Imports","141677"
"","Trade Balance","620625"
"Turks and Caicos Islands","Total Exports","541936"
"","Total Imports",""
"","Trade Balance","541936"
"Togo","Total Exports","522127"
"","Total Imports",""
"","Trade Balance","522127"
"Antigua and Barbuda","Total Exports","507794"
"","Total Imports",""
"","Trade Balance","507794"
"Barbados","Total Exports","666694"
"","Total Imports","276065"
"","Trade Balance","390629"
"Paraguay","Total Exports","415716"
"","Total Imports","31989"
"","Trade Balance","383727"
"Anguilla","Total Exports","354343"
"","Total Imports",""
"","Trade Balance","354343"
"Armenia","Total Exports","428010"
"","Total Imports","79813"
"","Trade Balance","348197"
"Georgia","Total Exports","340320"
"","Total Imports",""
"","Trade Balance","340320"
"Bahrain","Total Exports","328556"
"","Total Imports",""
"","Trade Balance","328556"
"Curacao","Total Exports","310754"
"","Total Imports",""
"","Trade Balance","310754"
"Aruba","Total Exports","287857"
"","Total Imports",""
"","Trade Balance","287857"
"Dominica","Total Exports","238746"
"","Total Imports",""
"","Trade Balance","238746"
"Lebanon","Total Exports","726466"
"","Total Imports","511021"
"","Trade Balance","215445"
"Iraq","Total Exports","209245"
"","Total Imports",""
"","Trade Balance","209245"
"Tanzania","Total Exports","203046"
"","Total Imports",""
"","Trade Balance","203046"
"Burkina Faso","Total Exports","171310"
"","Total Imports",""
"","Trade Balance","171310"
"Seychelles","Total Exports","213291"
"","Total Imports","43252"
"","Trade Balance","170039"
"Saint Lucia","Total Exports","166934"
"","Total Imports",""
"","Trade Balance","166934"
"Kenya","Total Exports","741294"
"","Total Imports","586873"
"","Trade Balance","154421"
"Guam","Total Exports","143421"
"","Total Imports",""
"","Trade Balance","143421"
"Greenland","Total Exports","498292"
"","Total Imports","362440"
"","Trade Balance","135852"
"Oman (formerly Muscat and Oman)","Total Exports","134763"
"","Total Imports",""
"","Trade Balance","134763"
"Saint Vincent and the Grenadines","Total Exports","128937"
"","Total Imports",""
"","Trade Balance","128937"
"Sint Maarten","Total Exports","106876"
"","Total Imports",""
"","Trade Balance","106876"
"Grenada","Total Exports","91388"
"","Total Imports",""
"","Trade Balance","91388"
"Serbia","Total Exports","116838"
"","Total Imports","25589"
"","Trade Balance","91249"
"Bahamas","Total Exports","78210"
"","Total Imports","1935"
"","Trade Balance","76275"
"Gibraltar","Total Exports","72528"
"","Total Imports",""
"","Trade Balance","72528"
"Brunei Darussalam","Total Exports","70353"
"","Total Imports",""
"","Trade Balance","70353"
"Gambia","Total Exports","59900"
"","Total Imports",""
"","Trade Balance","59900"
"Azerbaijan","Total Exports","57902"
"","Total Imports",""
"","Trade Balance","57902"
"Papua New Guinea","Total Exports","55777"
"","Total Imports",""
"","Trade Balance","55777"
"Angola","Total Exports","54476"
"","Total Imports",""
"","Trade Balance","54476"
"Cayman Islands","Total Exports","47190"
"","Total Imports",""
"","Trade Balance","47190"
"Cook Islands","Total Exports","42269"
"","Total Imports",""
"","Trade Balance","42269"
"Bolivia","Total Exports","41234"
"","Total Imports",""
"","Trade Balance","41234"
"Congo (formerly Brazzaville)","Total Exports","41072"
"","Total Imports",""
"","Trade Balance","41072"
"Venezuela","Total Exports","40141"
"","Total Imports","7707"
"","Trade Balance","32434"
"Cameroon","Total Exports","31538"
"","Total Imports",""
"","Trade Balance","31538"
"Guatemala","Total Exports","533401"
"","Total Imports","502233"
"","Trade Balance","31168"
"Niger","Total Exports","26557"
"","Total Imports","209"
"","Trade Balance","26348"
"Namibia","Total Exports","22465"
"","Total Imports",""
"","Trade Balance","22465"
"Mongolia","Total Exports","20156"
"","Total Imports",""
"","Trade Balance","20156"
"Afghanistan","Total Exports","18672"
"","Total Imports",""
"","Trade Balance","18672"
"Mali","Total Exports","16300"
"","Total Imports","62"
"","Trade Balance","16238"
"Mozambique","Total Exports","15718"
"","Total Imports",""
"","Trade Balance","15718"
"Maldives","Total Exports","12795"
"","Total Imports",""
"","Trade Balance","12795"
"Chad","Total Exports","12321"
"","Total Imports",""
"","Trade Balance","12321"
"French Polynesia","Total Exports","11505"
"","Total Imports",""
"","Trade Balance","11505"
"Zambia (Zambi)","Total Exports","10000"
"","Total Imports",""
"","Trade Balance","10000"
"Congo (formerly Zaire)","Total Exports","8500"
"","Total Imports",""
"","Trade Balance","8500"
"Gabon","Total Exports","8000"
"","Total Imports",""
"","Trade Balance","8000"
"Bonaire, Sint Eustatius and Saba","Total Exports","7410"
"","Total Imports",""
"","Trade Balance","7410"
"Tonga","Total Exports","4799"
"","Total Imports",""
"","Trade Balance","4799"
"Sierra Leone","Total Exports","2795"
"","Total Imports",""
"","Trade Balance","2795"
"Malta","Total Exports","3461"
"","Total Imports","1013"
"","Trade Balance","2448"
"Fiji","Total Exports","2839"
"","Total Imports","960"
"","Trade Balance","1879"
"Rwanda","Total Exports","1500"
"","Total Imports",""
"","Trade Balance","1500"
"Mauritius","Total Exports","1458"
"","Total Imports",""
"","Trade Balance","1458"
"Suriname","Total Exports",""
"","Total Imports","1793"
"","Trade Balance","-1793"
"Uzbekistan","Total Exports",""
"","Total Imports","5513"
"","Trade Balance","-5513"
"Algeria","Total Exports","15000"
"","Total Imports","26748"
"","Trade Balance","-11748"
"Bosnia and Herzegovina","Total Exports",""
"","Total Imports","26014"
"","Trade Balance","-26014"
"Albania","Total Exports","188452"
"","Total Imports","215389"
"","Trade Balance","-26937"
"Laos","Total Exports",""
"","Total Imports","51411"
"","Trade Balance","-51411"
"Iran","Total Exports",""
"","Total Imports","74726"
"","Trade Balance","-74726"
"Guyana","Total Exports","581133"
"","Total Imports","656309"
"","Trade Balance","-75176"
"Estonia","Total Exports","580268"
"","Total Imports","661166"
"","Trade Balance","-80898"
"Nicaragua","Total Exports","170623"
"","Total Imports","253847"
"","Trade Balance","-83224"
"Cyprus","Total Exports","50512"
"","Total Imports","139540"
"","Trade Balance","-89028"
"Uganda","Total Exports",""
"","Total Imports","89401"
"","Trade Balance","-89401"
"North Macedonia","Total Exports",""
"","Total Imports","97806"
"","Trade Balance","-97806"
"Russia","Total Exports",""
"","Total Imports","116544"
"","Trade Balance","-116544"
"Malawi","Total Exports",""
"","Total Imports","148960"
"","Trade Balance","-148960"
"Croatia","Total Exports","62391"
"","Total Imports","219212"
"","Trade Balance","-156821"
"Ethiopia","Total Exports",""
"","Total Imports","173609"
"","Trade Balance","-173609"
"Luxembourg","Total Exports","628514"
"","Total Imports","831574"
"","Trade Balance","-203060"
"Moldova","Total Exports",""
"","Total Imports","332195"
"","Trade Balance","-332195"
"Portugal","Total Exports","12073923"
"","Total Imports","12456412"
"","Trade Balance","-382489"
"Honduras","Total Exports","217298"
"","Total Imports","612374"
"","Trade Balance","-395076"
"Liberia","Total Exports","201476"
"","Total Imports","835509"
"","Trade Balance","-634033"
"Slovenia","Total Exports","1747600"
"","Total Imports","2705381"
"","Trade Balance","-957781"
"Guinea","Total Exports","126683"
"","Total Imports","1086699"
"","Trade Balance","-960016"
"El Salvador","Total Exports","383182"
"","Total Imports","1504809"
"","Trade Balance","-1121627"
"Uruguay","Total Exports","549122"
"","Total Imports","2195044"
"","Trade Balance","-1645922"
"Lithuania","Total Exports","1601821"
"","Total Imports","3776903"
"","Trade Balance","-2175082"
"Latvia","Total Exports","222323"
