"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Northwest Territories"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1993"
"Units","Value in  canadian dollars"

"","","1993"
"Germany","Total Exports","83022805"
"","Total Imports","4318"
"","Trade Balance","83018487"
"France (incl. Monaco, French Antilles)","Total Exports","19918375"
"","Total Imports",""
"","Trade Balance","19918375"
"Finland","Total Exports","16371217"
"","Total Imports","1421"
"","Trade Balance","16369796"
"United Kingdom","Total Exports","6420799"
"","Total Imports","14828"
"","Trade Balance","6405971"
"Norway","Total Exports","5670147"
"","Total Imports",""
"","Trade Balance","5670147"
"Belgium","Total Exports","5252641"
"","Total Imports",""
"","Trade Balance","5252641"
"United States","Total Exports","6736894"
"","Total Imports","2685473"
"","Trade Balance","4051421"
"Italy (incl. Vatican City State)","Total Exports","2767436"
"","Total Imports",""
"","Trade Balance","2767436"
"Japan","Total Exports","139562"
"","Total Imports",""
"","Trade Balance","139562"
"Greenland","Total Exports","12200"
"","Total Imports",""
"","Trade Balance","12200"
"Mexico","Total Exports","5775"
"","Total Imports",""
"","Trade Balance","5775"
"Saudi Arabia","Total Exports","5500"
"","Total Imports",""
"","Trade Balance","5500"
"Türkiye","Total Exports","5000"
"","Total Imports",""
"","Trade Balance","5000"
"Ireland","Total Exports",""
"","Total Imports","161"
"","Trade Balance","-161"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","1237"
"","Trade Balance","-1237"
"India","Total Exports",""
"","Total Imports","2716"
"","Trade Balance","-2716"
"Korea, South","Total Exports",""
"","Total Imports","3880"
"","Trade Balance","-3880"
"Taiwan","Total Exports",""
"","Total Imports","5262"
"","Trade Balance","-5262"
"Total All Countries","Total Exports","146328351"
"","Total Imports","2719296"
"","Trade Balance","143609055"

"Source: Trade Data Online (accessed: April 21, 2025)"



