"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Northwest Territories"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1994"
"Units","Value in  canadian dollars"

"","","1994"
"Germany","Total Exports","72653354"
"","Total Imports","3367"
"","Trade Balance","72649987"
"Belgium","Total Exports","27027390"
"","Total Imports",""
"","Trade Balance","27027390"
"Finland","Total Exports","16707499"
"","Total Imports",""
"","Trade Balance","16707499"
"United States","Total Exports","14585099"
"","Total Imports","3827181"
"","Trade Balance","10757918"
"Norway","Total Exports","7774252"
"","Total Imports",""
"","Trade Balance","7774252"
"Netherlands","Total Exports","7113714"
"","Total Imports","2268"
"","Trade Balance","7111446"
"France (incl. Monaco, French Antilles)","Total Exports","6614683"
"","Total Imports",""
"","Trade Balance","6614683"
"Italy (incl. Vatican City State)","Total Exports","6606153"
"","Total Imports",""
"","Trade Balance","6606153"
"United Kingdom","Total Exports","6618963"
"","Total Imports","243326"
"","Trade Balance","6375637"
"Japan","Total Exports","532152"
"","Total Imports",""
"","Trade Balance","532152"
"New Caledonia","Total Exports","5558"
"","Total Imports",""
"","Trade Balance","5558"
"Greenland","Total Exports","2245"
"","Total Imports","2515"
"","Trade Balance","-270"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","56785"
"","Trade Balance","-56785"
"Total All Countries","Total Exports","166241062"
"","Total Imports","4135442"
"","Trade Balance","162105620"

"Source: Trade Data Online (accessed: April 21, 2025)"



