"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Northwest Territories"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1995"
"Units","Value in  canadian dollars"

"","","1995"
"Germany","Total Exports","67540802"
"","Total Imports",""
"","Trade Balance","67540802"
"Finland","Total Exports","36051879"
"","Total Imports",""
"","Trade Balance","36051879"
"Belgium","Total Exports","32257813"
"","Total Imports",""
"","Trade Balance","32257813"
"Sweden","Total Exports","25576972"
"","Total Imports",""
"","Trade Balance","25576972"
"Spain","Total Exports","13695825"
"","Total Imports",""
"","Trade Balance","13695825"
"Netherlands","Total Exports","12610018"
"","Total Imports",""
"","Trade Balance","12610018"
"United States","Total Exports","17026393"
"","Total Imports","6376225"
"","Trade Balance","10650168"
"Norway","Total Exports","8711462"
"","Total Imports",""
"","Trade Balance","8711462"
"France (incl. Monaco, French Antilles)","Total Exports","3729407"
"","Total Imports","43573"
"","Trade Balance","3685834"
"Italy (incl. Vatican City State)","Total Exports","3576934"
"","Total Imports","9088"
"","Trade Balance","3567846"
"United Kingdom","Total Exports","3540241"
"","Total Imports","43398"
"","Trade Balance","3496843"
"Portugal","Total Exports","871942"
"","Total Imports",""
"","Trade Balance","871942"
"Japan","Total Exports","425318"
"","Total Imports",""
"","Trade Balance","425318"
"Greenland","Total Exports","18040"
"","Total Imports",""
"","Trade Balance","18040"
"Israel","Total Exports","13113"
"","Total Imports",""
"","Trade Balance","13113"
"South Africa","Total Exports","4800"
"","Total Imports",""
"","Trade Balance","4800"
"Switzerland","Total Exports","4075"
"","Total Imports",""
"","Trade Balance","4075"
"Austria","Total Exports","2500"
"","Total Imports",""
"","Trade Balance","2500"
"Australia","Total Exports",""
"","Total Imports","22314"
"","Trade Balance","-22314"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","1896750"
"","Trade Balance","-1896750"
"Total All Countries","Total Exports","225657534"
"","Total Imports","8391348"
"","Trade Balance","217266186"

"Source: Trade Data Online (accessed: April 21, 2025)"



