"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Northwest Territories"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1996"
"Units","Value in  canadian dollars"

"","","1996"
"Germany","Total Exports","105851771"
"","Total Imports","66556"
"","Trade Balance","105785215"
"Finland","Total Exports","32911725"
"","Total Imports",""
"","Trade Balance","32911725"
"Sweden","Total Exports","31662037"
"","Total Imports",""
"","Trade Balance","31662037"
"Belgium","Total Exports","28775524"
"","Total Imports",""
"","Trade Balance","28775524"
"Netherlands","Total Exports","10441773"
"","Total Imports","1860"
"","Trade Balance","10439913"
"Norway","Total Exports","10244096"
"","Total Imports",""
"","Trade Balance","10244096"
"Spain","Total Exports","8918222"
"","Total Imports",""
"","Trade Balance","8918222"
"Italy (incl. Vatican City State)","Total Exports","4390433"
"","Total Imports","16803"
"","Trade Balance","4373630"
"Austria","Total Exports","3627871"
"","Total Imports",""
"","Trade Balance","3627871"
"United Kingdom","Total Exports","4412531"
"","Total Imports","870350"
"","Trade Balance","3542181"
"Switzerland","Total Exports","2472340"
"","Total Imports",""
"","Trade Balance","2472340"
"Czech Republic","Total Exports","56731"
"","Total Imports",""
"","Trade Balance","56731"
"Iceland","Total Exports","41824"
"","Total Imports",""
"","Trade Balance","41824"
"Japan","Total Exports","27264"
"","Total Imports",""
"","Trade Balance","27264"
"New Zealand","Total Exports","26250"
"","Total Imports",""
"","Trade Balance","26250"
"Mexico","Total Exports","3000"
"","Total Imports",""
"","Trade Balance","3000"
"Taiwan","Total Exports",""
"","Total Imports","1305"
"","Trade Balance","-1305"
"India","Total Exports",""
"","Total Imports","4133"
"","Trade Balance","-4133"
"France (incl. Monaco, French Antilles)","Total Exports",""
"","Total Imports","21982"
"","Trade Balance","-21982"
"South Africa","Total Exports",""
"","Total Imports","36187"
"","Trade Balance","-36187"
"Denmark","Total Exports",""
"","Total Imports","43000"
"","Trade Balance","-43000"
"United States","Total Exports","5400630"
"","Total Imports","12496770"
"","Trade Balance","-7096140"
"Total All Countries","Total Exports","249264022"
"","Total Imports","13558946"
"","Trade Balance","235705076"

"Source: Trade Data Online (accessed: April 21, 2025)"



