"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Northwest Territories"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1997"
"Units","Value in  canadian dollars"

"","","1997"
"Sweden","Total Exports","118646833"
"","Total Imports",""
"","Trade Balance","118646833"
"Germany","Total Exports","73150137"
"","Total Imports",""
"","Trade Balance","73150137"
"Finland","Total Exports","63805774"
"","Total Imports",""
"","Trade Balance","63805774"
"Spain","Total Exports","32808415"
"","Total Imports",""
"","Trade Balance","32808415"
"Belgium","Total Exports","26311279"
"","Total Imports",""
"","Trade Balance","26311279"
"Norway","Total Exports","24728961"
"","Total Imports",""
"","Trade Balance","24728961"
"Netherlands","Total Exports","17643907"
"","Total Imports",""
"","Trade Balance","17643907"
"Italy (incl. Vatican City State)","Total Exports","15344566"
"","Total Imports","9716"
"","Trade Balance","15334850"
"Peru","Total Exports","6646499"
"","Total Imports",""
"","Trade Balance","6646499"
"Japan","Total Exports","134644"
"","Total Imports",""
"","Trade Balance","134644"
"Australia","Total Exports","70643"
"","Total Imports",""
"","Trade Balance","70643"
"Taiwan","Total Exports",""
"","Total Imports","18"
"","Trade Balance","-18"
"China","Total Exports",""
"","Total Imports","334"
"","Trade Balance","-334"
"India","Total Exports",""
"","Total Imports","2868"
"","Trade Balance","-2868"
"France (incl. Monaco, French Antilles)","Total Exports",""
"","Total Imports","78571"
"","Trade Balance","-78571"
"United States","Total Exports","5792747"
"","Total Imports","9389279"
"","Trade Balance","-3596532"
"Total All Countries","Total Exports","385084405"
"","Total Imports","9480786"
"","Trade Balance","375603619"

"Source: Trade Data Online (accessed: April 21, 2025)"



