"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Northwest Territories"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1998"
"Units","Value in  canadian dollars"

"","","1998"
"Sweden","Total Exports","94274542"
"","Total Imports","37"
"","Trade Balance","94274505"
"Belgium","Total Exports","67135572"
"","Total Imports",""
"","Trade Balance","67135572"
"Germany","Total Exports","64419635"
"","Total Imports",""
"","Trade Balance","64419635"
"Finland","Total Exports","37329699"
"","Total Imports",""
"","Trade Balance","37329699"
"Spain","Total Exports","12682657"
"","Total Imports",""
"","Trade Balance","12682657"
"Peru","Total Exports","9893085"
"","Total Imports",""
"","Trade Balance","9893085"
"Italy (incl. Vatican City State)","Total Exports","9640161"
"","Total Imports","12039"
"","Trade Balance","9628122"
"Norway","Total Exports","8081819"
"","Total Imports",""
"","Trade Balance","8081819"
"Netherlands","Total Exports","7831047"
"","Total Imports",""
"","Trade Balance","7831047"
"United States","Total Exports","10195354"
"","Total Imports","9511984"
"","Trade Balance","683370"
"Denmark","Total Exports","75020"
"","Total Imports",""
"","Trade Balance","75020"
"Greenland","Total Exports","12200"
"","Total Imports",""
"","Trade Balance","12200"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","1295"
"","Trade Balance","-1295"
"Switzerland","Total Exports",""
"","Total Imports","2773"
"","Trade Balance","-2773"
"India","Total Exports",""
"","Total Imports","2936"
"","Trade Balance","-2936"
"Czech Republic","Total Exports",""
"","Total Imports","24215"
"","Trade Balance","-24215"
"France (incl. Monaco, French Antilles)","Total Exports",""
"","Total Imports","39662"
"","Trade Balance","-39662"
"Total All Countries","Total Exports","321570791"
"","Total Imports","9594941"
"","Trade Balance","311975850"

"Source: Trade Data Online (accessed: April 21, 2025)"



