"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Northwest Territories"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1999"
"Units","Value in  canadian dollars"

"","","1999"
"Belgium","Total Exports","522211124"
"","Total Imports",""
"","Trade Balance","522211124"
"United Kingdom","Total Exports","21177600"
"","Total Imports","494"
"","Trade Balance","21177106"
"United States","Total Exports","12461000"
"","Total Imports","3453692"
"","Trade Balance","9007308"
"Japan","Total Exports","220000"
"","Total Imports","18474"
"","Trade Balance","201526"
"Australia","Total Exports","64000"
"","Total Imports",""
"","Trade Balance","64000"
"Switzerland","Total Exports","60000"
"","Total Imports","36363"
"","Trade Balance","23637"
"Ireland","Total Exports","18242"
"","Total Imports",""
"","Trade Balance","18242"
"Mexico","Total Exports","8795"
"","Total Imports","374"
"","Trade Balance","8421"
"Taiwan","Total Exports","689"
"","Total Imports",""
"","Trade Balance","689"
"Brazil","Total Exports",""
"","Total Imports","268"
"","Trade Balance","-268"
"Ethiopia","Total Exports",""
"","Total Imports","429"
"","Trade Balance","-429"
"Kenya","Total Exports",""
"","Total Imports","532"
"","Trade Balance","-532"
"Guatemala","Total Exports",""
"","Total Imports","552"
"","Trade Balance","-552"
"Colombia","Total Exports",""
"","Total Imports","741"
"","Trade Balance","-741"
"Indonesia","Total Exports",""
"","Total Imports","1029"
"","Trade Balance","-1029"
"Germany","Total Exports",""
"","Total Imports","1926"
"","Trade Balance","-1926"
"Netherlands","Total Exports",""
"","Total Imports","2465"
"","Trade Balance","-2465"
"Czech Republic","Total Exports",""
"","Total Imports","3826"
"","Trade Balance","-3826"
"China","Total Exports",""
"","Total Imports","5457"
"","Trade Balance","-5457"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","100724"
"","Trade Balance","-100724"
"Total All Countries","Total Exports","556221450"
"","Total Imports","3627346"
"","Trade Balance","552594104"

"Source: Trade Data Online (accessed: April 21, 2025)"



