"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Northwest Territories"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2000"
"Units","Value in  canadian dollars"

"","","2000"
"Belgium","Total Exports","470785735"
"","Total Imports","2018"
"","Trade Balance","470783717"
"United Kingdom","Total Exports","182747107"
"","Total Imports","13794"
"","Trade Balance","182733313"
"United States","Total Exports","7282900"
"","Total Imports","487496"
"","Trade Balance","6795404"
"China","Total Exports","2977758"
"","Total Imports","943"
"","Trade Balance","2976815"
"South Africa","Total Exports","676125"
"","Total Imports",""
"","Trade Balance","676125"
"Denmark","Total Exports","173558"
"","Total Imports",""
"","Trade Balance","173558"
"Japan","Total Exports","157920"
"","Total Imports","3975"
"","Trade Balance","153945"
"Sweden","Total Exports","24305"
"","Total Imports",""
"","Trade Balance","24305"
"Czech Republic","Total Exports","31000"
"","Total Imports","15440"
"","Trade Balance","15560"
"Spain","Total Exports","3999"
"","Total Imports",""
"","Trade Balance","3999"
"Grenada","Total Exports","3255"
"","Total Imports",""
"","Trade Balance","3255"
"Saint Pierre-Miquelon","Total Exports","2594"
"","Total Imports",""
"","Trade Balance","2594"
"Norway","Total Exports","2300"
"","Total Imports",""
"","Trade Balance","2300"
"Germany","Total Exports","1650"
"","Total Imports",""
"","Trade Balance","1650"
"Taiwan","Total Exports",""
"","Total Imports","44"
"","Trade Balance","-44"
"Mexico","Total Exports",""
"","Total Imports","142"
"","Trade Balance","-142"
"Netherlands","Total Exports",""
"","Total Imports","1178"
"","Trade Balance","-1178"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","360880"
"","Trade Balance","-360880"
"Total All Countries","Total Exports","664870206"
"","Total Imports","885910"
"","Trade Balance","663984296"

"Source: Trade Data Online (accessed: April 21, 2025)"



