"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Northwest Territories"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2003"
"Units","Value in  canadian dollars"

"","","2003"
"United Kingdom","Total Exports","1053151233"
"","Total Imports","13376"
"","Trade Balance","1053137857"
"Belgium","Total Exports","471577724"
"","Total Imports","70695"
"","Trade Balance","471507029"
"United States","Total Exports","61141193"
"","Total Imports","3301888"
"","Trade Balance","57839305"
"Israel","Total Exports","1392299"
"","Total Imports",""
"","Trade Balance","1392299"
"Japan","Total Exports","505435"
"","Total Imports",""
"","Trade Balance","505435"
"South Africa","Total Exports","23403"
"","Total Imports",""
"","Trade Balance","23403"
"Hong Kong","Total Exports","11623"
"","Total Imports",""
"","Trade Balance","11623"
"Hungary","Total Exports","8132"
"","Total Imports",""
"","Trade Balance","8132"
"Switzerland","Total Exports","5770"
"","Total Imports",""
"","Trade Balance","5770"
"Spain","Total Exports","4409"
"","Total Imports",""
"","Trade Balance","4409"
"Aruba","Total Exports","466"
"","Total Imports",""
"","Trade Balance","466"
"Bermuda","Total Exports","215"
"","Total Imports",""
"","Trade Balance","215"
"Saint Pierre-Miquelon","Total Exports","45"
"","Total Imports",""
"","Trade Balance","45"
"Brazil","Total Exports","22"
"","Total Imports",""
"","Trade Balance","22"
"France (incl. Monaco, French Antilles)","Total Exports","6"
"","Total Imports",""
"","Trade Balance","6"
"Italy (incl. Vatican City State)","Total Exports",""
"","Total Imports","34"
"","Trade Balance","-34"
"China","Total Exports",""
"","Total Imports","245"
"","Trade Balance","-245"
"Thailand","Total Exports",""
"","Total Imports","512"
"","Trade Balance","-512"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","3500"
"","Trade Balance","-3500"
"Australia","Total Exports",""
"","Total Imports","9358"
"","Trade Balance","-9358"
"Czech Republic","Total Exports",""
"","Total Imports","12549"
"","Trade Balance","-12549"
"Germany","Total Exports","11406"
"","Total Imports","45440"
"","Trade Balance","-34034"
"Total All Countries","Total Exports","1587833381"
"","Total Imports","3457597"
"","Trade Balance","1584375784"

"Source: Trade Data Online (accessed: April 21, 2025)"



