"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Northwest Territories"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2007"
"Units","Value in  canadian dollars"

"","","2007"
"Belgium","Total Exports","1146850870"
"","Total Imports","22538"
"","Trade Balance","1146828332"
"United Kingdom","Total Exports","657597708"
"","Total Imports",""
"","Trade Balance","657597708"
"China","Total Exports","34549763"
"","Total Imports","383"
"","Trade Balance","34549380"
"India","Total Exports","24177958"
"","Total Imports",""
"","Trade Balance","24177958"
"Peru","Total Exports","13302148"
"","Total Imports",""
"","Trade Balance","13302148"
"United States","Total Exports","15263376"
"","Total Imports","2444372"
"","Trade Balance","12819004"
"Russia","Total Exports","2681581"
"","Total Imports",""
"","Trade Balance","2681581"
"Germany","Total Exports","1426054"
"","Total Imports","61117"
"","Trade Balance","1364937"
"Spain","Total Exports","699189"
"","Total Imports",""
"","Trade Balance","699189"
"Hong Kong","Total Exports","645407"
"","Total Imports",""
"","Trade Balance","645407"
"Ecuador","Total Exports","198877"
"","Total Imports",""
"","Trade Balance","198877"
"Denmark","Total Exports","167400"
"","Total Imports",""
"","Trade Balance","167400"
"Australia","Total Exports","125260"
"","Total Imports",""
"","Trade Balance","125260"
"Norway","Total Exports","115717"
"","Total Imports",""
"","Trade Balance","115717"
"Israel","Total Exports","91304"
"","Total Imports",""
"","Trade Balance","91304"
"Mexico","Total Exports","79851"
"","Total Imports",""
"","Trade Balance","79851"
"United Arab Emirates","Total Exports","78800"
"","Total Imports",""
"","Trade Balance","78800"
"Saudi Arabia","Total Exports","52984"
"","Total Imports",""
"","Trade Balance","52984"
"Japan","Total Exports","32635"
"","Total Imports",""
"","Trade Balance","32635"
"Taiwan","Total Exports","26692"
"","Total Imports","169"
"","Trade Balance","26523"
"South Africa","Total Exports","25732"
"","Total Imports",""
"","Trade Balance","25732"
"Bulgaria","Total Exports","20245"
"","Total Imports",""
"","Trade Balance","20245"
"Netherlands","Total Exports","19811"
"","Total Imports",""
"","Trade Balance","19811"
"Honduras","Total Exports","17975"
"","Total Imports",""
"","Trade Balance","17975"
"Chile","Total Exports","11400"
"","Total Imports",""
"","Trade Balance","11400"
"Korea, South","Total Exports","10199"
"","Total Imports",""
"","Trade Balance","10199"
"Sweden","Total Exports","8400"
"","Total Imports",""
"","Trade Balance","8400"
"Netherlands Antilles","Total Exports","6124"
"","Total Imports",""
"","Trade Balance","6124"
"Austria","Total Exports","4875"
"","Total Imports",""
"","Trade Balance","4875"
"Italy (incl. Vatican City State)","Total Exports","4700"
"","Total Imports",""
"","Trade Balance","4700"
"Syria","Total Exports","4300"
"","Total Imports",""
"","Trade Balance","4300"
"Portugal","Total Exports","4176"
"","Total Imports",""
"","Trade Balance","4176"
"Jamaica","Total Exports","3299"
"","Total Imports",""
"","Trade Balance","3299"
"Malaysia","Total Exports","2578"
"","Total Imports",""
"","Trade Balance","2578"
"Botswana","Total Exports","2343"
"","Total Imports",""
"","Trade Balance","2343"
"Andorra","Total Exports","1960"
"","Total Imports",""
"","Trade Balance","1960"
"Indonesia","Total Exports","1193"
"","Total Imports",""
"","Trade Balance","1193"
"Switzerland","Total Exports","550"
"","Total Imports",""
"","Trade Balance","550"
"Morocco","Total Exports","497"
"","Total Imports",""
"","Trade Balance","497"
"Lebanon","Total Exports","135"
"","Total Imports",""
"","Trade Balance","135"
"Brazil","Total Exports","35"
"","Total Imports",""
"","Trade Balance","35"
"Qatar","Total Exports","10"
"","Total Imports",""
"","Trade Balance","10"
"France (incl. Monaco, French Antilles)","Total Exports","269587"
"","Total Imports","1466010"
"","Trade Balance","-1196423"
"Total All Countries","Total Exports","1898583698"
"","Total Imports","3994589"
"","Trade Balance","1894589109"

"Source: Trade Data Online (accessed: April 21, 2025)"



