"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Northwest Territories"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2009"
"Units","Value in  canadian dollars"

"","","2009"
"United Kingdom","Total Exports","927988374"
"","Total Imports",""
"","Trade Balance","927988374"
"Belgium","Total Exports","523794607"
"","Total Imports",""
"","Trade Balance","523794607"
"China","Total Exports","26208262"
"","Total Imports",""
"","Trade Balance","26208262"
"United States","Total Exports","25507288"
"","Total Imports","1962853"
"","Trade Balance","23544435"
"India","Total Exports","21878182"
"","Total Imports",""
"","Trade Balance","21878182"
"Türkiye","Total Exports","1597036"
"","Total Imports",""
"","Trade Balance","1597036"
"Armenia","Total Exports","440376"
"","Total Imports",""
"","Trade Balance","440376"
"Netherlands","Total Exports","294923"
"","Total Imports",""
"","Trade Balance","294923"
"Hong Kong","Total Exports","251408"
"","Total Imports",""
"","Trade Balance","251408"
"France (incl. Monaco, French Antilles)","Total Exports","127256"
"","Total Imports",""
"","Trade Balance","127256"
"Israel","Total Exports","77414"
"","Total Imports",""
"","Trade Balance","77414"
"South Africa","Total Exports","60483"
"","Total Imports",""
"","Trade Balance","60483"
"Dominican Republic","Total Exports","58604"
"","Total Imports",""
"","Trade Balance","58604"
"Russia","Total Exports","56444"
"","Total Imports",""
"","Trade Balance","56444"
"Germany","Total Exports","53453"
"","Total Imports",""
"","Trade Balance","53453"
"Italy (incl. Vatican City State)","Total Exports","45287"
"","Total Imports",""
"","Trade Balance","45287"
"Norway","Total Exports","40840"
"","Total Imports",""
"","Trade Balance","40840"
"Australia","Total Exports","25322"
"","Total Imports",""
"","Trade Balance","25322"
"New Zealand","Total Exports","21000"
"","Total Imports",""
"","Trade Balance","21000"
"Switzerland","Total Exports","20956"
"","Total Imports",""
"","Trade Balance","20956"
"Mauritius","Total Exports","19046"
"","Total Imports",""
"","Trade Balance","19046"
"Finland","Total Exports","18752"
"","Total Imports",""
"","Trade Balance","18752"
"Qatar","Total Exports","13342"
"","Total Imports",""
"","Trade Balance","13342"
"Ireland","Total Exports","12612"
"","Total Imports",""
"","Trade Balance","12612"
"Korea, South","Total Exports","10558"
"","Total Imports",""
"","Trade Balance","10558"
"Japan","Total Exports","10275"
"","Total Imports",""
"","Trade Balance","10275"
"Honduras","Total Exports","8910"
"","Total Imports",""
"","Trade Balance","8910"
"Guatemala","Total Exports","7745"
"","Total Imports",""
"","Trade Balance","7745"
"Ecuador","Total Exports","7535"
"","Total Imports",""
"","Trade Balance","7535"
"Saint Pierre-Miquelon","Total Exports","5186"
"","Total Imports",""
"","Trade Balance","5186"
"Spain","Total Exports","3800"
"","Total Imports",""
"","Trade Balance","3800"
"Botswana","Total Exports","3220"
"","Total Imports",""
"","Trade Balance","3220"
"Mexico","Total Exports","3200"
"","Total Imports",""
"","Trade Balance","3200"
"Austria","Total Exports","2880"
"","Total Imports",""
"","Trade Balance","2880"
"Haiti","Total Exports","950"
"","Total Imports",""
"","Trade Balance","950"
"Hungary","Total Exports","775"
"","Total Imports",""
"","Trade Balance","775"
"Saint Kitts and Nevis","Total Exports","176"
"","Total Imports",""
"","Trade Balance","176"
"Singapore","Total Exports","21"
"","Total Imports",""
"","Trade Balance","21"
"Total All Countries","Total Exports","1528676498"
"","Total Imports","1962853"
"","Trade Balance","1526713645"

"Source: Trade Data Online (accessed: April 21, 2025)"



