"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Northwest Territories"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2012"
"Units","Value in  canadian dollars"

"","","2012"
"Belgium","Total Exports","819145200"
"","Total Imports",""
"","Trade Balance","819145200"
"United Kingdom","Total Exports","730077306"
"","Total Imports","490"
"","Trade Balance","730076816"
"India","Total Exports","173019561"
"","Total Imports",""
"","Trade Balance","173019561"
"China","Total Exports","46862577"
"","Total Imports","218597"
"","Trade Balance","46643980"
"Netherlands","Total Exports","31990590"
"","Total Imports",""
"","Trade Balance","31990590"
"United States","Total Exports","17974079"
"","Total Imports","144470"
"","Trade Balance","17829609"
"Japan","Total Exports","4551460"
"","Total Imports",""
"","Trade Balance","4551460"
"Mexico","Total Exports","3026607"
"","Total Imports",""
"","Trade Balance","3026607"
"Israel","Total Exports","1872572"
"","Total Imports",""
"","Trade Balance","1872572"
"Armenia","Total Exports","1038401"
"","Total Imports",""
"","Trade Balance","1038401"
"Vietnam","Total Exports","700000"
"","Total Imports",""
"","Trade Balance","700000"
"Austria","Total Exports","268050"
"","Total Imports",""
"","Trade Balance","268050"
"Germany","Total Exports","236774"
"","Total Imports",""
"","Trade Balance","236774"
"Czech Republic","Total Exports","198113"
"","Total Imports",""
"","Trade Balance","198113"
"United Arab Emirates","Total Exports","188008"
"","Total Imports",""
"","Trade Balance","188008"
"Norway","Total Exports","157909"
"","Total Imports",""
"","Trade Balance","157909"
"Guatemala","Total Exports","79122"
"","Total Imports",""
"","Trade Balance","79122"
"Australia","Total Exports","58350"
"","Total Imports",""
"","Trade Balance","58350"
"Italy (incl. Vatican City State)","Total Exports","38672"
"","Total Imports",""
"","Trade Balance","38672"
"France (incl. Monaco, French Antilles)","Total Exports","32413"
"","Total Imports",""
"","Trade Balance","32413"
"Korea, South","Total Exports","21250"
"","Total Imports",""
"","Trade Balance","21250"
"Singapore","Total Exports","8805"
"","Total Imports",""
"","Trade Balance","8805"
"Sri Lanka","Total Exports","6999"
"","Total Imports",""
"","Trade Balance","6999"
"Hungary","Total Exports","6837"
"","Total Imports",""
"","Trade Balance","6837"
"Ghana","Total Exports","6600"
"","Total Imports",""
"","Trade Balance","6600"
"Spain","Total Exports","6070"
"","Total Imports",""
"","Trade Balance","6070"
"Russia","Total Exports","3622"
"","Total Imports",""
"","Trade Balance","3622"
"Thailand","Total Exports","2482"
"","Total Imports",""
"","Trade Balance","2482"
"Nigeria","Total Exports","1800"
"","Total Imports",""
"","Trade Balance","1800"
"South Africa","Total Exports","1660"
"","Total Imports",""
"","Trade Balance","1660"
"Denmark","Total Exports","1424"
"","Total Imports",""
"","Trade Balance","1424"
"Jamaica","Total Exports","1195"
"","Total Imports",""
"","Trade Balance","1195"
"Poland","Total Exports","399"
"","Total Imports",""
"","Trade Balance","399"
"Ireland","Total Exports","370"
"","Total Imports",""
"","Trade Balance","370"
"New Zealand","Total Exports","275"
"","Total Imports",""
"","Trade Balance","275"
"Dominica","Total Exports","204"
"","Total Imports",""
"","Trade Balance","204"
"Saint Pierre-Miquelon","Total Exports","203"
"","Total Imports",""
"","Trade Balance","203"
"Brazil","Total Exports","184"
"","Total Imports",""
"","Trade Balance","184"
"Portugal","Total Exports","100"
"","Total Imports",""
"","Trade Balance","100"
"Total All Countries","Total Exports","1831586243"
"","Total Imports","363557"
"","Trade Balance","1831222686"

"Source: Trade Data Online (accessed: April 21, 2025)"



