"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Northwest Territories"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2014"
"Units","Value in  canadian dollars"

"","","2014"
"Belgium","Total Exports","1539607215"
"","Total Imports",""
"","Trade Balance","1539607215"
"Botswana","Total Exports","287335665"
"","Total Imports",""
"","Trade Balance","287335665"
"India","Total Exports","202934990"
"","Total Imports",""
"","Trade Balance","202934990"
"Netherlands","Total Exports","44568321"
"","Total Imports",""
"","Trade Balance","44568321"
"Austria","Total Exports","2822350"
"","Total Imports",""
"","Trade Balance","2822350"
"Mexico","Total Exports","1896283"
"","Total Imports",""
"","Trade Balance","1896283"
"United States","Total Exports","1412985"
"","Total Imports",""
"","Trade Balance","1412985"
"Australia","Total Exports","879421"
"","Total Imports",""
"","Trade Balance","879421"
"China","Total Exports","794731"
"","Total Imports",""
"","Trade Balance","794731"
"United Kingdom","Total Exports","649138"
"","Total Imports",""
"","Trade Balance","649138"
"Denmark","Total Exports","612335"
"","Total Imports",""
"","Trade Balance","612335"
"Hong Kong","Total Exports","338095"
"","Total Imports",""
"","Trade Balance","338095"
"Germany","Total Exports","321230"
"","Total Imports",""
"","Trade Balance","321230"
"Iceland","Total Exports","279653"
"","Total Imports",""
"","Trade Balance","279653"
"Sweden","Total Exports","140511"
"","Total Imports",""
"","Trade Balance","140511"
"Singapore","Total Exports","94327"
"","Total Imports",""
"","Trade Balance","94327"
"Israel","Total Exports","65100"
"","Total Imports",""
"","Trade Balance","65100"
"Korea, South","Total Exports","36603"
"","Total Imports",""
"","Trade Balance","36603"
"Albania","Total Exports","35000"
"","Total Imports",""
"","Trade Balance","35000"
"United Arab Emirates","Total Exports","29789"
"","Total Imports",""
"","Trade Balance","29789"
"Chile","Total Exports","21228"
"","Total Imports",""
"","Trade Balance","21228"
"Argentina","Total Exports","20625"
"","Total Imports",""
"","Trade Balance","20625"
"Japan","Total Exports","18240"
"","Total Imports",""
"","Trade Balance","18240"
"Norway","Total Exports","17163"
"","Total Imports",""
"","Trade Balance","17163"
"Angola","Total Exports","13942"
"","Total Imports",""
"","Trade Balance","13942"
"Thailand","Total Exports","12600"
"","Total Imports",""
"","Trade Balance","12600"
"France (incl. Monaco, French Antilles)","Total Exports","9988"
"","Total Imports",""
"","Trade Balance","9988"
"Spain","Total Exports","9103"
"","Total Imports",""
"","Trade Balance","9103"
"Saint Lucia","Total Exports","8275"
"","Total Imports",""
"","Trade Balance","8275"
"South Africa","Total Exports","5728"
"","Total Imports",""
"","Trade Balance","5728"
"Poland","Total Exports","5528"
"","Total Imports",""
"","Trade Balance","5528"
"Egypt","Total Exports","3348"
"","Total Imports",""
"","Trade Balance","3348"
"Cayman Islands","Total Exports","1289"
"","Total Imports",""
"","Trade Balance","1289"
"New Zealand","Total Exports","1147"
"","Total Imports",""
"","Trade Balance","1147"
"Lebanon","Total Exports","1100"
"","Total Imports",""
"","Trade Balance","1100"
"Russia","Total Exports","600"
"","Total Imports",""
"","Trade Balance","600"
"Saint Pierre-Miquelon","Total Exports","282"
"","Total Imports",""
"","Trade Balance","282"
"Italy (incl. Vatican City State)","Total Exports","258"
"","Total Imports",""
"","Trade Balance","258"
"Total All Countries","Total Exports","2085004186"
"","Total Imports",""
"","Trade Balance","2085004186"

"Source: Trade Data Online (accessed: April 21, 2025)"



