"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Northwest Territories"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2017"
"Units","Value in  canadian dollars"

"","","2017"
"Belgium","Total Exports","1151233089"
"","Total Imports",""
"","Trade Balance","1151233089"
"India","Total Exports","593375917"
"","Total Imports",""
"","Trade Balance","593375917"
"Botswana","Total Exports","270122962"
"","Total Imports",""
"","Trade Balance","270122962"
"United States","Total Exports","5721699"
"","Total Imports","8771"
"","Trade Balance","5712928"
"Hong Kong","Total Exports","3032583"
"","Total Imports",""
"","Trade Balance","3032583"
"China","Total Exports","1997482"
"","Total Imports",""
"","Trade Balance","1997482"
"United Kingdom","Total Exports","135525"
"","Total Imports",""
"","Trade Balance","135525"
"Saint Lucia","Total Exports","62113"
"","Total Imports",""
"","Trade Balance","62113"
"Italy (incl. Vatican City State)","Total Exports","34159"
"","Total Imports",""
"","Trade Balance","34159"
"Spain","Total Exports","31292"
"","Total Imports",""
"","Trade Balance","31292"
"Australia","Total Exports","30300"
"","Total Imports",""
"","Trade Balance","30300"
"France (incl. Monaco, French Antilles)","Total Exports","23250"
"","Total Imports",""
"","Trade Balance","23250"
"Singapore","Total Exports","22060"
"","Total Imports",""
"","Trade Balance","22060"
"Korea, South","Total Exports","21825"
"","Total Imports",""
"","Trade Balance","21825"
"Anguilla","Total Exports","8659"
"","Total Imports",""
"","Trade Balance","8659"
"Antigua and Barbuda","Total Exports","7615"
"","Total Imports",""
"","Trade Balance","7615"
"Romania","Total Exports","3577"
"","Total Imports",""
"","Trade Balance","3577"
"Thailand","Total Exports","3480"
"","Total Imports",""
"","Trade Balance","3480"
"Mexico","Total Exports","1300"
"","Total Imports",""
"","Trade Balance","1300"
"Total All Countries","Total Exports","2025868887"
"","Total Imports","8771"
"","Trade Balance","2025860116"

"Source: Trade Data Online (accessed: April 21, 2025)"



